location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1953,1953-05-26,146
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1954,1954-05-19,139
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1955,1955-05-20,140
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1956,1956-05-13,134
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1959,1959-05-07,127
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1966,1966-05-21,141
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1968,1968-05-10,131
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1969,1969-05-13,133
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1970,1970-05-10,130
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1971,1971-05-20,140
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1972,1972-05-06,127
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1973,1973-05-13,133
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1974,1974-05-18,138
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1975,1975-05-17,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1976,1976-05-16,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1977,1977-05-16,136
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1978,1978-05-14,134
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1979,1979-05-26,146
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1980,1980-05-23,144
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1981,1981-05-17,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1982,1982-05-13,133
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1983,1983-05-05,125
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1984,1984-05-26,147
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1985,1985-05-12,132
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1986,1986-05-10,130
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1987,1987-05-11,131
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1988,1988-05-15,136
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1989,1989-05-19,139
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1990,1990-05-09,129
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1991,1991-05-10,130
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1992,1992-05-16,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1993,1993-05-22,142
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1994,1994-05-17,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1995,1995-05-10,130
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1996,1996-05-27,148
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1997,1997-05-15,135
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1998,1998-05-01,121
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1999,1999-05-13,133
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2000,2000-05-21,142
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2001,2001-05-13,133
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2002,2002-05-01,121
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2003,2003-05-12,132
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2004,2004-05-13,134
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2005,2005-05-25,145
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2006,2006-05-17,137
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2007,2007-05-16,136
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2008,2008-05-05,126
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2009,2009-05-07,127
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2010,2010-05-18,138
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2011,2011-05-18,138
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2012,2012-05-05,126
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2013,2013-05-27,147
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2014,2014-05-11,131
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2015,2015-05-03,123
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2016,2016-05-10,131
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2017,2017-05-07,127
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2018,2018-05-06,126
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2019,2019-05-07,127
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2020,2020-05-09,130
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,2021,2021-05-07,127
