location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1956,1956-05-02,123
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1957,1957-05-07,127
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1958,1958-05-04,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1959,1959-04-25,115
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1960,1960-05-01,122
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1961,1961-04-29,119
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1962,1962-04-30,120
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1963,1963-04-26,116
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1964,1964-05-02,123
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1965,1965-05-10,130
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1966,1966-05-05,125
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1967,1967-05-03,123
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1968,1968-05-03,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1969,1969-05-04,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1970,1970-05-07,127
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1971,1971-05-05,125
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1972,1972-04-29,120
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1973,1973-04-28,118
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1974,1974-05-07,127
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1975,1975-05-01,121
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1976,1976-05-04,125
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1977,1977-05-07,127
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1978,1978-05-04,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1979,1979-05-06,126
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1980,1980-05-09,130
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1981,1981-05-01,121
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1982,1982-05-04,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1983,1983-04-25,115
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1984,1984-05-18,139
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1985,1985-05-03,123
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1986,1986-05-05,125
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1987,1987-05-01,121
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1988,1988-05-01,122
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1989,1989-04-20,110
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1990,1990-04-23,113
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1991,1991-04-30,120
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1992,1992-04-27,118
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1993,1993-04-28,118
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1994,1994-04-27,117
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1995,1995-04-28,118
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1996,1996-05-03,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1997,1997-04-27,117
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1998,1998-04-20,110
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1999,1999-04-30,120
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2000,2000-05-03,124
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2001,2001-04-27,117
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2002,2002-04-16,106
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2003,2003-04-27,117
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2004,2004-04-21,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2005,2005-05-02,122
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2006,2006-05-06,126
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2007,2007-04-29,119
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2008,2008-04-21,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2009,2009-04-22,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2010,2010-05-02,122
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2011,2011-04-28,118
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2012,2012-05-01,122
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2013,2013-05-06,126
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2014,2014-04-25,115
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2015,2015-04-19,109
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2016,2016-04-21,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2017,2017-04-21,111
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2018,2018-04-22,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2019,2019-04-22,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2020,2020-04-21,112
Japan/Aomori,40.8216666666667,140.768888888889,2.8,2021,2021-04-17,107
