location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1953,1953-05-16,136
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1954,1954-05-18,138
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1955,1955-05-14,134
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1956,1956-05-13,134
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1957,1957-05-14,134
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1958,1958-05-15,135
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1959,1959-05-13,133
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1960,1960-05-16,137
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1961,1961-05-12,132
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1962,1962-05-11,131
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1963,1963-05-13,133
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1964,1964-05-16,137
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1965,1965-05-19,139
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1966,1966-05-18,138
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1967,1967-05-08,128
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1968,1968-05-05,126
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1969,1969-05-09,129
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1970,1970-05-10,130
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1971,1971-05-15,135
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1972,1972-05-04,125
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1973,1973-05-11,131
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1974,1974-05-15,135
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1975,1975-05-12,132
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1976,1976-05-14,135
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1977,1977-05-14,134
