location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Boeun,36.48759,127.73412,174.99,1980,1980-04-21,112
South Korea/Boeun,36.48759,127.73412,174.99,1981,1981-04-18,108
South Korea/Boeun,36.48759,127.73412,174.99,1982,1982-04-15,105
South Korea/Boeun,36.48759,127.73412,174.99,1983,1983-04-16,106
South Korea/Boeun,36.48759,127.73412,174.99,1984,1984-04-23,114
South Korea/Boeun,36.48759,127.73412,174.99,1985,1985-04-02,92
South Korea/Boeun,36.48759,127.73412,174.99,1986,1986-04-23,113
South Korea/Boeun,36.48759,127.73412,174.99,1987,1987-04-02,92
South Korea/Boeun,36.48759,127.73412,174.99,1988,1988-04-22,113
South Korea/Boeun,36.48759,127.73412,174.99,1989,1989-04-13,103
South Korea/Boeun,36.48759,127.73412,174.99,1990,1990-04-13,103
South Korea/Boeun,36.48759,127.73412,174.99,1991,1991-04-17,107
South Korea/Boeun,36.48759,127.73412,174.99,1992,1992-04-12,103
South Korea/Boeun,36.48759,127.73412,174.99,1993,1993-04-22,112
South Korea/Boeun,36.48759,127.73412,174.99,1994,1994-04-17,107
