location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Boryeong,36.32724,126.55744,9.98,1980,1980-04-17,108
South Korea/Boryeong,36.32724,126.55744,9.98,1981,1981-04-17,107
South Korea/Boryeong,36.32724,126.55744,9.98,1982,1982-04-14,104
South Korea/Boryeong,36.32724,126.55744,9.98,1983,1983-04-18,108
South Korea/Boryeong,36.32724,126.55744,9.98,1984,1984-04-22,113
South Korea/Boryeong,36.32724,126.55744,9.98,1985,1985-04-21,111
South Korea/Boryeong,36.32724,126.55744,9.98,1986,1986-04-18,108
South Korea/Boryeong,36.32724,126.55744,9.98,1987,1987-04-02,92
South Korea/Boryeong,36.32724,126.55744,9.98,1988,1988-04-22,113
South Korea/Boryeong,36.32724,126.55744,9.98,1989,1989-04-16,106
South Korea/Boryeong,36.32724,126.55744,9.98,1990,1990-04-16,106
South Korea/Boryeong,36.32724,126.55744,9.98,1991,1991-04-18,108
South Korea/Boryeong,36.32724,126.55744,9.98,1992,1992-04-09,100
South Korea/Boryeong,36.32724,126.55744,9.98,1993,1993-04-24,114
South Korea/Boryeong,36.32724,126.55744,9.98,1994,1994-04-17,107
