location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Buan,35.72954,126.71655,11.96,1980,1980-04-22,113
South Korea/Buan,35.72954,126.71655,11.96,1981,1981-04-02,92
South Korea/Buan,35.72954,126.71655,11.96,1984,1984-04-02,93
South Korea/Buan,35.72954,126.71655,11.96,1985,1985-04-16,106
South Korea/Buan,35.72954,126.71655,11.96,1986,1986-04-18,108
South Korea/Buan,35.72954,126.71655,11.96,1987,1987-04-12,102
South Korea/Buan,35.72954,126.71655,11.96,1988,1988-04-16,107
South Korea/Buan,35.72954,126.71655,11.96,1989,1989-04-12,102
South Korea/Buan,35.72954,126.71655,11.96,1990,1990-04-11,101
South Korea/Buan,35.72954,126.71655,11.96,1991,1991-04-22,112
South Korea/Buan,35.72954,126.71655,11.96,1992,1992-04-11,102
South Korea/Buan,35.72954,126.71655,11.96,1993,1993-04-12,102
South Korea/Buan,35.72954,126.71655,11.96,1994,1994-04-15,105
