location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Busan,35.10468,129.03203,69.56,1980,1980-04-09,100
South Korea/Busan,35.10468,129.03203,69.56,1981,1981-04-07,97
South Korea/Busan,35.10468,129.03203,69.56,1982,1982-03-26,85
South Korea/Busan,35.10468,129.03203,69.56,1983,1983-04-07,97
South Korea/Busan,35.10468,129.03203,69.56,1984,1984-04-14,105
South Korea/Busan,35.10468,129.03203,69.56,1985,1985-04-09,99
South Korea/Busan,35.10468,129.03203,69.56,1986,1986-04-08,98
South Korea/Busan,35.10468,129.03203,69.56,1987,1987-04-07,97
South Korea/Busan,35.10468,129.03203,69.56,1988,1988-04-01,92
South Korea/Busan,35.10468,129.03203,69.56,1989,1989-04-03,93
South Korea/Busan,35.10468,129.03203,69.56,1990,1990-03-26,85
South Korea/Busan,35.10468,129.03203,69.56,1991,1991-04-09,99
South Korea/Busan,35.10468,129.03203,69.56,1992,1992-03-31,91
South Korea/Busan,35.10468,129.03203,69.56,1993,1993-04-04,94
South Korea/Busan,35.10468,129.03203,69.56,1994,1994-04-05,95
South Korea/Busan,35.10468,129.03203,69.56,2016,2016-04-05,96
South Korea/Busan,35.10468,129.03203,69.56,2017,2017-04-01,91
South Korea/Busan,35.10468,129.03203,69.56,2018,2018-03-03,62
South Korea/Busan,35.10468,129.03203,69.56,2019,2019-03-28,87
South Korea/Busan,35.10468,129.03203,69.56,2020,2020-03-28,88
