location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Buyeo,36.27242,126.92079,11.79,1980,1980-04-14,105
South Korea/Buyeo,36.27242,126.92079,11.79,1982,1982-04-13,103
South Korea/Buyeo,36.27242,126.92079,11.79,1983,1983-04-14,104
South Korea/Buyeo,36.27242,126.92079,11.79,1984,1984-04-19,110
South Korea/Buyeo,36.27242,126.92079,11.79,1985,1985-04-16,106
South Korea/Buyeo,36.27242,126.92079,11.79,1986,1986-04-17,107
South Korea/Buyeo,36.27242,126.92079,11.79,1987,1987-04-13,103
South Korea/Buyeo,36.27242,126.92079,11.79,1988,1988-04-16,107
South Korea/Buyeo,36.27242,126.92079,11.79,1989,1989-04-11,101
South Korea/Buyeo,36.27242,126.92079,11.79,1990,1990-04-01,91
South Korea/Buyeo,36.27242,126.92079,11.79,1991,1991-04-16,106
South Korea/Buyeo,36.27242,126.92079,11.79,1992,1992-04-08,99
South Korea/Buyeo,36.27242,126.92079,11.79,1993,1993-04-19,109
South Korea/Buyeo,36.27242,126.92079,11.79,1994,1994-04-13,103
South Korea/Buyeo,36.27242,126.92079,11.79,2000,2000-04-19,110
South Korea/Buyeo,36.27242,126.92079,11.79,2001,2001-04-15,105
South Korea/Buyeo,36.27242,126.92079,11.79,2002,2002-04-07,97
South Korea/Buyeo,36.27242,126.92079,11.79,2003,2003-04-05,95
South Korea/Buyeo,36.27242,126.92079,11.79,2004,2004-04-08,99
