location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1953,1953-04-06,96,9.43,408.5,27.0,284.4
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1954,1954-04-07,97,10.15,465.1,15.0,290.5
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1955,1955-04-02,92,9.75,440.8,20.0,306.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1956,1956-04-07,98,8.6,347.3,27.0,323.4
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1957,1957-04-07,97,8.57,336.3,32.0,238.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1958,1958-04-03,93,9.84,446.7,19.0,304.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1959,1959-04-01,91,10.65,521.7,15.0,402.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1960,1960-04-04,95,10.46,503.8,15.0,253.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1961,1961-04-03,93,9.19,388.3,26.0,305.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1962,1962-04-07,97,9.07,369.4,25.0,217.3
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1963,1963-04-06,96,7.46,258.7,44.0,312.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1964,1964-04-03,94,9.8,441.9,19.0,394.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1965,1965-04-14,104,8.82,349.7,19.0,206.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1966,1966-03-30,89,10.79,527.7,23.0,360.3
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1967,1967-04-04,94,9.14,388.8,33.0,326.2
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1968,1968-04-05,96,8.23,315.8,42.0,328.2
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1969,1969-04-08,98,9.81,441.7,17.0,395.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1970,1970-04-08,98,8.35,314.7,23.0,181.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1971,1971-04-04,94,8.9,361.2,27.0,376.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1972,1972-04-09,100,10.97,544.4,7.0,475.2
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1973,1973-04-04,94,10.52,497.2,7.0,267.7
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1974,1974-03-31,90,9.0,372.8,24.0,324.3
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1975,1975-04-05,95,9.41,399.9,20.0,336.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1976,1976-04-03,94,10.02,459.7,18.0,425.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1977,1977-03-26,85,8.31,342.6,45.0,355.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1978,1978-04-09,99,9.17,389.0,18.0,295.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1979,1979-04-07,97,10.7,516.3,10.0,279.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1980,1980-04-04,95,9.04,381.1,29.0,385.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1981,1981-04-02,92,8.61,343.0,39.0,241.5
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1982,1982-03-29,88,9.54,422.9,24.0,339.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1983,1983-04-07,97,9.65,426.9,19.0,323.7
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1984,1984-04-11,102,7.27,239.0,42.0,221.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1985,1985-04-04,94,9.16,387.4,32.0,377.4
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1986,1986-04-06,96,8.04,287.4,46.0,263.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1987,1987-04-07,97,9.94,451.5,17.0,339.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1988,1988-04-12,103,9.51,416.2,18.0,276.7
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1989,1989-03-31,90,10.9,532.8,10.0,439.3
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1990,1990-03-28,87,10.82,532.5,12.0,497.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1991,1991-04-05,95,9.62,423.8,20.0,431.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1992,1992-03-31,91,10.45,495.6,11.0,476.5
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1993,1993-04-06,96,9.87,439.9,16.0,313.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1994,1994-04-07,97,9.2,380.6,15.0,232.4
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1995,1995-04-12,102,9.43,399.8,19.0,285.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1996,1996-04-05,96,8.9,363.4,27.0,272.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1997,1997-03-30,89,10.01,452.0,19.0,185.9
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1998,1998-04-03,93,10.53,502.0,13.0,423.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,1999,1999-04-05,95,10.43,491.2,14.0,348.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2000,2000-04-03,94,9.49,416.3,25.0,289.5
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2001,2001-04-03,93,9.97,454.3,16.0,304.1
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2002,2002-03-30,89,11.07,546.1,12.0,308.8
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2003,2003-03-31,90,9.64,424.4,19.0,290.6
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2004,2004-04-03,94,10.18,477.6,18.0,287.3
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2005,2005-04-08,98,9.0,369.1,24.0,358.4
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2006,2006-04-03,93,10.06,463.2,25.0,310.2
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2007,2007-04-09,99,11.27,564.3,6.0,217.0
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2008,2008-04-08,99,9.71,430.2,21.0,285.7
Japan/Fukue,32.6947222222222,128.826944444444,25.1,2009,2009-04-01,91,10.87,530.9,12.0,369.0
