location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1953,1953-04-05,95,6.66,208.3,56.0,201.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1954,1954-04-08,98,7.48,254.2,37.0,244.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1955,1955-04-05,95,6.78,215.6,60.0,225.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1956,1956-04-09,100,5.65,159.0,61.0,312.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1957,1957-04-08,98,5.91,144.1,67.0,230.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1958,1958-04-05,95,6.94,228.0,49.0,224.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1959,1959-04-01,91,7.59,291.9,31.0,294.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1960,1960-03-31,91,7.48,261.0,47.0,178.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1962,1962-04-08,98,6.29,168.8,60.0,179.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1963,1963-04-07,97,4.14,107.9,66.0,214.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1964,1964-04-04,95,6.69,190.7,47.0,282.2
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1965,1965-04-08,98,5.81,126.4,55.0,150.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1966,1966-04-04,94,7.58,278.5,50.0,268.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1967,1967-04-04,94,6.34,198.8,62.0,286.8
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1968,1968-04-03,94,5.06,130.0,76.0,232.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1969,1969-04-07,97,6.89,216.2,40.0,275.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1970,1970-04-08,98,5.5,111.4,64.0,159.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1971,1971-04-04,94,5.95,156.2,58.0,261.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1972,1972-04-05,96,7.89,277.3,43.0,366.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1973,1973-04-02,92,7.76,260.2,43.0,230.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1974,1974-04-04,94,6.14,162.5,68.0,219.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1975,1975-04-06,96,6.38,172.5,64.0,224.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1976,1976-04-02,93,7.27,245.7,55.0,296.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1977,1977-03-29,88,5.42,178.5,63.0,221.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1978,1978-04-08,98,6.33,174.9,52.0,245.4
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1979,1979-04-06,96,7.9,280.7,36.0,230.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1980,1980-04-05,96,5.8,164.0,54.0,281.2
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1981,1981-04-02,92,5.42,138.4,77.0,206.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1982,1982-03-26,85,6.7,207.2,62.0,250.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1983,1983-04-04,94,6.73,203.1,57.0,291.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1984,1984-04-10,101,4.22,79.4,73.0,188.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1985,1985-04-07,97,6.37,180.2,59.0,302.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1986,1986-04-03,93,5.18,118.7,75.0,185.2
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1987,1987-04-03,93,7.15,233.3,42.0,295.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1988,1988-04-09,100,6.52,181.3,51.0,201.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1989,1989-03-28,87,8.19,298.2,37.0,391.2
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1990,1990-03-28,87,7.93,300.3,32.0,321.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1991,1991-04-06,96,6.94,215.7,57.0,357.6
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1992,1992-03-31,91,7.69,258.3,47.0,365.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1993,1993-04-05,95,7.34,237.7,36.0,195.4
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1994,1994-04-05,95,6.46,160.8,51.0,173.3
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1995,1995-04-08,98,6.91,204.5,46.0,173.4
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1996,1996-04-01,92,6.33,173.0,68.0,205.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1997,1997-03-28,87,7.3,229.5,56.0,166.8
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1998,1998-04-03,93,7.83,276.1,38.0,314.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1999,1999-04-01,91,7.62,259.1,41.0,222.4
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2000,2000-04-02,93,6.76,200.5,50.0,207.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2001,2001-04-01,91,7.1,229.2,45.0,239.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2002,2002-03-25,84,8.18,300.6,50.0,219.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2003,2003-03-28,87,6.89,204.9,52.0,248.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2004,2004-03-30,90,7.48,267.5,39.0,177.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2005,2005-04-06,96,6.44,175.3,51.0,231.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2006,2006-04-03,93,7.19,228.3,65.0,207.8
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2007,2007-03-31,90,8.45,317.8,29.0,196.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2008,2008-04-02,93,7.15,219.6,45.0,258.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2009,2009-03-23,82,8.28,316.8,34.0,244.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2010,2010-03-25,84,7.78,278.2,55.0,279.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2011,2011-04-02,92,5.84,145.5,55.0,140.0
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2012,2012-04-01,92,6.49,187.8,61.0,304.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2013,2013-03-22,81,7.34,246.9,64.0,213.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2014,2014-03-27,86,7.73,264.3,54.0,271.2
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2015,2015-03-29,88,7.29,227.4,57.0,240.1
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2016,2016-03-30,90,7.44,257.1,43.0,266.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2017,2017-04-05,95,7.77,266.5,36.0,162.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2018,2018-03-27,86,7.26,267.5,56.0,298.5
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2019,2019-03-29,88,8.75,338.6,28.0,250.9
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2020,2020-04-02,93,9.56,418.3,15.0,390.7
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2021,2021-03-22,81,9.12,404.1,39.0,288.9
