location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1953,1953-04-04,94,11.61,594.9,0.0,446.6
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1954,1954-04-11,101,12.6,683.6,1.0,573.2
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1955,1955-04-04,94,12.29,655.9,2.0,418.7
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1956,1956-04-05,96,11.51,592.0,3.0,511.9
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1957,1957-04-12,102,11.41,577.1,0.0,353.8
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1958,1958-04-16,106,12.45,670.2,0.0,697.7
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1959,1959-04-20,110,12.85,706.7,4.0,727.1
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1960,1960-04-15,106,12.53,685.5,2.0,407.5
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1961,1961-04-10,100,11.3,566.6,0.0,480.1
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1962,1962-04-16,106,11.34,570.2,0.0,371.2
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1963,1963-04-08,98,9.77,429.7,9.0,448.2
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1964,1964-04-12,103,11.82,621.0,1.0,604.8
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1965,1965-04-16,106,11.26,563.0,1.0,380.6
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1966,1966-04-10,100,12.95,715.6,1.0,429.1
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1967,1967-04-04,94,11.92,622.4,2.0,356.7
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1968,1968-04-05,96,10.66,515.3,5.0,425.5
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1969,1969-04-30,120,12.67,690.0,2.0,583.2
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1970,1970-04-10,100,10.75,517.7,3.0,277.6
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1971,1971-04-06,96,11.05,544.7,0.0,441.2
Japan/Hachijojima,33.1216666666667,139.779166666667,151.21,1972,1972-04-19,110,12.66,696.7,0.0,734.1
