location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1953,1953-04-02,92,6.27,185.8,56.0,329.2
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1954,1954-04-02,92,6.83,214.5,39.0,362.2
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1955,1955-04-02,92,6.16,173.7,62.0,314.0
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1956,1956-04-11,102,5.05,130.2,58.0,449.0
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1957,1957-04-13,103,5.24,106.3,72.0,378.4
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1958,1958-04-05,95,6.6,208.6,49.0,370.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1959,1959-04-03,93,6.95,247.7,37.0,347.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1960,1960-04-04,95,7.19,239.5,47.0,276.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1961,1961-04-04,94,5.6,140.4,69.0,306.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1962,1962-04-09,99,6.11,159.0,59.0,329.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1963,1963-04-10,100,3.77,83.1,64.0,419.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1964,1964-04-05,96,5.9,136.3,51.0,387.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1965,1965-04-11,101,5.23,92.5,57.0,348.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1966,1966-04-03,93,7.0,240.5,46.0,417.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1967,1967-04-05,95,5.74,163.5,61.0,402.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1968,1968-04-08,99,4.66,114.3,76.0,362.2
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1969,1969-04-12,102,5.9,156.2,42.0,358.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1970,1970-04-13,103,4.99,86.5,66.0,290.3
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1971,1971-04-08,98,5.4,127.1,60.0,356.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1972,1972-04-11,102,7.22,227.3,46.0,485.6
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1973,1973-04-06,96,7.08,210.3,43.0,345.6
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1974,1974-04-09,99,5.35,121.3,73.0,333.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1975,1975-04-08,98,5.73,136.6,60.0,400.8
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1976,1976-04-06,97,6.64,204.3,53.0,426.0
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1977,1977-04-02,92,4.76,138.2,64.0,364.6
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1978,1978-04-11,101,5.63,136.5,52.0,383.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1979,1979-04-05,95,7.4,246.7,39.0,326.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1980,1980-04-06,97,5.02,110.2,57.0,347.4
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1981,1981-04-06,96,4.98,120.4,77.0,293.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1982,1982-03-30,89,6.04,170.3,61.0,316.4
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1983,1983-04-08,98,6.13,167.3,60.0,396.3
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1984,1984-04-13,104,3.58,52.4,74.0,288.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1985,1985-04-09,99,5.59,131.6,68.0,394.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1986,1986-04-09,99,4.29,81.2,78.0,280.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1987,1987-04-07,97,6.58,195.8,41.0,354.2
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1988,1988-04-12,103,6.01,149.2,52.0,268.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1989,1989-04-02,92,7.58,249.3,41.0,440.8
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1990,1990-03-27,86,7.14,238.7,47.0,342.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1991,1991-04-11,101,6.09,156.2,58.0,462.6
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1992,1992-04-02,93,7.23,221.9,43.0,417.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1993,1993-04-10,100,6.97,211.1,37.0,361.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1994,1994-04-06,96,5.86,130.9,55.0,345.3
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1995,1995-04-10,100,6.44,176.1,53.0,310.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1996,1996-04-07,98,5.77,146.5,67.0,330.7
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1997,1997-04-07,97,6.55,180.7,58.0,302.4
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1998,1998-03-30,89,7.31,239.0,50.0,423.8
Japan/Hamada,34.8966666666667,132.070555555556,19.0,1999,1999-04-03,93,7.06,225.5,39.0,308.5
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2000,2000-04-04,95,6.24,174.7,51.0,358.3
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2001,2001-04-03,93,6.25,172.3,52.0,379.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2002,2002-03-26,85,7.89,286.4,49.0,422.4
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2003,2003-04-03,93,6.24,165.3,50.0,401.9
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2004,2004-04-03,94,7.15,242.7,43.0,262.1
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2005,2005-04-07,97,6.15,155.9,54.0,382.6
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2006,2006-04-04,94,6.67,191.3,66.0,336.0
Japan/Hamada,34.8966666666667,132.070555555556,19.0,2007,2007-04-01,91,8.15,290.8,30.0,252.9
