location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1953,1953-04-11,101,6.42,188.0,58.0,187.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1954,1954-04-06,96,6.88,210.8,40.0,212.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1955,1955-04-06,96,6.36,185.0,66.0,258.0
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1956,1956-04-11,102,5.44,144.1,61.0,299.0
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1957,1957-04-11,101,5.74,128.0,70.0,205.5
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1958,1958-04-07,97,6.81,213.3,50.0,228.6
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1959,1959-04-03,93,7.29,266.2,33.0,273.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1960,1960-04-08,99,7.2,235.6,50.0,141.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1961,1961-04-06,96,5.81,149.9,68.0,218.2
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1962,1962-04-12,102,6.22,161.7,61.0,158.3
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1963,1963-04-08,98,4.21,97.7,67.0,209.0
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1964,1964-04-06,97,6.07,142.1,58.0,266.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1965,1965-04-17,107,5.52,104.9,60.0,183.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1966,1966-04-07,97,7.18,250.3,47.0,303.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1967,1967-04-08,98,6.01,171.3,65.0,287.3
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1968,1968-04-07,98,4.99,133.1,76.0,215.4
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1969,1969-04-13,103,6.36,181.4,45.0,250.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1970,1970-04-14,104,5.26,99.3,69.0,156.5
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1971,1971-04-07,97,5.68,133.1,64.0,201.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1972,1972-04-07,98,7.45,236.5,49.0,300.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1973,1973-04-03,93,7.06,207.8,48.0,201.5
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1974,1974-04-07,97,5.68,132.9,73.0,211.1
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1975,1975-04-08,98,6.02,146.8,65.0,226.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1976,1976-04-04,95,6.81,212.9,52.0,304.4
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1977,1977-04-02,92,4.94,150.3,69.0,233.8
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1978,1978-04-10,100,5.65,136.3,55.0,200.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1979,1979-04-07,97,7.3,231.3,41.0,254.6
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1980,1980-04-06,97,5.13,117.3,62.0,272.7
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1981,1981-04-05,95,5.08,128.4,79.0,219.6
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1982,1982-04-01,91,6.18,172.2,66.0,251.6
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1983,1983-04-08,98,6.21,163.0,65.0,265.3
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1984,1984-04-14,105,3.76,59.5,76.0,194.3
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1985,1985-04-08,98,6.12,165.5,63.0,283.6
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1986,1986-04-08,98,4.81,101.4,79.0,159.7
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1987,1987-04-05,95,6.71,197.9,42.0,255.2
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1988,1988-04-10,101,6.28,163.5,52.0,208.1
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1989,1989-04-01,91,7.78,260.8,46.0,338.5
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1990,1990-03-31,90,7.25,246.0,46.0,321.9
Japan/Hiroshima,34.3986111111111,132.462777777778,3.6,1991,1991-04-07,97,6.37,178.2,62.0,322.9
