location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1975,1975-02-06,37,19.42,1298.0,0.0,450.8
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1976,1976-01-27,27,19.31,1302.0,,295.2
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1977,1977-01-23,23,19.04,1264.0,0.0,411.7
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1981,1981-02-01,32,19.37,1293.5,0.0,342.3
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1982,1982-01-21,21,19.8,1331.7,0.0,327.8
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1983,1983-02-02,33,,,0.0,
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1984,1984-01-26,26,18.8,1255.9,,412.7
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1986,1986-02-10,41,17.78,1150.3,0.0,339.7
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1987,1987-02-13,44,,,0.0,
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1988,1988-02-05,36,,,,
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1989,1989-01-22,22,19.4,1295.6,0.0,273.5
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1990,1990-02-03,34,20.32,1378.4,0.0,634.4
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1991,1991-02-27,58,20.11,1360.3,0.0,436.5
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1992,1992-02-06,37,19.85,1351.2,0.0,585.2
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1993,1993-02-06,37,19.32,1289.0,0.0,399.2
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1994,1994-02-02,33,19.57,1311.2,0.0,454.7
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1995,1995-02-20,51,19.0,1259.6,0.0,480.2
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1996,1996-01-28,28,19.6,1328.3,,350.6
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1997,1997-02-04,35,,,0.0,
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1998,1998-02-15,46,20.89,1429.8,0.0,423.8
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,1999,1999-03-03,62,20.61,1404.7,,247.3
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,2000,2000-02-08,39,,,0.0,
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,2001,2001-02-15,46,20.2,1368.2,,496.8
Japan/Iriomotejima,24.4277777777778,123.765555555556,9.9,2002,2002-02-07,38,19.9,1341.3,,264.4
