location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1958,1958-01-27,27,18.79,1241.2,0.0,379.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1959,1959-02-02,33,19.4,1296.2,0.0,273.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1962,1962-02-20,51,18.04,1173.5,0.0,254.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1963,1963-02-15,46,16.34,1020.4,0.0,155.4
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1967,1967-02-13,44,18.39,1205.3,0.0,292.1
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1968,1968-01-19,19,17.81,1165.6,0.0,450.4
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1971,1971-02-10,41,18.0,1169.8,0.0,368.8
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1972,1972-02-20,51,18.99,1273.2,0.0,403.0
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1973,1973-02-06,37,20.3,1377.4,0.0,488.7
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1974,1974-01-20,20,18.46,1211.5,0.0,397.1
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1976,1976-01-28,28,19.07,1280.0,0.0,248.4
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1977,1977-02-03,34,18.85,1246.6,0.0,484.8
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1978,1978-02-18,49,18.49,1214.4,0.0,436.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1979,1979-02-08,39,20.02,1352.2,0.0,428.7
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1980,1980-02-03,34,19.5,1319.4,0.0,400.0
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1981,1981-02-02,33,19.09,1268.2,0.0,277.7
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1982,1982-01-24,24,19.53,1308.0,0.0,304.7
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1983,1983-02-09,40,19.34,1290.4,0.0,835.9
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1984,1984-01-26,26,18.58,1236.2,0.0,475.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1985,1985-01-30,30,19.6,1314.4,0.0,749.9
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1986,1986-02-02,33,17.54,1129.0,0.0,291.1
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1987,1987-01-27,27,19.59,1313.3,0.0,227.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1988,1988-01-25,25,20.7,1428.5,0.0,565.5
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1989,1989-01-08,8,19.23,1280.4,0.0,271.9
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1990,1990-01-30,30,20.09,1358.0,0.0,473.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1991,1991-02-18,49,19.84,1335.7,0.0,351.8
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1992,1992-01-27,27,19.68,1335.5,0.0,577.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1993,1993-01-29,29,19.11,1269.8,0.0,380.0
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1994,1994-01-30,30,19.32,1288.8,0.0,452.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1995,1995-02-19,50,18.76,1238.2,0.0,394.9
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1996,1996-01-23,23,19.36,1306.9,0.0,328.2
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1997,1997-02-06,37,19.51,1305.5,0.0,382.4
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1998,1998-03-01,60,20.66,1409.1,0.0,354.4
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,1999,1999-02-24,55,20.4,1385.9,0.0,220.1
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,2000,2000-02-03,34,19.71,1338.4,0.0,551.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,2001,2001-02-08,39,19.96,1346.2,0.0,479.9
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,2002,2002-02-01,32,19.72,1325.1,0.0,299.3
Japan/Ishigakijima,24.3366666666667,124.164444444444,5.7,2003,2003-02-20,51,19.02,1261.6,0.0,207.8
