location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kagoshima,31.555,130.548055555556,3.9,1953,1953-04-08,98,8.62,339.7,34.0,211.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1954,1954-04-08,98,9.56,416.8,23.0,197.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1955,1955-04-03,93,9.38,407.6,31.0,255.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1956,1956-04-02,93,8.19,312.9,38.0,380.2
Japan/Kagoshima,31.555,130.548055555556,3.9,1957,1957-04-07,97,7.99,285.3,46.0,242.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1958,1958-04-03,93,9.25,394.7,24.0,390.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1959,1959-03-30,89,9.93,466.3,21.0,513.7
Japan/Kagoshima,31.555,130.548055555556,3.9,1960,1960-04-03,94,9.48,419.5,28.0,213.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1961,1961-04-03,93,8.19,311.3,45.0,321.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1962,1962-04-08,98,8.09,292.5,42.0,203.4
Japan/Kagoshima,31.555,130.548055555556,3.9,1963,1963-04-06,96,6.85,217.9,47.0,153.2
Japan/Kagoshima,31.555,130.548055555556,3.9,1964,1964-04-03,94,9.08,377.0,28.0,335.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1965,1965-04-04,94,8.17,292.4,23.0,167.7
Japan/Kagoshima,31.555,130.548055555556,3.9,1966,1966-03-27,86,10.13,470.5,27.0,464.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1967,1967-04-02,92,8.45,339.4,41.0,356.4
Japan/Kagoshima,31.555,130.548055555556,3.9,1968,1968-04-04,95,7.55,260.8,57.0,326.9
Japan/Kagoshima,31.555,130.548055555556,3.9,1969,1969-04-07,97,9.62,425.3,22.0,377.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1970,1970-04-07,97,7.63,254.6,36.0,186.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1971,1971-04-03,93,8.14,304.4,37.0,244.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1972,1972-04-01,92,10.22,476.5,14.0,456.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1973,1973-03-31,90,9.95,445.5,17.0,355.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1974,1974-04-03,93,8.13,298.9,39.0,205.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1975,1975-04-10,100,8.62,333.1,30.0,332.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1976,1976-04-01,92,9.4,409.8,32.0,371.7
Japan/Kagoshima,31.555,130.548055555556,3.9,1977,1977-03-26,85,7.62,300.4,51.0,305.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1978,1978-04-11,101,8.65,344.2,24.0,279.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1979,1979-04-05,95,9.95,446.8,15.0,433.4
Japan/Kagoshima,31.555,130.548055555556,3.9,1980,1980-03-30,90,8.25,320.8,35.0,352.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1981,1981-03-28,87,8.18,307.3,52.0,333.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1982,1982-03-28,87,8.89,363.1,34.0,362.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1983,1983-04-03,93,8.9,365.2,26.0,373.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1984,1984-03-31,91,6.45,181.9,57.0,231.8
Japan/Kagoshima,31.555,130.548055555556,3.9,1985,1985-04-02,92,8.85,360.9,37.0,457.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1986,1986-03-30,89,7.37,239.2,59.0,246.5
Japan/Kagoshima,31.555,130.548055555556,3.9,1987,1987-04-02,92,9.36,400.9,20.0,382.2
Japan/Kagoshima,31.555,130.548055555556,3.9,1988,1988-04-08,99,9.04,372.0,23.0,298.2
Japan/Kagoshima,31.555,130.548055555556,3.9,1989,1989-04-05,95,10.33,482.5,12.0,381.4
Japan/Kagoshima,31.555,130.548055555556,3.9,1990,1990-03-29,88,10.19,476.0,22.0,509.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1991,1991-04-05,95,9.27,392.5,34.0,340.6
Japan/Kagoshima,31.555,130.548055555556,3.9,1992,1992-04-03,94,9.99,453.9,18.0,492.9
Japan/Kagoshima,31.555,130.548055555556,3.9,1993,1993-04-10,100,9.38,396.3,21.0,324.3
Japan/Kagoshima,31.555,130.548055555556,3.9,1994,1994-04-04,94,8.61,329.3,19.0,303.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1995,1995-04-10,100,8.88,355.3,23.0,288.5
Japan/Kagoshima,31.555,130.548055555556,3.9,1996,1996-03-31,91,8.41,327.0,36.0,310.0
Japan/Kagoshima,31.555,130.548055555556,3.9,1997,1997-03-30,89,9.39,396.5,31.0,231.1
Japan/Kagoshima,31.555,130.548055555556,3.9,1998,1998-04-09,99,10.02,457.2,18.0,508.7
Japan/Kagoshima,31.555,130.548055555556,3.9,1999,1999-04-06,96,9.82,437.7,19.0,372.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2000,2000-04-06,97,8.76,350.7,30.0,302.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2001,2001-04-05,95,9.43,407.4,23.0,340.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2002,2002-04-01,91,10.24,471.5,19.0,283.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2003,2003-04-02,92,9.11,376.1,29.0,366.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2004,2004-04-06,97,9.49,417.6,26.0,207.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2005,2005-04-09,99,8.42,313.5,29.0,326.0
Japan/Kagoshima,31.555,130.548055555556,3.9,2006,2006-03-29,88,9.36,400.8,33.0,383.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2007,2007-04-04,94,10.3,478.0,9.0,331.8
Japan/Kagoshima,31.555,130.548055555556,3.9,2008,2008-04-12,103,9.34,395.7,23.0,230.6
Japan/Kagoshima,31.555,130.548055555556,3.9,2009,2009-04-01,91,10.47,495.4,17.0,399.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2010,2010-04-06,96,10.25,475.4,23.0,493.3
Japan/Kagoshima,31.555,130.548055555556,3.9,2011,2011-04-05,95,7.93,277.2,41.0,153.5
Japan/Kagoshima,31.555,130.548055555556,3.9,2012,2012-04-05,96,8.94,373.2,36.0,424.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2013,2013-03-26,85,9.66,425.0,33.0,346.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2014,2014-03-31,90,9.75,428.6,27.0,384.4
Japan/Kagoshima,31.555,130.548055555556,3.9,2015,2015-03-31,90,9.27,387.4,30.0,269.9
Japan/Kagoshima,31.555,130.548055555556,3.9,2016,2016-04-06,97,9.54,423.3,23.0,430.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2017,2017-04-15,105,9.47,408.7,15.0,314.0
Japan/Kagoshima,31.555,130.548055555556,3.9,2018,2018-03-29,88,9.43,428.8,34.0,372.0
Japan/Kagoshima,31.555,130.548055555556,3.9,2019,2019-04-09,99,10.71,513.6,9.0,366.4
Japan/Kagoshima,31.555,130.548055555556,3.9,2020,2020-04-19,110,11.62,602.0,3.0,465.7
Japan/Kagoshima,31.555,130.548055555556,3.9,2021,2021-03-30,89,11.36,587.0,26.0,366.1
