location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1953,1953-04-09,99,6.24,179.3,61.0,177.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1954,1954-04-04,94,6.75,200.4,41.0,188.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1955,1955-04-07,97,6.17,167.9,60.0,239.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1956,1956-04-07,98,5.63,150.4,60.0,313.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1957,1957-04-11,101,5.52,119.5,70.0,195.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1958,1958-04-07,97,6.67,203.9,50.0,227.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1959,1959-03-31,90,7.33,260.5,39.0,313.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1960,1960-04-07,98,6.98,219.3,54.0,151.6
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1961,1961-04-05,95,5.45,128.5,69.0,208.0
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1962,1962-04-10,100,6.14,149.8,63.0,144.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1963,1963-04-14,104,4.49,94.7,66.0,192.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1964,1964-04-09,100,5.85,132.6,54.0,214.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1965,1965-04-14,104,5.38,96.6,60.0,208.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1966,1966-04-03,93,6.98,236.2,51.0,268.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1967,1967-04-03,93,5.85,157.4,72.0,268.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1968,1968-04-04,95,4.94,133.4,76.0,231.0
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1969,1969-04-12,102,6.1,162.7,48.0,294.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1970,1970-04-13,103,5.04,91.3,71.0,202.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1971,1971-04-03,93,5.87,149.6,63.0,188.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1972,1972-04-05,96,7.29,225.9,49.0,367.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1973,1973-04-04,94,6.68,181.8,50.0,224.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1974,1974-04-07,97,5.15,111.2,76.0,192.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1975,1975-04-07,97,5.71,135.5,70.0,215.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1976,1976-04-06,97,6.72,205.7,57.0,317.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1977,1977-03-31,90,5.42,179.0,63.0,236.0
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1978,1978-04-10,100,5.54,133.5,53.0,163.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1979,1979-04-07,97,7.28,226.1,44.0,253.7
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1980,1980-04-08,99,5.13,105.9,62.0,226.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1981,1981-04-06,96,5.14,133.7,75.0,223.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1982,1982-03-31,90,6.07,163.3,72.0,216.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1983,1983-04-08,98,6.2,155.7,62.0,206.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1984,1984-04-14,105,3.59,48.5,74.0,178.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1985,1985-04-07,97,5.91,151.6,68.0,287.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1986,1986-04-09,99,4.74,96.1,78.0,195.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1987,1987-04-05,95,6.51,191.6,51.0,226.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1988,1988-04-11,102,6.02,141.8,56.0,176.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1989,1989-04-01,91,7.51,244.4,50.0,366.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1990,1990-03-28,87,7.16,236.4,45.0,331.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1991,1991-04-06,96,6.15,163.3,60.0,261.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1992,1992-04-03,94,7.09,213.8,52.0,229.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1993,1993-04-10,100,6.9,193.1,47.0,259.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1994,1994-04-06,96,5.68,117.7,61.0,207.1
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1995,1995-04-10,100,6.4,167.8,58.0,186.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1996,1996-04-08,99,5.97,157.8,73.0,213.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1997,1997-04-02,92,6.51,176.3,65.0,179.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1998,1998-03-31,90,7.31,232.7,53.0,348.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,1999,1999-04-02,92,6.86,203.2,50.0,183.4
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2000,2000-04-08,99,6.16,162.1,55.0,222.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2001,2001-04-02,92,6.14,166.8,57.0,243.7
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2002,2002-03-30,89,7.51,259.0,56.0,308.7
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2003,2003-04-02,92,5.93,137.2,60.0,307.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2004,2004-04-06,97,6.87,209.7,50.0,172.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2005,2005-04-09,99,6.26,157.9,55.0,184.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2006,2006-04-08,98,6.24,165.8,73.0,291.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2007,2007-04-08,98,7.83,257.0,35.0,169.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2008,2008-04-03,94,6.48,189.3,52.0,279.9
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2009,2009-04-06,96,7.42,236.4,46.0,302.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2010,2010-04-04,94,7.23,230.1,55.0,304.0
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2011,2011-04-10,100,5.61,133.1,60.0,149.5
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2012,2012-04-09,100,5.71,138.1,68.0,253.6
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2013,2013-03-31,90,6.58,196.1,69.0,214.8
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2014,2014-04-01,91,6.65,200.9,64.0,277.6
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2015,2015-04-02,92,6.84,199.4,68.0,304.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2016,2016-04-03,94,7.31,237.1,48.0,220.6
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2017,2017-04-10,100,6.17,153.1,53.0,135.7
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2018,2018-03-29,88,6.18,200.4,71.0,249.2
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2019,2019-04-06,96,7.09,209.6,54.0,179.7
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2020,2020-04-03,94,8.22,302.0,28.0,253.3
Japan/Kobe,34.6969444444444,135.212777777778,5.3,2021,2021-03-30,89,7.73,296.2,46.0,238.2
