location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1962,1962-02-12,43,16.83,1064.3,0.0,313.4
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1963,1963-02-20,51,15.15,913.2,0.0,135.3
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1964,1964-02-06,37,18.36,1216.0,0.0,407.5
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1965,1965-01-31,31,17.39,1115.3,0.0,268.4
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1966,1966-02-05,36,19.45,1300.3,0.0,423.8
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1967,1967-01-30,30,17.32,1108.4,0.0,211.8
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1980,1980-02-02,33,18.0,1182.6,0.0,409.6
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1981,1981-02-06,37,17.72,1145.2,0.0,363.3
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1982,1982-01-31,31,18.11,1180.3,0.0,385.5
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1983,1983-02-11,42,18.14,1183.0,0.0,721.0
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1984,1984-02-03,34,17.0,1092.4,0.0,440.1
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1985,1985-02-05,36,18.24,1191.9,0.0,561.1
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1986,1986-01-31,31,16.34,1020.4,0.0,468.3
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1987,1987-02-02,33,18.19,1186.8,0.0,279.2
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1988,1988-01-26,26,19.26,1297.6,0.0,547.7
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1989,1989-01-15,15,18.3,1197.3,0.0,226.6
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1990,1990-01-23,23,18.84,1245.8,0.0,439.4
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1991,1991-02-01,32,18.39,1205.4,0.0,360.6
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1992,1992-02-03,34,18.45,1224.3,0.0,619.4
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1993,1993-01-25,25,17.96,1166.6,0.0,316.6
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1994,1994-02-03,34,17.89,1159.9,0.0,397.1
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1995,1995-02-06,37,17.4,1115.9,0.0,484.1
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1996,1996-01-28,28,18.05,1187.2,0.0,365.2
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1997,1997-02-01,32,18.36,1202.3,0.0,353.9
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1998,1998-02-09,40,19.46,1301.8,0.0,504.0
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,1999,1999-02-08,39,19.1,1269.2,0.0,357.3
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,2000,2000-01-24,24,18.29,1209.0,0.0,412.0
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,2001,2001-01-25,25,18.71,1233.6,0.0,409.6
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,2002,2002-01-28,28,18.48,1213.5,0.0,290.0
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,2003,2003-02-09,40,17.57,1131.3,0.0,237.5
Japan/Kumejima,26.3380555555556,126.803888888889,5.0,2004,2004-02-01,32,18.18,1199.8,0.0,235.9
