location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1954,1954-05-28,148,-4.56,0.0,90.0,173.3
Japan/Kushiro,42.9530555555556,144.4375,14.05,1954,1954-05-28,148,-4.56,0.0,90.0,173.3
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1955,1955-05-26,146,-5.2,0.0,88.0,205.3
Japan/Kushiro,42.9530555555556,144.4375,14.05,1955,1955-05-26,146,-5.2,0.0,88.0,205.3
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1957,1957-05-19,139,-4.93,0.0,90.0,116.1
Japan/Kushiro,42.9530555555556,144.4375,14.05,1957,1957-05-19,139,-4.93,0.0,90.0,116.1
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1958,1958-05-29,149,-3.93,0.0,90.0,283.3
Japan/Kushiro,42.9530555555556,144.4375,14.05,1958,1958-05-29,149,-3.93,0.0,90.0,283.3
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1959,1959-05-20,140,-3.93,0.0,90.0,190.2
Japan/Kushiro,42.9530555555556,144.4375,14.05,1959,1959-05-20,140,-3.93,0.0,90.0,190.2
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1960,1960-05-28,149,-4.63,0.0,89.0,261.6
Japan/Kushiro,42.9530555555556,144.4375,14.05,1960,1960-05-28,149,-4.63,0.0,89.0,261.6
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1961,1961-05-27,147,-5.23,0.0,90.0,152.0
Japan/Kushiro,42.9530555555556,144.4375,14.05,1961,1961-05-27,147,-5.23,0.0,90.0,152.0
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1962,1962-05-10,130,-4.48,0.0,89.0,151.1
Japan/Kushiro,42.9530555555556,144.4375,14.05,1962,1962-05-10,130,-4.48,0.0,89.0,151.1
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1963,1963-05-20,140,-3.62,0.0,90.0,184.8
Japan/Kushiro,42.9530555555556,144.4375,14.05,1963,1963-05-20,140,-3.62,0.0,90.0,184.8
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1964,1964-05-24,145,-4.7,0.1,89.0,85.1
Japan/Kushiro,42.9530555555556,144.4375,14.05,1964,1964-05-24,145,-4.7,0.1,89.0,85.1
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1965,1965-05-25,145,-4.08,0.0,90.0,160.6
Japan/Kushiro,42.9530555555556,144.4375,14.05,1965,1965-05-25,145,-4.08,0.0,90.0,160.6
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1966,1966-05-20,140,-4.07,0.0,90.0,243.9
Japan/Kushiro,42.9530555555556,144.4375,14.05,1966,1966-05-20,140,-4.07,0.0,90.0,243.9
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1967,1967-05-14,134,-4.23,0.0,90.0,80.7
Japan/Kushiro,42.9530555555556,144.4375,14.05,1967,1967-05-14,134,-4.23,0.0,90.0,80.7
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1968,1968-05-23,144,-3.31,1.6,90.0,122.9
Japan/Kushiro,42.9530555555556,144.4375,14.05,1968,1968-05-23,144,-3.31,1.6,90.0,122.9
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1969,1969-05-20,140,-5.74,0.0,89.0,140.3
Japan/Kushiro,42.9530555555556,144.4375,14.05,1969,1969-05-20,140,-5.74,0.0,89.0,140.3
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1970,1970-05-21,141,-5.67,0.0,90.0,201.1
Japan/Kushiro,42.9530555555556,144.4375,14.05,1970,1970-05-21,141,-5.67,0.0,90.0,201.1
