location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1953,1953-04-10,100,5.15,131.8,69.0,268.9
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1954,1954-04-04,94,5.77,162.5,54.0,231.4
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1955,1955-04-07,97,4.93,121.7,70.0,274.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1956,1956-04-11,102,4.34,112.3,69.0,352.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1957,1957-04-16,106,4.48,81.2,73.0,260.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1958,1958-04-09,99,5.66,152.3,56.0,259.1
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1959,1959-04-03,93,6.27,194.0,47.0,314.5
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1960,1960-04-05,96,5.95,169.2,64.0,219.3
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1961,1961-04-09,99,4.33,88.0,77.0,226.3
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1962,1962-04-10,100,4.85,97.7,69.0,197.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1963,1963-04-11,101,3.23,70.5,74.0,223.7
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1964,1964-04-07,98,5.03,86.5,66.0,309.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1965,1965-04-17,107,4.23,55.7,70.0,244.5
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1966,1966-04-06,96,5.76,170.7,62.0,403.2
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1967,1967-04-09,99,4.83,119.0,78.0,318.4
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1968,1968-04-13,104,3.84,90.1,83.0,281.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1969,1969-04-13,103,4.97,119.6,53.0,304.7
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1970,1970-04-18,108,3.61,54.1,78.0,304.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1971,1971-04-11,101,4.76,109.2,73.0,209.1
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1972,1972-04-06,97,6.59,187.2,57.0,374.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1973,1973-04-09,99,5.72,129.7,56.0,279.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1974,1974-04-11,101,4.17,78.4,84.0,290.6
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1975,1975-04-11,101,4.62,90.2,73.0,304.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1976,1976-04-11,102,5.73,160.4,64.0,317.4
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1977,1977-04-10,100,3.93,130.9,69.0,295.5
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1978,1978-04-14,104,4.26,85.2,65.0,243.1
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1979,1979-04-05,95,6.38,172.1,50.0,247.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1980,1980-04-10,101,4.01,77.4,67.0,274.4
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1981,1981-04-11,101,3.96,105.0,81.0,280.8
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1982,1982-04-04,94,4.89,122.5,79.0,229.0
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1983,1983-04-10,100,5.19,113.1,70.0,270.2
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1984,1984-04-18,109,2.26,25.7,81.0,231.3
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1985,1985-04-10,100,4.64,91.1,75.0,348.9
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1986,1986-04-11,101,3.38,59.8,80.0,252.5
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1987,1987-04-06,96,5.4,136.5,60.0,228.4
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1988,1988-04-15,106,4.86,96.2,68.0,264.0
