location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1953,1953-04-09,99,6.53,198.5,52.0,287.4
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1954,1954-04-03,93,7.22,244.8,33.0,304.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1955,1955-04-07,97,6.39,183.3,50.0,275.5
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1956,1956-04-09,100,5.43,148.0,51.0,378.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1957,1957-04-15,105,5.71,133.0,61.0,328.9
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1958,1958-04-08,98,7.0,234.4,39.0,293.4
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1964,1964-04-07,98,6.23,158.7,47.0,331.1
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1965,1965-04-18,108,5.69,126.0,48.0,313.5
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1967,1967-04-05,95,6.27,197.8,56.0,333.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1968,1968-04-10,101,5.15,135.5,71.0,319.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1969,1969-04-14,104,6.22,175.9,43.0,310.1
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1970,1970-04-16,106,5.35,109.8,61.0,258.4
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1971,1971-04-12,102,5.85,154.0,50.0,265.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1972,1972-04-10,101,7.72,269.7,39.0,400.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1973,1973-04-07,97,7.44,240.1,31.0,292.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1974,1974-04-11,101,5.67,139.4,67.0,285.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1975,1975-04-11,101,6.11,165.1,56.0,340.4
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1976,1976-04-13,104,6.99,229.7,46.0,372.5
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1977,1977-04-05,95,5.38,167.3,58.0,328.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1978,1978-04-14,104,6.02,161.6,50.0,313.3
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1979,1979-04-04,94,7.82,274.1,30.0,289.2
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1980,1980-04-10,101,5.51,137.5,55.0,301.5
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1981,1981-04-12,102,5.47,137.5,72.0,242.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1982,1982-04-07,97,6.27,180.6,56.0,256.2
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1983,1983-04-11,101,6.54,192.0,49.0,350.7
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1984,1984-04-17,108,3.98,58.4,73.0,251.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1985,1985-04-11,101,5.94,153.7,60.0,345.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1986,1986-04-13,103,4.68,93.0,71.0,248.8
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1987,1987-04-07,97,6.84,216.6,38.0,278.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1988,1988-04-15,106,6.29,171.0,49.0,251.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1989,1989-04-03,93,7.8,266.9,37.0,437.9
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1990,1990-03-30,89,7.27,246.2,40.0,329.0
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1991,1991-04-12,102,6.33,171.1,54.0,393.9
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1992,1992-04-05,96,7.48,242.6,39.0,352.9
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1993,1993-04-15,105,7.37,238.8,32.0,322.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1994,1994-04-10,100,6.3,156.1,48.0,292.6
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1995,1995-04-09,99,6.61,188.6,54.0,271.1
Japan/Matsue,35.4572222222222,133.065555555556,16.9,1996,1996-04-14,105,6.12,168.1,59.0,278.9
