location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1965,1965-04-09,99,10.69,511.9,2.0,351.3
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1966,1966-03-26,85,12.28,655.4,5.0,447.2
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1967,1967-03-31,90,11.19,557.0,6.0,379.8
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1968,1968-04-02,93,10.16,470.0,14.0,383.0
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1969,1969-04-04,94,11.87,618.7,2.0,544.0
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1971,1971-04-02,92,10.65,508.1,1.0,372.5
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1972,1972-04-06,97,12.26,660.9,0.0,740.0
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1973,1973-04-07,97,11.71,604.3,2.0,489.1
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1974,1974-03-31,90,10.41,487.3,5.0,446.3
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1976,1976-04-02,93,11.89,627.2,6.0,486.3
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1977,1977-03-27,86,10.91,532.6,9.0,445.7
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1978,1978-04-11,101,10.89,530.1,6.0,499.6
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1979,1979-04-10,100,12.58,682.0,0.0,422.6
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1980,1980-04-06,97,10.62,511.1,5.0,537.0
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1981,1981-04-03,93,10.43,491.5,8.0,391.1
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1982,1982-04-01,91,10.96,536.0,4.0,386.6
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1983,1983-04-09,99,11.19,557.2,3.0,516.5
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1984,1984-04-10,101,8.92,358.4,15.0,379.1
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1985,1985-04-01,91,11.09,547.9,6.0,549.3
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1986,1986-04-05,95,10.03,452.8,5.0,495.5
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1987,1987-04-08,98,11.72,604.5,2.0,445.2
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1988,1988-04-13,104,11.59,599.5,2.0,375.7
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1989,1989-04-02,92,12.44,669.8,0.0,655.3
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1990,1990-04-04,94,12.24,651.3,4.0,540.8
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1991,1991-04-06,96,10.96,536.8,4.0,421.2
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1992,1992-04-07,98,12.15,650.2,0.0,633.7
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1993,1993-04-12,102,11.99,629.0,0.0,479.8
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1994,1994-04-07,97,10.92,533.1,2.0,451.1
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1995,1995-04-10,100,11.12,550.7,1.0,412.2
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1996,1996-04-05,96,10.37,489.0,14.0,360.2
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1997,1997-03-31,90,11.28,565.0,3.0,238.9
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1998,1998-04-06,96,12.08,636.9,1.0,664.6
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,1999,1999-03-28,87,11.74,607.0,4.0,373.0
Japan/Miyakejima,34.1238888888889,139.521388888889,37.7,2000,2000-04-08,99,11.32,575.1,4.0,383.0
