location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1953,1953-04-06,96,8.81,359.3,31.0,339.1
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1954,1954-04-05,95,9.57,416.6,19.0,286.6
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1955,1955-03-31,90,9.16,393.0,22.0,300.5
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1956,1956-04-05,96,7.94,293.6,35.0,421.3
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1957,1957-04-10,100,8.1,296.4,39.0,275.7
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1958,1958-03-28,87,9.44,414.2,21.0,300.9
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1959,1959-03-30,89,9.88,458.4,18.0,495.1
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1960,1960-04-02,93,9.73,441.5,25.0,259.5
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1961,1961-04-03,93,8.39,324.5,38.0,321.2
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1962,1962-04-09,99,8.59,330.2,31.0,212.9
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1963,1963-04-05,95,6.97,228.6,48.0,257.8
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1964,1964-04-04,95,8.98,370.7,24.0,353.3
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1965,1965-04-08,98,8.25,301.7,25.0,190.8
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1966,1966-04-01,91,10.31,488.9,26.0,415.5
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1967,1967-04-03,93,8.67,355.7,38.0,394.5
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1968,1968-04-03,94,7.67,275.6,54.0,309.6
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1969,1969-04-09,99,9.19,390.1,27.0,374.6
Japan/Nagasaki,32.7341666666667,129.868055555556,26.9,1970,1970-04-09,99,7.83,272.7,29.0,200.0
