location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nago,26.5941666666667,127.966388888889,6.1,1977,1977-01-21,21,17.1,1089.3,,403.9
Japan/Nago,26.5941666666667,127.966388888889,6.1,1981,1981-01-26,26,,,0.0,
Japan/Nago,26.5941666666667,127.966388888889,6.1,1982,1982-01-24,24,17.5,1124.7,0.0,357.0
Japan/Nago,26.5941666666667,127.966388888889,6.1,1983,1983-01-28,28,17.48,1123.2,0.0,680.6
Japan/Nago,26.5941666666667,127.966388888889,6.1,1984,1984-02-01,32,16.3,1028.0,0.0,409.5
Japan/Nago,26.5941666666667,127.966388888889,6.1,1985,1985-02-07,38,17.65,1138.2,0.0,467.8
Japan/Nago,26.5941666666667,127.966388888889,6.1,1986,1986-01-28,28,15.77,969.2,,433.2
Japan/Nago,26.5941666666667,127.966388888889,6.1,1987,1987-02-12,43,17.56,1130.5,0.0,270.4
Japan/Nago,26.5941666666667,127.966388888889,6.1,1988,1988-01-25,25,18.59,1236.4,0.0,628.2
Japan/Nago,26.5941666666667,127.966388888889,6.1,1989,1989-01-18,18,17.86,1157.5,0.0,153.5
Japan/Nago,26.5941666666667,127.966388888889,6.1,1990,1990-01-23,23,18.3,1196.8,0.0,343.5
Japan/Nago,26.5941666666667,127.966388888889,6.1,1991,1991-01-31,31,,,0.0,
Japan/Nago,26.5941666666667,127.966388888889,6.1,1992,1992-02-04,35,18.01,1184.0,,568.4
Japan/Nago,26.5941666666667,127.966388888889,6.1,1993,1993-01-27,27,17.47,1122.4,,286.4
Japan/Nago,26.5941666666667,127.966388888889,6.1,1994,1994-01-27,27,17.22,1100.2,0.0,383.1
Japan/Nago,26.5941666666667,127.966388888889,6.1,1995,1995-02-03,34,16.69,1052.4,0.0,425.6
Japan/Nago,26.5941666666667,127.966388888889,6.1,1996,1996-01-24,24,17.47,1134.5,0.0,356.6
Japan/Nago,26.5941666666667,127.966388888889,6.1,1997,1997-01-29,29,,,0.0,
Japan/Nago,26.5941666666667,127.966388888889,6.1,1998,1998-02-12,43,18.95,1255.8,0.0,610.6
Japan/Nago,26.5941666666667,127.966388888889,6.1,1999,1999-02-01,32,18.46,1211.0,0.0,306.0
Japan/Nago,26.5941666666667,127.966388888889,6.1,2000,2000-01-26,26,17.51,1138.5,0.0,404.8
Japan/Nago,26.5941666666667,127.966388888889,6.1,2001,2001-02-02,33,17.97,1167.2,0.0,381.9
Japan/Nago,26.5941666666667,127.966388888889,6.1,2002,2002-01-31,31,17.8,1152.2,,228.4
