location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nara,34.6938888888889,135.827777777778,104.4,1954,1954-04-04,94,5.08,123.2,67.0,193.3
Japan/Nara,34.6938888888889,135.827777777778,104.4,1955,1955-04-06,96,4.52,108.8,81.0,213.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1956,1956-04-07,98,3.98,109.4,76.0,274.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1957,1957-04-13,103,3.78,56.8,81.0,178.4
Japan/Nara,34.6938888888889,135.827777777778,104.4,1958,1958-04-08,98,4.95,129.0,69.0,209.9
Japan/Nara,34.6938888888889,135.827777777778,104.4,1959,1959-03-29,88,5.79,182.3,61.0,301.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1960,1960-04-04,95,5.17,130.6,73.0,147.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1961,1961-04-07,97,3.72,79.4,83.0,202.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,1962,1962-04-09,99,4.17,75.1,77.0,122.9
Japan/Nara,34.6938888888889,135.827777777778,104.4,1963,1963-04-07,97,2.69,59.7,86.0,149.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1964,1964-04-07,98,4.22,58.8,79.0,221.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,1965,1965-04-17,107,3.48,35.9,80.0,215.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1966,1966-04-08,98,5.26,147.2,71.0,249.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1967,1967-04-08,98,4.15,89.3,86.0,252.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1968,1968-04-08,99,3.05,76.9,89.0,217.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1969,1969-04-12,102,4.52,108.4,61.0,277.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,1970,1970-04-17,107,3.29,46.5,81.0,199.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1971,1971-04-07,97,4.12,94.6,80.0,177.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1972,1972-04-06,97,5.66,140.1,73.0,333.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1973,1973-04-05,95,4.94,107.3,67.0,218.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1974,1974-04-08,98,3.54,62.5,86.0,187.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1975,1975-04-09,99,3.93,72.6,80.0,194.8
Japan/Nara,34.6938888888889,135.827777777778,104.4,1976,1976-04-05,96,5.09,132.9,75.0,281.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1977,1977-04-04,94,3.76,124.2,76.0,264.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1978,1978-04-11,101,3.57,66.2,75.0,145.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1979,1979-04-06,96,5.64,135.3,68.0,231.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1980,1980-04-08,99,3.17,57.4,76.0,231.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1981,1981-04-06,96,3.4,89.3,84.0,205.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1982,1982-04-01,91,4.2,100.8,85.0,191.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,1983,1983-04-07,97,4.39,87.9,79.0,181.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1984,1984-04-16,107,1.58,23.3,86.0,167.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1985,1985-04-08,98,4.58,102.1,76.0,300.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1986,1986-04-10,100,3.21,63.7,82.0,192.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1987,1987-04-06,96,4.75,115.5,69.0,225.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1988,1988-04-14,105,4.59,86.4,76.0,179.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1989,1989-04-02,92,6.06,151.0,72.0,381.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1990,1990-03-28,87,5.52,150.5,73.0,301.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,1991,1991-04-05,95,4.67,119.8,76.0,281.4
Japan/Nara,34.6938888888889,135.827777777778,104.4,1992,1992-04-01,92,5.51,136.5,71.0,226.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1993,1993-04-07,97,5.1,103.7,68.0,241.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,1994,1994-04-06,96,3.86,47.3,81.0,194.4
Japan/Nara,34.6938888888889,135.827777777778,104.4,1995,1995-04-08,98,4.74,95.4,71.0,180.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1996,1996-04-08,99,4.39,105.2,84.0,221.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,1997,1997-04-03,93,4.94,111.2,80.0,146.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,1998,1998-03-31,90,5.6,144.2,69.0,344.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,1999,1999-04-02,92,5.1,121.8,72.0,203.4
Japan/Nara,34.6938888888889,135.827777777778,104.4,2000,2000-04-10,101,4.55,86.6,76.0,189.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,2001,2001-04-04,94,4.6,114.1,75.0,239.8
Japan/Nara,34.6938888888889,135.827777777778,104.4,2002,2002-03-26,85,5.95,174.7,75.0,285.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,2003,2003-04-04,94,4.38,71.2,78.0,288.0
Japan/Nara,34.6938888888889,135.827777777778,104.4,2004,2004-03-30,90,5.05,121.1,76.0,151.4
Japan/Nara,34.6938888888889,135.827777777778,104.4,2005,2005-04-07,97,4.49,86.1,68.0,179.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,2006,2006-04-05,95,4.81,109.2,80.0,270.3
Japan/Nara,34.6938888888889,135.827777777778,104.4,2007,2007-04-04,94,6.24,151.9,64.0,146.9
Japan/Nara,34.6938888888889,135.827777777778,104.4,2008,2008-04-03,94,4.94,126.5,75.0,240.6
Japan/Nara,34.6938888888889,135.827777777778,104.4,2009,2009-04-06,96,5.83,144.8,63.0,295.8
Japan/Nara,34.6938888888889,135.827777777778,104.4,2010,2010-04-02,92,5.74,157.9,68.0,315.9
Japan/Nara,34.6938888888889,135.827777777778,104.4,2011,2011-04-08,98,4.09,81.2,69.0,140.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,2012,2012-04-09,100,4.17,91.0,78.0,271.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,2013,2013-03-29,88,5.02,137.6,81.0,196.3
Japan/Nara,34.6938888888889,135.827777777778,104.4,2014,2014-04-01,91,5.08,135.2,80.0,289.5
Japan/Nara,34.6938888888889,135.827777777778,104.4,2015,2015-03-31,90,5.23,127.1,80.0,307.7
Japan/Nara,34.6938888888889,135.827777777778,104.4,2016,2016-04-02,93,5.58,142.3,62.0,215.3
Japan/Nara,34.6938888888889,135.827777777778,104.4,2017,2017-04-08,98,4.64,80.9,71.0,205.8
Japan/Nara,34.6938888888889,135.827777777778,104.4,2018,2018-03-29,88,4.89,146.8,83.0,235.2
Japan/Nara,34.6938888888889,135.827777777778,104.4,2019,2019-04-05,95,5.64,129.3,71.0,212.9
Japan/Nara,34.6938888888889,135.827777777778,104.4,2020,2020-04-03,94,6.9,205.2,61.0,288.1
Japan/Nara,34.6938888888889,135.827777777778,104.4,2021,2021-03-30,89,6.43,223.1,60.0,285.6
