location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1953,1953-04-09,99,5.9,164.1,71.0,120.8
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1954,1954-04-03,93,6.12,168.9,59.0,159.0
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1955,1955-04-03,93,5.69,152.0,73.0,206.9
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1956,1956-04-09,100,5.03,131.6,68.0,239.6
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1957,1957-04-10,100,4.92,93.7,76.0,141.1
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1958,1958-04-07,97,6.19,181.5,60.0,177.5
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1959,1959-04-02,92,6.81,232.6,47.0,214.6
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1960,1960-04-06,97,6.47,192.8,60.0,107.3
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1961,1961-04-07,97,5.2,126.8,76.0,160.8
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1962,1962-04-11,101,5.53,127.5,69.0,101.1
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1963,1963-04-11,101,3.88,88.6,75.0,114.7
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1964,1964-04-06,97,5.28,101.8,68.0,182.2
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1965,1965-04-15,105,4.75,71.4,68.0,171.3
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1966,1966-04-03,93,6.41,207.1,60.0,276.9
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1967,1967-04-07,97,5.33,140.7,77.0,194.6
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1968,1968-04-09,100,4.51,126.9,83.0,170.2
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1969,1969-04-12,102,5.65,146.3,51.0,197.6
Japan/Okayama,34.6858333333333,133.925277777778,5.32,1970,1970-04-14,104,4.63,80.8,74.0,133.8
