location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1957,1957-04-10,100,4.49,72.5,77.0,182.4
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1959,1959-04-03,93,6.28,200.1,54.0,303.4
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1960,1960-04-09,100,5.93,158.7,64.0,154.3
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1962,1962-04-09,99,5.11,103.2,69.0,117.6
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1965,1965-04-15,105,4.3,54.2,75.0,204.2
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1966,1966-04-05,95,5.92,175.2,64.0,262.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1967,1967-04-03,93,4.84,105.3,85.0,265.8
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1968,1968-04-04,95,3.89,92.0,83.0,221.7
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1969,1969-04-10,100,5.0,116.2,59.0,268.4
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1970,1970-04-14,104,4.02,57.2,79.0,198.6
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1971,1971-04-07,97,4.76,103.4,74.0,182.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1972,1972-04-05,96,6.21,158.0,67.0,341.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1973,1973-04-05,95,5.6,123.3,63.0,219.4
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1974,1974-04-08,98,4.13,73.1,84.0,194.1
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1975,1975-04-09,99,4.77,95.2,79.0,199.7
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1976,1976-04-07,98,5.68,153.6,70.0,299.8
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1977,1977-04-01,91,4.39,140.1,71.0,247.1
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1978,1978-04-10,100,4.34,87.5,67.0,148.5
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1979,1979-04-09,99,6.39,168.6,56.0,250.1
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1980,1980-04-09,100,3.96,68.0,70.0,229.6
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1981,1981-04-06,96,4.1,102.9,84.0,206.3
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1982,1982-03-31,90,4.97,114.6,84.0,196.6
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1983,1983-04-08,98,5.14,104.9,73.0,180.2
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1984,1984-04-16,107,2.56,32.9,82.0,159.2
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1985,1985-04-08,98,5.06,109.2,75.0,312.5
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1986,1986-04-09,99,3.91,73.6,80.0,196.5
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1987,1987-04-07,97,5.4,139.0,60.0,219.3
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1988,1988-04-11,102,5.19,103.8,71.0,183.7
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1989,1989-04-01,91,6.61,178.0,68.0,395.3
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1990,1990-03-30,89,6.12,173.2,66.0,316.4
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1991,1991-04-06,96,5.21,125.6,69.0,280.6
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1992,1992-04-02,93,6.19,157.5,66.0,230.2
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1993,1993-04-07,97,5.86,129.3,63.0,242.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1994,1994-04-06,96,4.64,69.4,73.0,194.8
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1995,1995-04-07,97,5.46,121.7,70.0,177.1
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1996,1996-04-09,100,4.99,115.5,78.0,220.5
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1997,1997-04-04,94,5.61,129.4,71.0,150.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1998,1998-04-03,93,6.3,169.8,62.0,335.8
Japan/Osaka,34.6822222222222,135.519166666667,23.0,1999,1999-03-29,88,5.82,143.9,66.0,213.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,2000,2000-04-08,99,5.25,113.1,69.0,203.2
Japan/Osaka,34.6822222222222,135.519166666667,23.0,2001,2001-04-04,94,5.22,131.2,66.0,249.9
Japan/Osaka,34.6822222222222,135.519166666667,23.0,2002,2002-03-28,87,6.56,203.6,68.0,294.8
Japan/Osaka,34.6822222222222,135.519166666667,23.0,2003,2003-04-02,92,5.08,93.2,75.0,297.8
