location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Owase,34.0697222222222,136.193333333333,15.3,1953,1953-04-05,95,7.63,268.4,43.0,257.8
Japan/Owase,34.0697222222222,136.193333333333,15.3,1954,1954-04-04,94,8.38,321.8,27.0,272.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,1955,1955-03-31,90,7.83,288.9,42.0,406.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1956,1956-04-06,97,7.21,247.7,44.0,418.9
Japan/Owase,34.0697222222222,136.193333333333,15.3,1957,1957-04-10,100,7.28,230.3,52.0,281.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,1958,1958-04-08,98,8.32,322.1,29.0,479.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,1959,1959-03-29,88,9.12,400.4,25.0,515.9
Japan/Owase,34.0697222222222,136.193333333333,15.3,1960,1960-04-02,93,8.7,354.1,30.0,184.2
Japan/Owase,34.0697222222222,136.193333333333,15.3,1961,1961-04-04,94,7.1,229.4,51.0,321.2
Japan/Owase,34.0697222222222,136.193333333333,15.3,1962,1962-04-09,99,7.51,248.7,45.0,207.8
Japan/Owase,34.0697222222222,136.193333333333,15.3,1963,1963-04-06,96,5.7,140.8,60.0,221.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,1964,1964-04-07,98,7.4,244.6,38.0,392.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1965,1965-04-17,107,6.91,200.0,37.0,275.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,1966,1966-03-29,88,8.69,361.8,37.0,390.3
Japan/Owase,34.0697222222222,136.193333333333,15.3,1967,1967-04-03,93,7.5,272.2,46.0,313.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1968,1968-04-04,95,6.63,212.0,63.0,296.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1969,1969-04-08,98,8.01,299.0,30.0,506.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1970,1970-04-10,100,6.64,187.0,47.0,249.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1971,1971-04-02,92,7.32,240.2,43.0,284.4
Japan/Owase,34.0697222222222,136.193333333333,15.3,1972,1972-04-03,94,9.02,368.6,22.0,609.7
Japan/Owase,34.0697222222222,136.193333333333,15.3,1973,1973-04-03,93,8.5,325.5,27.0,400.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1974,1974-04-02,92,6.81,212.0,53.0,283.4
Japan/Owase,34.0697222222222,136.193333333333,15.3,1975,1975-04-06,96,7.25,234.7,44.0,430.0
Japan/Owase,34.0697222222222,136.193333333333,15.3,1976,1976-04-05,96,8.32,329.1,41.0,419.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1977,1977-03-29,88,6.95,259.0,53.0,401.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1978,1978-04-10,100,7.09,226.1,42.0,246.3
Japan/Owase,34.0697222222222,136.193333333333,15.3,1979,1979-04-06,96,9.0,367.9,21.0,439.7
Japan/Owase,34.0697222222222,136.193333333333,15.3,1980,1980-04-05,96,6.66,206.5,49.0,384.4
Japan/Owase,34.0697222222222,136.193333333333,15.3,1981,1981-04-03,93,6.7,217.2,62.0,402.0
Japan/Owase,34.0697222222222,136.193333333333,15.3,1982,1982-03-30,89,7.4,249.0,49.0,327.3
Japan/Owase,34.0697222222222,136.193333333333,15.3,1983,1983-04-07,97,7.63,261.7,38.0,329.0
Japan/Owase,34.0697222222222,136.193333333333,15.3,1984,1984-04-11,102,4.91,97.2,68.0,281.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1985,1985-04-05,95,7.78,285.9,47.0,427.2
Japan/Owase,34.0697222222222,136.193333333333,15.3,1986,1986-04-06,96,6.2,168.3,65.0,339.3
Japan/Owase,34.0697222222222,136.193333333333,15.3,1987,1987-04-06,96,8.09,301.6,33.0,355.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1988,1988-04-08,99,7.97,289.6,33.0,327.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,1989,1989-03-30,89,9.35,397.9,23.0,523.2
Japan/Owase,34.0697222222222,136.193333333333,15.3,1990,1990-04-01,91,8.75,356.0,27.0,441.7
Japan/Owase,34.0697222222222,136.193333333333,15.3,1991,1991-04-05,95,7.82,282.7,45.0,488.0
Japan/Owase,34.0697222222222,136.193333333333,15.3,1992,1992-04-03,94,8.65,337.3,31.0,373.9
Japan/Owase,34.0697222222222,136.193333333333,15.3,1993,1993-04-07,97,8.38,312.5,24.0,353.7
Japan/Owase,34.0697222222222,136.193333333333,15.3,1994,1994-04-07,97,7.33,231.5,38.0,275.7
Japan/Owase,34.0697222222222,136.193333333333,15.3,1995,1995-04-10,100,7.84,266.8,41.0,372.4
Japan/Owase,34.0697222222222,136.193333333333,15.3,1996,1996-04-03,94,7.24,249.1,51.0,357.0
Japan/Owase,34.0697222222222,136.193333333333,15.3,1997,1997-04-04,94,7.95,284.0,46.0,244.4
Japan/Owase,34.0697222222222,136.193333333333,15.3,1998,1998-03-31,90,8.82,355.5,30.0,576.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,1999,1999-04-01,91,8.34,322.2,32.0,368.8
Japan/Owase,34.0697222222222,136.193333333333,15.3,2000,2000-04-07,98,7.82,283.4,36.0,303.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,2001,2001-04-04,94,7.95,287.3,41.0,343.6
Japan/Owase,34.0697222222222,136.193333333333,15.3,2002,2002-03-27,86,9.11,378.4,30.0,424.3
Japan/Owase,34.0697222222222,136.193333333333,15.3,2003,2003-03-30,89,7.8,273.0,33.0,500.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,2004,2004-04-03,94,8.56,339.3,32.0,265.5
Japan/Owase,34.0697222222222,136.193333333333,15.3,2005,2005-04-08,98,7.92,275.3,33.0,323.9
Japan/Owase,34.0697222222222,136.193333333333,15.3,2006,2006-03-30,89,8.16,299.9,47.0,522.1
Japan/Owase,34.0697222222222,136.193333333333,15.3,2007,2007-03-30,89,9.68,421.7,8.0,310.4
