location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Saga,33.2663888888889,130.305277777778,5.47,1953,1953-04-09,99,6.85,217.3,51.0,265.0
Japan/Saga,33.2663888888889,130.305277777778,5.47,1954,1954-04-05,95,7.71,266.9,35.0,245.4
Japan/Saga,33.2663888888889,130.305277777778,5.47,1955,1955-04-04,94,7.07,230.1,59.0,244.1
Japan/Saga,33.2663888888889,130.305277777778,5.47,1956,1956-04-04,95,5.9,163.6,58.0,366.3
Japan/Saga,33.2663888888889,130.305277777778,5.47,1957,1957-04-07,97,6.23,157.9,67.0,243.7
Japan/Saga,33.2663888888889,130.305277777778,5.47,1958,1958-04-04,94,7.37,252.7,42.0,237.9
Japan/Saga,33.2663888888889,130.305277777778,5.47,1959,1959-03-31,90,7.84,300.4,32.0,443.6
Japan/Saga,33.2663888888889,130.305277777778,5.47,1960,1960-04-08,99,7.59,267.8,46.0,221.2
Japan/Saga,33.2663888888889,130.305277777778,5.47,1961,1961-04-01,91,6.36,177.0,68.0,268.0
Japan/Saga,33.2663888888889,130.305277777778,5.47,1962,1962-04-09,99,6.67,187.9,55.0,164.1
Japan/Saga,33.2663888888889,130.305277777778,5.47,1963,1963-04-05,95,4.94,120.0,65.0,212.6
Japan/Saga,33.2663888888889,130.305277777778,5.47,1964,1964-04-03,94,6.9,204.6,49.0,296.9
Japan/Saga,33.2663888888889,130.305277777778,5.47,1965,1965-04-03,93,6.15,141.9,55.0,139.0
Japan/Saga,33.2663888888889,130.305277777778,5.47,1966,1966-04-02,92,8.0,306.5,43.0,335.4
Japan/Saga,33.2663888888889,130.305277777778,5.47,1968,1968-04-05,96,5.64,151.3,71.0,245.1
Japan/Saga,33.2663888888889,130.305277777778,5.47,1969,1969-04-08,98,7.2,233.0,39.0,306.9
Japan/Saga,33.2663888888889,130.305277777778,5.47,1970,1970-04-10,100,5.8,126.4,61.0,164.9
Japan/Saga,33.2663888888889,130.305277777778,5.47,1971,1971-04-06,96,6.24,165.2,59.0,243.3
Japan/Saga,33.2663888888889,130.305277777778,5.47,1972,1972-04-04,95,8.09,292.6,37.0,409.8
Japan/Saga,33.2663888888889,130.305277777778,5.47,1973,1973-03-31,90,7.98,275.4,40.0,244.9
Japan/Saga,33.2663888888889,130.305277777778,5.47,1974,1974-04-03,93,6.39,173.2,61.0,210.6
Japan/Saga,33.2663888888889,130.305277777778,5.47,1975,1975-04-05,95,6.81,193.5,59.0,239.7
Japan/Saga,33.2663888888889,130.305277777778,5.47,1976,1976-04-03,94,7.59,265.0,52.0,357.1
Japan/Saga,33.2663888888889,130.305277777778,5.47,1977,1977-03-28,87,5.79,189.2,63.0,305.8
