location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1953,1953-04-18,108,6.04,177.0,56.0,355.2
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1954,1954-04-05,95,6.88,228.0,36.0,405.2
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1955,1955-04-09,99,5.89,154.3,55.0,315.4
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1956,1956-04-14,105,5.03,130.4,59.0,477.9
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1957,1957-04-17,107,5.26,116.2,67.0,349.1
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1958,1958-04-10,100,6.71,219.1,46.0,383.4
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1959,1959-04-03,93,6.82,227.0,38.0,428.9
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1960,1960-04-07,98,6.96,230.3,46.0,326.1
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1961,1961-04-10,100,5.46,137.6,61.0,341.9
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1962,1962-04-14,104,6.12,157.4,56.0,338.6
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1963,1963-04-14,104,4.1,78.9,60.0,418.2
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1964,1964-04-13,104,5.65,121.9,54.0,324.1
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1965,1965-04-17,107,5.36,114.1,53.0,371.8
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1966,1966-04-08,98,6.81,235.5,47.0,433.1
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1967,1967-04-08,98,5.95,180.4,59.0,394.6
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1968,1968-04-12,103,4.88,128.3,71.0,370.9
