location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1953,1953-04-03,93,12.82,703.9,0.0,244.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1958,1958-04-05,95,12.98,718.0,3.0,449.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1959,1959-04-09,99,13.71,784.6,7.0,526.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1960,1960-04-05,96,13.52,775.2,3.0,342.0
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1961,1961-04-05,95,12.1,639.4,7.0,366.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1963,1963-04-03,93,10.54,499.0,15.0,211.7
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1965,1965-04-11,101,11.91,621.5,3.0,192.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1966,1966-03-31,90,14.15,823.2,3.0,465.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1968,1968-04-03,94,11.26,569.8,10.0,388.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1972,1972-04-07,98,13.96,815.8,0.0,518.0
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1973,1973-03-20,79,13.82,793.6,0.0,502.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1974,1974-04-02,92,12.07,635.9,6.0,231.9
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1975,1975-04-15,105,12.52,677.1,2.0,500.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1976,1976-04-02,93,12.99,727.2,3.0,403.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1977,1977-03-26,85,11.55,592.1,21.0,309.4
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1978,1978-04-15,105,12.29,655.8,5.0,419.0
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1979,1979-04-27,117,13.77,789.7,0.0,435.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1980,1980-04-06,97,12.37,670.6,6.0,456.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1981,1981-03-27,86,12.16,646.4,3.0,415.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1982,1982-03-31,90,12.69,693.1,5.0,410.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1983,1983-04-08,98,12.88,709.0,5.0,449.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1984,1984-04-03,94,10.57,507.8,12.0,363.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1985,1985-04-07,97,12.95,715.4,6.0,539.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1986,1986-04-01,91,11.13,551.3,6.0,348.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1987,1987-04-05,95,13.16,734.8,3.0,449.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1988,1988-04-05,96,13.19,745.2,0.0,369.0
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1989,1989-04-03,93,14.12,821.2,1.0,358.7
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1990,1990-03-28,87,13.92,802.9,4.0,490.2
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1991,1991-04-07,97,12.94,714.7,3.0,434.7
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1992,1992-04-08,99,13.68,789.9,0.0,595.7
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1996,1996-03-28,88,12.28,662.7,3.0,293.3
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1997,1997-03-30,89,13.15,733.7,1.0,318.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2000,2000-04-12,103,12.89,718.0,2.0,395.9
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2001,2001-04-23,113,13.47,762.3,2.0,425.2
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2003,2003-04-03,93,12.67,689.9,2.0,364.5
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2004,2004-03-31,91,13.08,735.4,2.0,240.4
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2005,2005-04-09,99,12.31,657.6,1.0,382.8
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2006,2006-03-31,90,13.41,756.6,5.0,361.6
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2007,2007-04-25,115,14.22,829.9,0.0,469.1
