location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1969,1969-04-09,99,9.03,367.3,20.0,381.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1970,1970-04-11,101,7.8,262.6,24.0,170.0
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1971,1971-04-04,94,8.39,308.2,28.0,217.3
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1972,1972-04-03,94,9.76,433.5,17.0,471.0
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1973,1973-04-09,99,9.42,398.6,11.0,268.0
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1974,1974-04-08,98,7.8,259.9,38.0,321.1
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1975,1975-04-07,97,8.33,304.6,29.0,274.3
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1976,1976-04-04,95,9.5,416.2,21.0,364.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1977,1977-04-02,92,8.16,305.5,44.0,309.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1978,1978-04-16,106,8.32,307.5,28.0,216.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1979,1979-04-07,97,10.18,467.2,13.0,371.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1980,1980-04-12,103,8.09,289.0,28.0,343.9
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1981,1981-04-07,97,8.04,286.5,39.0,212.8
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1982,1982-04-02,92,8.55,330.7,26.0,284.1
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1983,1983-04-12,102,8.74,339.9,21.0,280.7
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1984,1984-04-15,106,6.25,150.4,55.0,254.5
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1985,1985-04-08,98,8.13,294.4,30.0,383.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1986,1986-04-09,99,7.54,242.8,43.0,301.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1987,1987-04-06,96,9.11,375.8,23.0,264.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1988,1988-04-12,103,9.05,375.6,25.0,252.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1989,1989-04-03,93,10.02,452.2,15.0,413.3
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1990,1990-04-01,91,9.66,427.2,20.0,325.3
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1991,1991-04-09,99,9.01,361.2,26.0,278.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1992,1992-04-03,94,9.6,419.3,15.0,350.9
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1993,1993-04-07,97,9.49,404.4,10.0,385.7
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1994,1994-04-08,98,8.31,303.1,24.0,378.3
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1995,1995-04-09,99,8.69,333.9,28.0,257.8
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1996,1996-04-05,96,8.38,320.2,29.0,252.0
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1997,1997-04-07,97,9.04,368.9,16.0,181.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1998,1998-04-06,96,9.42,399.4,17.0,453.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1999,1999-04-10,100,9.53,412.2,17.0,285.7
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2000,2000-04-10,101,8.96,366.1,20.0,292.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2001,2001-04-03,93,8.65,333.9,30.0,375.0
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2002,2002-03-27,86,10.33,480.8,15.0,319.1
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2003,2003-04-03,93,8.63,327.8,26.0,372.6
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2004,2004-04-05,96,9.68,425.6,13.0,229.4
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2005,2005-04-08,98,9.07,365.9,15.0,337.1
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2006,2006-03-29,88,8.94,362.2,30.0,336.6
