location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1953,1953-04-05,95,4.84,130.6,82.0,176.8
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1954,1954-04-01,91,4.71,150.4,66.0,196.3
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1955,1955-04-05,95,4.94,111.2,75.0,236.6
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1956,1956-04-08,99,4.51,121.6,70.0,282.1
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1957,1957-04-10,100,4.65,86.0,77.0,179.1
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1958,1958-04-06,96,5.45,136.1,67.0,187.9
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1959,1959-04-05,95,5.55,152.1,63.0,272.7
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1960,1960-04-01,92,5.8,154.8,67.0,112.5
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1961,1961-04-08,98,4.16,74.9,75.0,169.1
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1962,1962-04-09,99,4.93,94.3,76.0,128.2
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1963,1963-04-06,96,3.73,65.7,84.0,118.3
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1964,1964-04-05,96,4.52,64.7,74.0,292.3
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1965,1965-04-12,102,4.39,60.5,72.0,111.4
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1966,1966-04-05,95,5.86,177.5,63.0,278.0
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1967,1967-04-05,95,3.97,108.9,83.0,225.4
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1968,1968-04-03,94,4.12,119.5,79.0,202.4
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1969,1969-04-10,100,4.61,111.8,62.0,339.7
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1970,1970-04-15,105,3.63,53.5,78.0,142.2
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1971,1971-04-05,95,4.47,98.5,80.0,157.6
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1972,1972-04-01,92,6.04,166.6,63.0,355.9
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1973,1973-04-08,98,5.73,125.8,58.0,195.8
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1974,1974-04-09,99,3.86,66.8,83.0,232.0
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1975,1975-04-06,96,4.36,68.6,85.0,228.4
