location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1967,1967-04-03,93,7.02,238.4,56.0,268.8
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1968,1968-04-01,92,6.0,181.5,73.0,233.3
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1969,1969-04-10,100,7.78,282.2,37.0,302.0
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1970,1970-04-11,101,6.19,153.6,64.0,158.7
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1971,1971-04-02,92,6.72,206.6,50.0,215.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1972,1972-04-02,93,8.59,334.5,35.0,416.4
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1973,1973-04-02,92,8.04,288.3,38.0,247.9
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1974,1974-04-02,92,6.67,196.6,69.0,200.8
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1975,1975-04-05,95,6.9,209.0,55.0,276.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1976,1976-04-04,95,7.76,284.5,50.0,309.0
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1977,1977-03-27,86,6.2,224.5,63.0,259.4
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1978,1978-04-10,100,6.73,204.4,45.0,184.9
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1979,1979-04-07,97,8.22,306.0,33.0,339.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1980,1980-04-05,96,6.34,196.6,51.0,239.3
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1981,1981-03-31,90,6.36,199.8,69.0,237.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1982,1982-03-25,84,7.22,242.8,56.0,249.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1983,1983-04-04,94,7.24,240.7,57.0,269.4
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1984,1984-04-06,97,4.77,103.9,69.0,169.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1985,1985-04-05,95,7.36,249.0,54.0,305.3
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1986,1986-04-03,93,5.81,152.6,73.0,199.8
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1987,1987-04-05,95,7.81,283.6,36.0,280.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1988,1988-04-08,99,7.25,237.6,48.0,207.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1989,1989-03-31,90,8.84,354.4,36.0,346.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1990,1990-03-26,85,8.53,342.9,35.0,398.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1991,1991-03-31,90,7.74,281.8,50.0,287.2
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1992,1992-03-31,91,8.29,306.9,42.0,295.9
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1993,1993-04-08,98,7.8,269.6,34.0,224.0
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1994,1994-04-06,96,6.95,197.3,43.0,257.8
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1995,1995-04-07,97,7.62,252.2,46.0,142.5
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1996,1996-04-01,92,7.17,232.7,62.0,222.4
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1997,1997-03-29,88,7.86,271.2,54.0,156.4
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1998,1998-04-03,93,8.45,328.1,32.0,365.1
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1999,1999-04-01,91,8.31,319.5,31.0,190.5
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2000,2000-04-04,95,7.41,249.1,45.0,234.8
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2001,2001-03-28,87,7.71,273.8,45.0,245.0
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2002,2002-03-23,82,8.74,349.4,41.0,230.5
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2003,2003-03-28,87,7.41,243.0,44.0,231.6
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2004,2004-04-01,92,7.94,296.8,40.0,199.0
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2005,2005-04-05,95,7.05,214.2,45.0,251.7
