location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1955,1955-04-03,93,6.66,201.6,58.0,239.2
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1956,1956-04-03,94,6.07,175.3,56.0,313.5
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1957,1957-04-08,98,6.15,152.4,64.0,195.2
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1958,1958-04-04,94,7.15,233.4,40.0,227.1
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1959,1959-03-27,86,7.71,294.2,36.0,313.4
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1960,1960-04-04,95,7.28,237.7,49.0,151.6
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1961,1961-04-03,93,6.04,156.2,66.0,208.0
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1962,1962-04-08,98,6.56,180.8,59.0,144.5
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1963,1963-04-05,95,4.66,103.6,65.0,192.5
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1964,1964-04-05,96,6.22,160.1,51.0,214.1
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1965,1965-04-11,101,5.84,125.5,52.0,208.4
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1966,1966-03-29,88,7.64,281.0,47.0,268.3
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1967,1967-04-01,91,6.31,184.1,65.0,268.3
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1968,1968-04-02,93,5.57,157.7,72.0,231.0
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1969,1969-04-12,102,6.6,197.7,43.0,294.9
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1970,1970-04-12,102,5.58,119.4,64.0,202.8
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1971,1971-04-02,92,6.21,168.5,58.0,188.9
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1972,1972-04-02,93,7.63,257.5,43.0,367.3
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1973,1973-04-02,92,7.14,215.8,46.0,224.8
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1974,1974-04-03,93,5.75,145.1,75.0,192.4
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1975,1975-04-04,94,6.22,165.7,57.0,215.1
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1976,1976-04-02,93,7.16,237.3,50.0,317.8
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1977,1977-03-28,87,5.74,195.3,61.0,236.0
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1978,1978-04-08,98,5.95,150.8,52.0,163.1
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1979,1979-04-05,95,7.75,262.6,41.0,253.7
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1980,1980-04-06,97,5.58,130.4,60.0,226.4
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1981,1981-04-02,92,5.85,168.8,68.0,223.4
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1982,1982-03-28,87,6.35,181.1,68.0,216.2
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1983,1983-04-07,97,6.52,177.2,59.0,206.5
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1984,1984-04-11,102,3.99,63.2,71.0,178.8
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1985,1985-04-06,96,6.5,187.4,59.0,287.3
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1986,1986-04-08,98,5.25,117.1,73.0,195.8
Japan/Wakayama,34.2288888888889,135.164166666667,13.9,1987,1987-04-08,98,7.0,224.8,47.0,226.9
