location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Adelboden,46.492022,7.561067,1350,1965,1965-05-24,144,-5.09,0.0,90.0,400.7
Switzerland/Adelboden,46.492022,7.561067,1350,1966,1966-05-13,133,-3.23,0.0,90.0,478.3
Switzerland/Adelboden,46.492022,7.561067,1350,1967,1967-05-12,132,-3.42,0.8,90.0,436.0
Switzerland/Adelboden,46.492022,7.561067,1350,1968,1968-05-04,125,-3.46,0.0,90.0,542.6
Switzerland/Adelboden,46.492022,7.561067,1350,1969,1969-05-08,128,-4.31,0.0,90.0,320.1
Switzerland/Adelboden,46.492022,7.561067,1350,1970,1970-05-30,150,-4.36,0.0,90.0,726.3
Switzerland/Adelboden,46.492022,7.561067,1350,1971,1971-05-07,127,-5.82,0.0,90.0,291.0
Switzerland/Adelboden,46.492022,7.561067,1350,1972,1972-05-09,130,-2.05,0.0,90.0,218.5
Switzerland/Adelboden,46.492022,7.561067,1350,1973,1973-05-22,142,-4.45,0.0,90.0,307.1
Switzerland/Adelboden,46.492022,7.561067,1350,1974,1974-05-10,130,-1.56,0.1,90.0,321.2
Switzerland/Adelboden,46.492022,7.561067,1350,1975,1975-05-14,134,-2.8,0.0,90.0,342.4
Switzerland/Adelboden,46.492022,7.561067,1350,1976,1976-05-05,126,-3.29,0.0,90.0,213.3
Switzerland/Adelboden,46.492022,7.561067,1350,1977,1977-05-07,127,-1.93,1.1,90.0,517.2
Switzerland/Adelboden,46.492022,7.561067,1350,1978,1978-05-18,138,-3.03,0.0,90.0,627.4
Switzerland/Adelboden,46.492022,7.561067,1350,1979,1979-05-16,136,-3.9,0.0,90.0,506.2
Switzerland/Adelboden,46.492022,7.561067,1350,1980,1980-05-13,134,-3.36,0.1,90.0,472.5
Switzerland/Adelboden,46.492022,7.561067,1350,1981,1981-05-09,129,-4.46,5.2,90.0,547.8
Switzerland/Adelboden,46.492022,7.561067,1350,1982,1982-05-13,133,-3.13,0.0,90.0,419.6
Switzerland/Adelboden,46.492022,7.561067,1350,1983,1983-05-08,128,-3.55,0.0,90.0,442.3
Switzerland/Adelboden,46.492022,7.561067,1350,1984,1984-05-25,146,-5.15,0.0,90.0,498.5
Switzerland/Adelboden,46.492022,7.561067,1350,1985,1985-05-18,138,-5.32,0.0,90.0,407.2
Switzerland/Adelboden,46.492022,7.561067,1350,1986,1986-05-05,125,-4.94,0.0,90.0,490.1
Switzerland/Adelboden,46.492022,7.561067,1350,1987,1987-05-12,132,-5.47,0.0,90.0,450.3
Switzerland/Adelboden,46.492022,7.561067,1350,1988,1988-05-09,130,-3.3,0.0,90.0,729.8
Switzerland/Adelboden,46.492022,7.561067,1350,1989,1989-05-08,128,-1.89,3.1,90.0,263.5
Switzerland/Adelboden,46.492022,7.561067,1350,1990,1990-04-29,119,-1.58,7.2,90.0,425.6
Switzerland/Adelboden,46.492022,7.561067,1350,1991,1991-05-30,150,-3.1,0.0,90.0,285.2
Switzerland/Adelboden,46.492022,7.561067,1350,1992,1992-05-12,133,-3.24,0.0,90.0,361.3
Switzerland/Adelboden,46.492022,7.561067,1350,1993,1993-05-09,129,-3.23,1.2,90.0,207.5
Switzerland/Adelboden,46.492022,7.561067,1350,1994,1994-05-05,125,-1.44,5.9,90.0,376.9
Switzerland/Adelboden,46.492022,7.561067,1350,1995,1995-05-07,127,-3.63,0.0,90.0,742.4
Switzerland/Adelboden,46.492022,7.561067,1350,1996,1996-05-04,125,-4.1,2.5,90.0,242.0
Switzerland/Adelboden,46.492022,7.561067,1350,1997,1997-04-29,119,-1.69,1.0,90.0,308.5
