location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Altdorf,46.872614,8.658569,470,1976,1976-05-12,133,1.84,13.1,90.0,236.6
Switzerland/Altdorf,46.872614,8.658569,470,1977,1977-05-02,122,3.21,51.1,89.0,427.5
Switzerland/Altdorf,46.872614,8.658569,470,1978,1978-04-20,110,1.9,32.7,89.0,559.3
Switzerland/Altdorf,46.872614,8.658569,470,1979,1979-04-20,110,1.01,15.0,90.0,414.2
Switzerland/Altdorf,46.872614,8.658569,470,1980,1980-05-10,131,1.71,9.1,89.0,378.0
Switzerland/Altdorf,46.872614,8.658569,470,1981,1981-04-13,103,0.65,42.5,90.0,531.7
Switzerland/Altdorf,46.872614,8.658569,470,1982,1982-04-22,112,1.87,4.9,90.0,387.2
Switzerland/Altdorf,46.872614,8.658569,470,1984,1984-05-15,136,0.32,2.7,89.0,420.0
Switzerland/Altdorf,46.872614,8.658569,470,1985,1985-05-10,130,-0.34,7.0,90.0,346.2
Switzerland/Altdorf,46.872614,8.658569,470,1987,1987-05-25,145,-0.43,10.3,90.0,413.7
Switzerland/Altdorf,46.872614,8.658569,470,1988,1988-05-21,142,2.07,12.5,84.0,646.5
Switzerland/Altdorf,46.872614,8.658569,470,1989,1989-05-10,130,3.8,58.8,86.0,243.3
Switzerland/Altdorf,46.872614,8.658569,470,1990,1990-04-16,106,3.55,74.3,90.0,366.9
Switzerland/Altdorf,46.872614,8.658569,470,1991,1991-04-13,103,2.2,61.2,88.0,245.0
Switzerland/Altdorf,46.872614,8.658569,470,1992,1992-05-25,146,2.02,22.5,90.0,408.1
Switzerland/Altdorf,46.872614,8.658569,470,1994,1994-05-25,145,3.66,76.6,88.0,418.9
Switzerland/Altdorf,46.872614,8.658569,470,1995,1995-05-23,143,1.82,16.0,89.0,607.7
Switzerland/Altdorf,46.872614,8.658569,470,1999,1999-04-10,100,1.53,20.7,88.0,630.1
Switzerland/Altdorf,46.872614,8.658569,470,2000,2000-04-15,106,2.22,22.7,90.0,452.3
Switzerland/Altdorf,46.872614,8.658569,470,2001,2001-04-02,92,3.26,46.4,83.0,435.8
Switzerland/Altdorf,46.872614,8.658569,470,2002,2002-03-24,83,2.78,48.2,88.0,277.4
Switzerland/Altdorf,46.872614,8.658569,470,2003,2003-04-10,100,1.04,44.9,87.0,253.7
Switzerland/Altdorf,46.872614,8.658569,470,2004,2004-04-06,97,1.56,32.3,87.0,417.5
Switzerland/Altdorf,46.872614,8.658569,470,2005,2005-04-07,97,0.13,59.9,90.0,348.9
Switzerland/Altdorf,46.872614,8.658569,470,2006,2006-04-18,108,0.09,23.3,90.0,349.0
Switzerland/Altdorf,46.872614,8.658569,470,2007,2007-04-12,102,3.82,46.7,82.0,375.6
Switzerland/Altdorf,46.872614,8.658569,470,2008,2008-04-10,101,3.01,33.9,88.0,321.7
Switzerland/Altdorf,46.872614,8.658569,470,2009,2009-04-10,100,0.91,8.2,90.0,442.1
Switzerland/Altdorf,46.872614,8.658569,470,2010,2010-04-07,97,0.4,31.3,90.0,228.2
Switzerland/Altdorf,46.872614,8.658569,470,2011,2011-04-03,93,2.75,50.0,89.0,196.4
Switzerland/Altdorf,46.872614,8.658569,470,2012,2012-04-04,95,1.52,61.4,87.0,378.5
Switzerland/Altdorf,46.872614,8.658569,470,2013,2013-04-18,108,0.54,9.1,90.0,327.5
Switzerland/Altdorf,46.872614,8.658569,470,2014,2014-03-31,90,3.66,59.5,90.0,301.2
Switzerland/Altdorf,46.872614,8.658569,470,2015,2015-04-15,105,2.5,40.8,86.0,408.4
Switzerland/Altdorf,46.872614,8.658569,470,2016,2016-04-04,95,3.04,35.6,86.0,428.7
Switzerland/Altdorf,46.872614,8.658569,470,2017,2017-03-29,88,3.92,121.1,81.0,483.6
Switzerland/Altdorf,46.872614,8.658569,470,2018,2018-04-10,100,2.81,45.4,86.0,555.2
Switzerland/Altdorf,46.872614,8.658569,470,2019,2019-04-03,93,3.05,62.0,77.0,540.8
Switzerland/Altdorf,46.872614,8.658569,470,2020,2020-03-31,91,4.45,78.2,77.0,396.8
Switzerland/Altdorf,46.872614,8.658569,470,2021,2021-03-31,90,3.45,79.1,75.0,471.3
Switzerland/Altdorf,46.872614,8.658569,470,2022,2022-03-29,88,3.75,80.5,80.0,375.1
Switzerland/Altdorf,46.872614,8.658569,470,2023,2023-04-07,97,4.06,106.0,72.0,395.0
