location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Andeer,46.600961,9.422614,985,1953,1953-05-01,121,-2.39,14.6,90.0,19.3
Switzerland/Andeer,46.600961,9.422614,985,1954,1954-05-10,130,-2.8,2.8,90.0,201.3
Switzerland/Andeer,46.600961,9.422614,985,1955,1955-05-06,126,-1.52,16.8,90.0,224.7
Switzerland/Andeer,46.600961,9.422614,985,1956,1956-05-14,135,-4.44,5.1,90.0,209.0
Switzerland/Andeer,46.600961,9.422614,985,1957,1957-04-23,113,0.42,32.4,89.0,210.9
Switzerland/Andeer,46.600961,9.422614,985,1970,1970-05-25,145,-2.29,0.7,90.0,327.9
Switzerland/Andeer,46.600961,9.422614,985,1971,1971-05-08,128,-3.1,0.6,90.0,234.6
Switzerland/Andeer,46.600961,9.422614,985,1972,1972-05-03,124,0.55,14.8,90.0,305.1
Switzerland/Andeer,46.600961,9.422614,985,1973,1973-05-16,136,-1.97,4.9,90.0,89.2
Switzerland/Andeer,46.600961,9.422614,985,1974,1974-04-28,118,1.06,25.2,90.0,314.9
Switzerland/Andeer,46.600961,9.422614,985,1975,1975-05-13,133,-0.25,0.0,90.0,335.7
Switzerland/Andeer,46.600961,9.422614,985,1976,1976-05-05,126,-0.61,7.9,90.0,74.1
Switzerland/Andeer,46.600961,9.422614,985,1977,1977-04-29,119,0.65,24.7,90.0,477.9
Switzerland/Andeer,46.600961,9.422614,985,1978,1978-05-12,132,-1.21,5.5,90.0,419.6
Switzerland/Andeer,46.600961,9.422614,985,1979,1979-05-19,139,-1.8,3.9,90.0,369.0
Switzerland/Andeer,46.600961,9.422614,985,1980,1980-05-13,134,-1.31,3.5,90.0,181.2
Switzerland/Andeer,46.600961,9.422614,985,1981,1981-05-07,127,-2.21,31.7,90.0,204.6
Switzerland/Andeer,46.600961,9.422614,985,1982,1982-05-20,140,-1.12,0.0,90.0,139.9
Switzerland/Andeer,46.600961,9.422614,985,1983,1983-05-06,126,-1.2,5.2,90.0,157.0
Switzerland/Andeer,46.600961,9.422614,985,1984,1984-05-19,140,-3.2,0.0,90.0,199.6
Switzerland/Andeer,46.600961,9.422614,985,1985,1985-05-17,137,-3.04,0.0,90.0,289.7
Switzerland/Andeer,46.600961,9.422614,985,1986,1986-05-13,133,-3.02,0.0,90.0,221.0
Switzerland/Andeer,46.600961,9.422614,985,1987,1987-05-02,122,-3.12,0.0,90.0,175.8
Switzerland/Andeer,46.600961,9.422614,985,1988,1988-05-07,128,-1.41,2.8,88.0,272.3
Switzerland/Andeer,46.600961,9.422614,985,1989,1989-05-08,128,1.19,31.8,90.0,165.6
Switzerland/Andeer,46.600961,9.422614,985,1990,1990-05-03,123,1.0,44.5,87.0,176.5
Switzerland/Andeer,46.600961,9.422614,985,1991,1991-05-22,142,-0.81,20.4,89.0,226.9
Switzerland/Andeer,46.600961,9.422614,985,1992,1992-05-10,131,-0.66,1.9,90.0,196.2
Switzerland/Andeer,46.600961,9.422614,985,1993,1993-04-30,120,-1.03,13.2,90.0,72.6
Switzerland/Andeer,46.600961,9.422614,985,1994,1994-04-30,120,0.66,35.5,90.0,243.5
Switzerland/Andeer,46.600961,9.422614,985,1995,1995-05-07,127,-1.95,0.6,90.0,188.0
Switzerland/Andeer,46.600961,9.422614,985,1996,1996-05-06,127,-1.96,10.3,90.0,173.3
Switzerland/Andeer,46.600961,9.422614,985,1997,1997-05-04,124,0.82,15.8,90.0,99.5
Switzerland/Andeer,46.600961,9.422614,985,1998,1998-05-01,121,-0.31,16.9,90.0,99.1
Switzerland/Andeer,46.600961,9.422614,985,1999,1999-05-07,127,-1.23,12.6,90.0,249.8
Switzerland/Andeer,46.600961,9.422614,985,2000,2000-05-01,122,-0.88,6.1,90.0,103.5
Switzerland/Andeer,46.600961,9.422614,985,2001,2001-05-01,121,0.22,8.7,90.0,396.3
Switzerland/Andeer,46.600961,9.422614,985,2002,2002-05-08,128,0.83,11.2,90.0,188.3
Switzerland/Andeer,46.600961,9.422614,985,2003,2003-05-01,121,-1.89,22.2,90.0,75.6
Switzerland/Andeer,46.600961,9.422614,985,2004,2004-05-01,122,-1.37,17.4,90.0,156.2
Switzerland/Andeer,46.600961,9.422614,985,2005,2005-05-01,121,-3.12,37.1,90.0,69.2
Switzerland/Andeer,46.600961,9.422614,985,2006,2006-05-05,125,-3.26,10.2,90.0,167.1
Switzerland/Andeer,46.600961,9.422614,985,2007,2007-04-23,113,0.95,6.8,90.0,141.2
Switzerland/Andeer,46.600961,9.422614,985,2008,2008-05-06,127,0.16,6.8,90.0,208.9
