location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Appenzell,47.331994,9.415403,775,1970,1970-05-15,135,-1.99,0.0,90.0,537.5
Switzerland/Appenzell,47.331994,9.415403,775,1971,1971-05-05,125,-3.99,0.0,90.0,237.9
Switzerland/Appenzell,47.331994,9.415403,775,1972,1972-04-25,116,0.54,14.2,90.0,114.3
Switzerland/Appenzell,47.331994,9.415403,775,1973,1973-05-16,136,-2.17,0.0,90.0,278.6
Switzerland/Appenzell,47.331994,9.415403,775,1974,1974-04-15,105,0.81,15.2,90.0,270.6
Switzerland/Appenzell,47.331994,9.415403,775,1975,1975-05-12,132,0.07,0.0,90.0,275.9
Switzerland/Appenzell,47.331994,9.415403,775,1976,1976-05-06,127,-1.1,3.3,90.0,283.6
Switzerland/Appenzell,47.331994,9.415403,775,1977,1977-05-03,123,0.45,17.2,90.0,354.0
Switzerland/Appenzell,47.331994,9.415403,775,1978,1978-05-08,128,-1.52,0.3,90.0,430.6
Switzerland/Appenzell,47.331994,9.415403,775,1979,1979-05-16,136,-1.82,4.8,90.0,335.9
Switzerland/Appenzell,47.331994,9.415403,775,1980,1980-05-15,136,-1.28,2.7,90.0,298.9
Switzerland/Appenzell,47.331994,9.415403,775,1981,1981-04-15,105,-2.04,13.8,90.0,416.7
Switzerland/Appenzell,47.331994,9.415403,775,1982,1982-05-15,135,-1.11,0.4,90.0,329.6
Switzerland/Appenzell,47.331994,9.415403,775,1983,1983-04-27,117,-0.69,1.6,90.0,373.1
Switzerland/Appenzell,47.331994,9.415403,775,1984,1984-05-18,139,-2.23,0.2,90.0,337.1
Switzerland/Appenzell,47.331994,9.415403,775,1985,1985-05-12,132,-3.46,0.7,90.0,315.5
Switzerland/Appenzell,47.331994,9.415403,775,1986,1986-05-10,130,-2.62,0.5,90.0,369.8
Switzerland/Appenzell,47.331994,9.415403,775,1987,1987-05-02,122,-3.32,0.0,90.0,347.5
Switzerland/Appenzell,47.331994,9.415403,775,1988,1988-05-03,124,-0.28,0.8,90.0,587.3
