location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Aurigeno,46.236078,8.725292,350,1956,1956-04-13,104,0.01,21.5,90.0,317.3
Switzerland/Aurigeno,46.236078,8.725292,350,1958,1958-04-25,115,1.59,23.9,88.0,125.2
Switzerland/Aurigeno,46.236078,8.725292,350,1959,1959-04-04,94,3.41,59.6,89.0,267.1
Switzerland/Aurigeno,46.236078,8.725292,350,1961,1961-03-28,87,3.65,66.5,90.0,154.1
Switzerland/Aurigeno,46.236078,8.725292,350,1963,1963-04-02,92,-0.42,11.5,90.0,246.8
Switzerland/Aurigeno,46.236078,8.725292,350,1964,1964-03-21,81,1.94,25.5,90.0,318.7
Switzerland/Aurigeno,46.236078,8.725292,350,1965,1965-03-18,77,1.65,39.6,90.0,187.5
Switzerland/Aurigeno,46.236078,8.725292,350,1966,1966-03-24,83,2.84,30.5,90.0,221.4
Switzerland/Aurigeno,46.236078,8.725292,350,1967,1967-03-21,80,2.96,51.8,89.0,255.4
Switzerland/Aurigeno,46.236078,8.725292,350,1968,1968-04-02,93,2.35,35.0,90.0,281.5
Switzerland/Aurigeno,46.236078,8.725292,350,1969,1969-04-09,99,1.64,19.2,90.0,250.6
Switzerland/Aurigeno,46.236078,8.725292,350,1970,1970-04-29,119,1.79,14.9,90.0,362.7
Switzerland/Aurigeno,46.236078,8.725292,350,1971,1971-05-05,125,1.26,6.6,89.0,349.4
Switzerland/Aurigeno,46.236078,8.725292,350,1972,1972-04-25,116,3.49,50.4,89.0,541.9
Switzerland/Aurigeno,46.236078,8.725292,350,1973,1973-05-02,122,2.45,31.8,89.0,101.5
Switzerland/Aurigeno,46.236078,8.725292,350,1974,1974-04-25,115,4.33,55.4,90.0,473.6
Switzerland/Aurigeno,46.236078,8.725292,350,1975,1975-05-03,123,3.71,11.9,87.0,453.8
Switzerland/Aurigeno,46.236078,8.725292,350,1976,1976-04-28,119,3.3,45.4,90.0,107.3
Switzerland/Aurigeno,46.236078,8.725292,350,1977,1977-04-11,101,3.61,53.1,90.0,593.7
Switzerland/Aurigeno,46.236078,8.725292,350,1978,1978-04-15,105,2.78,32.7,90.0,520.8
