location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Birmensdorf,47.342472,8.444342,500,1984,1984-04-26,117,0.75,8.6,88.0,296.7
Switzerland/Birmensdorf,47.342472,8.444342,500,1985,1985-04-23,113,-0.89,8.1,90.0,263.8
Switzerland/Birmensdorf,47.342472,8.444342,500,1986,1986-05-04,124,0.01,15.8,90.0,326.7
Switzerland/Birmensdorf,47.342472,8.444342,500,1987,1987-04-25,115,-0.58,13.3,90.0,299.9
Switzerland/Birmensdorf,47.342472,8.444342,500,1988,1988-04-24,115,2.61,17.9,87.0,497.2
Switzerland/Birmensdorf,47.342472,8.444342,500,1989,1989-04-05,95,4.18,76.9,89.0,193.4
Switzerland/Birmensdorf,47.342472,8.444342,500,1990,1990-03-31,90,4.49,105.9,83.0,284.9
Switzerland/Birmensdorf,47.342472,8.444342,500,1991,1991-04-14,104,2.51,76.1,87.0,184.2
Switzerland/Birmensdorf,47.342472,8.444342,500,1992,1992-04-21,112,2.55,36.0,89.0,280.9
Switzerland/Birmensdorf,47.342472,8.444342,500,1993,1993-04-21,111,2.56,40.9,89.0,178.6
Switzerland/Birmensdorf,47.342472,8.444342,500,1994,1994-03-31,90,3.96,92.2,85.0,317.8
Switzerland/Birmensdorf,47.342472,8.444342,500,1995,1995-04-18,108,2.48,29.5,86.0,470.1
Switzerland/Birmensdorf,47.342472,8.444342,500,1996,1996-04-21,112,1.57,26.7,90.0,173.2
Switzerland/Birmensdorf,47.342472,8.444342,500,1997,1997-04-02,92,3.49,68.0,88.0,195.2
Switzerland/Birmensdorf,47.342472,8.444342,500,1998,1998-04-20,110,3.44,57.2,86.0,220.0
Switzerland/Birmensdorf,47.342472,8.444342,500,1999,1999-04-14,104,1.95,34.0,90.0,453.6
Switzerland/Birmensdorf,47.342472,8.444342,500,2000,2000-04-15,106,2.93,37.2,89.0,337.4
Switzerland/Birmensdorf,47.342472,8.444342,500,2001,2001-04-23,113,3.55,65.4,88.0,374.5
Switzerland/Birmensdorf,47.342472,8.444342,500,2002,2002-04-04,94,3.88,79.9,86.0,203.1
Switzerland/Birmensdorf,47.342472,8.444342,500,2003,2003-04-14,104,1.65,55.9,86.0,193.1
Switzerland/Birmensdorf,47.342472,8.444342,500,2004,2004-04-16,107,1.98,47.6,88.0,313.2
Switzerland/Birmensdorf,47.342472,8.444342,500,2005,2005-04-12,102,1.08,70.0,90.0,258.5
Switzerland/Birmensdorf,47.342472,8.444342,500,2006,2006-04-24,114,0.69,27.1,90.0,279.5
Switzerland/Birmensdorf,47.342472,8.444342,500,2007,2007-04-11,101,4.24,72.3,80.0,305.1
Switzerland/Birmensdorf,47.342472,8.444342,500,2008,2008-04-21,112,3.26,42.4,88.0,246.4
Switzerland/Birmensdorf,47.342472,8.444342,500,2009,2009-04-14,104,0.86,8.9,90.0,323.1
Switzerland/Birmensdorf,47.342472,8.444342,500,2010,2010-04-19,109,0.9,43.6,89.0,182.4
Switzerland/Birmensdorf,47.342472,8.444342,500,2011,2011-04-08,98,2.93,52.2,90.0,168.0
Switzerland/Birmensdorf,47.342472,8.444342,500,2012,2012-04-12,103,1.84,81.5,89.0,249.7
Switzerland/Birmensdorf,47.342472,8.444342,500,2013,2013-04-28,118,0.78,10.5,88.0,267.7
Switzerland/Birmensdorf,47.342472,8.444342,500,2014,2014-04-08,98,3.97,69.2,90.0,226.8
Switzerland/Birmensdorf,47.342472,8.444342,500,2015,2015-04-18,108,2.5,52.3,87.0,309.8
Switzerland/Birmensdorf,47.342472,8.444342,500,2016,2016-04-19,110,3.18,41.5,85.0,381.2
Switzerland/Birmensdorf,47.342472,8.444342,500,2017,2017-04-04,94,1.57,83.1,87.0,202.2
Switzerland/Birmensdorf,47.342472,8.444342,500,2018,2018-04-16,106,1.82,20.9,88.0,311.0
Switzerland/Birmensdorf,47.342472,8.444342,500,2019,2019-04-03,93,2.63,48.2,83.0,185.3
Switzerland/Birmensdorf,47.342472,8.444342,500,2020,2020-04-04,95,3.5,77.6,80.0,223.7
Switzerland/Birmensdorf,47.342472,8.444342,500,2021,2021-04-04,94,2.23,52.9,85.0,297.2
Switzerland/Birmensdorf,47.342472,8.444342,500,2022,2022-04-07,97,3.03,71.4,84.0,154.4
Switzerland/Birmensdorf,47.342472,8.444342,500,2023,2023-04-09,99,3.41,86.1,81.0,233.1
