location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Blonay,46.464014,6.891869,600,1988,1988-04-25,116,2.85,16.7,88.0,468.4
Switzerland/Blonay,46.464014,6.891869,600,1989,1989-04-03,93,3.77,63.8,87.0,191.5
Switzerland/Blonay,46.464014,6.891869,600,1990,1990-03-20,79,4.2,83.4,83.0,282.9
Switzerland/Blonay,46.464014,6.891869,600,1991,1991-04-11,101,3.16,68.3,87.0,213.6
Switzerland/Blonay,46.464014,6.891869,600,1992,1992-04-16,107,2.7,30.2,90.0,212.3
Switzerland/Blonay,46.464014,6.891869,600,1993,1993-04-20,110,2.47,37.1,88.0,109.4
Switzerland/Blonay,46.464014,6.891869,600,1994,1994-04-01,91,4.52,91.9,86.0,248.4
Switzerland/Blonay,46.464014,6.891869,600,1995,1995-04-10,100,3.02,26.1,87.0,515.3
Switzerland/Blonay,46.464014,6.891869,600,1996,1996-04-23,114,2.24,19.0,88.0,163.6
Switzerland/Blonay,46.464014,6.891869,600,1997,1997-04-02,92,4.07,59.0,88.0,180.4
Switzerland/Blonay,46.464014,6.891869,600,1998,1998-04-15,105,3.63,47.7,88.0,184.9
Switzerland/Blonay,46.464014,6.891869,600,1999,1999-04-20,110,2.32,33.5,90.0,371.4
Switzerland/Blonay,46.464014,6.891869,600,2000,2000-04-20,111,3.08,30.9,90.0,241.6
Switzerland/Blonay,46.464014,6.891869,600,2001,2001-04-13,103,3.9,60.3,90.0,471.7
Switzerland/Blonay,46.464014,6.891869,600,2002,2002-04-04,94,3.7,55.7,87.0,199.2
Switzerland/Blonay,46.464014,6.891869,600,2003,2003-04-16,106,2.24,56.8,89.0,181.2
Switzerland/Blonay,46.464014,6.891869,600,2004,2004-04-18,109,2.69,33.5,86.0,322.2
Switzerland/Blonay,46.464014,6.891869,600,2005,2005-04-21,111,1.26,53.6,90.0,201.7
Switzerland/Blonay,46.464014,6.891869,600,2006,2006-04-24,114,1.59,18.8,90.0,327.4
Switzerland/Blonay,46.464014,6.891869,600,2007,2007-04-13,103,4.25,56.6,81.0,336.5
Switzerland/Blonay,46.464014,6.891869,600,2008,2008-04-25,116,3.23,39.1,86.0,251.4
Switzerland/Blonay,46.464014,6.891869,600,2009,2009-04-13,103,1.73,8.1,90.0,260.3
Switzerland/Blonay,46.464014,6.891869,600,2010,2010-04-20,110,1.49,33.2,89.0,195.6
Switzerland/Blonay,46.464014,6.891869,600,2017,2017-04-07,97,4.24,102.3,88.0,353.3
Switzerland/Blonay,46.464014,6.891869,600,2018,2018-04-19,109,3.47,32.1,87.0,531.9
Switzerland/Blonay,46.464014,6.891869,600,2019,2019-04-10,100,3.77,53.7,83.0,420.9
Switzerland/Blonay,46.464014,6.891869,600,2020,2020-04-03,94,4.83,72.8,80.0,391.8
Switzerland/Blonay,46.464014,6.891869,600,2021,2021-04-10,100,3.92,73.9,81.0,440.1
Switzerland/Blonay,46.464014,6.891869,600,2022,2022-04-14,104,4.54,86.9,82.0,294.5
Switzerland/Blonay,46.464014,6.891869,600,2023,2023-04-20,110,4.49,98.3,73.0,477.9
