location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Bondo GR,46.337594,9.555908,825,1970,1970-05-08,128,-0.69,1.8,90.0,355.2
Switzerland/Bondo GR,46.337594,9.555908,825,1971,1971-04-25,115,-1.01,2.3,90.0,304.0
Switzerland/Bondo GR,46.337594,9.555908,825,1972,1972-04-18,109,1.67,24.4,90.0,435.3
Switzerland/Bondo GR,46.337594,9.555908,825,1973,1973-05-06,126,-0.31,12.1,90.0,108.7
Switzerland/Bondo GR,46.337594,9.555908,825,1974,1974-04-28,118,2.17,28.4,90.0,400.6
Switzerland/Bondo GR,46.337594,9.555908,825,1975,1975-05-01,121,1.16,0.1,89.0,426.4
Switzerland/Bondo GR,46.337594,9.555908,825,1976,1976-04-15,106,1.17,19.3,90.0,90.2
Switzerland/Bondo GR,46.337594,9.555908,825,1977,1977-04-26,116,1.62,30.6,90.0,598.4
Switzerland/Bondo GR,46.337594,9.555908,825,1978,1978-05-10,130,0.55,13.0,90.0,503.4
Switzerland/Bondo GR,46.337594,9.555908,825,1979,1979-05-13,133,-0.27,5.7,90.0,453.2
Switzerland/Bondo GR,46.337594,9.555908,825,1980,1980-05-05,126,-0.13,3.6,90.0,207.6
Switzerland/Bondo GR,46.337594,9.555908,825,1981,1981-04-16,106,0.34,44.6,89.0,232.9
Switzerland/Bondo GR,46.337594,9.555908,825,1982,1982-04-29,119,-0.19,1.0,90.0,144.6
Switzerland/Bondo GR,46.337594,9.555908,825,1983,1983-04-27,117,0.71,28.1,90.0,171.5
Switzerland/Bondo GR,46.337594,9.555908,825,1984,1984-05-06,127,-1.35,0.0,90.0,214.8
Switzerland/Bondo GR,46.337594,9.555908,825,1985,1985-05-02,122,-1.29,4.5,89.0,364.4
Switzerland/Bondo GR,46.337594,9.555908,825,1986,1986-05-12,132,-1.25,0.2,90.0,269.2
Switzerland/Bondo GR,46.337594,9.555908,825,1987,1987-04-28,118,-1.45,2.5,90.0,236.5
Switzerland/Bondo GR,46.337594,9.555908,825,1988,1988-04-26,117,0.46,3.0,88.0,288.6
Switzerland/Bondo GR,46.337594,9.555908,825,1989,1989-05-01,121,3.63,57.6,88.0,183.7
Switzerland/Bondo GR,46.337594,9.555908,825,1990,1990-04-03,93,2.52,74.5,88.0,148.9
Switzerland/Bondo GR,46.337594,9.555908,825,1991,1991-04-18,108,0.07,37.2,88.0,267.9
Switzerland/Bondo GR,46.337594,9.555908,825,1992,1992-04-23,114,1.12,19.0,90.0,208.6
Switzerland/Bondo GR,46.337594,9.555908,825,1993,1993-04-23,113,1.35,31.3,90.0,80.8
Switzerland/Bondo GR,46.337594,9.555908,825,1994,1994-04-21,111,2.45,85.4,90.0,294.8
Switzerland/Bondo GR,46.337594,9.555908,825,1995,1995-04-25,115,0.07,7.7,86.0,176.4
Switzerland/Bondo GR,46.337594,9.555908,825,1996,1996-04-30,121,-0.31,10.2,90.0,223.6
Switzerland/Bondo GR,46.337594,9.555908,825,1997,1997-04-15,105,2.24,50.5,90.0,116.3
Switzerland/Bondo GR,46.337594,9.555908,825,1998,1998-04-27,117,1.76,40.9,85.0,101.9
Switzerland/Bondo GR,46.337594,9.555908,825,1999,1999-04-25,115,0.56,22.5,89.0,248.6
Switzerland/Bondo GR,46.337594,9.555908,825,2000,2000-04-26,117,1.06,27.9,90.0,116.6
Switzerland/Bondo GR,46.337594,9.555908,825,2001,2001-04-28,118,1.91,29.3,90.0,468.5
Switzerland/Bondo GR,46.337594,9.555908,825,2002,2002-04-24,114,2.62,45.2,90.0,224.9
Switzerland/Bondo GR,46.337594,9.555908,825,2003,2003-04-28,118,0.35,34.3,90.0,71.3
Switzerland/Bondo GR,46.337594,9.555908,825,2004,2004-05-02,123,0.55,19.3,90.0,203.6
Switzerland/Bondo GR,46.337594,9.555908,825,2005,2005-04-28,118,0.78,73.2,90.0,101.5
Switzerland/Bondo GR,46.337594,9.555908,825,2006,2006-04-28,118,-1.08,9.8,90.0,185.7
Switzerland/Bondo GR,46.337594,9.555908,825,2007,2007-04-16,106,4.2,61.5,87.0,168.2
Switzerland/Bondo GR,46.337594,9.555908,825,2008,2008-04-26,117,3.01,48.3,86.0,244.1
Switzerland/Bondo GR,46.337594,9.555908,825,2009,2009-04-23,113,0.89,35.1,90.0,354.5
Switzerland/Bondo GR,46.337594,9.555908,825,2010,2010-04-30,120,-0.46,17.8,90.0,266.2
Switzerland/Bondo GR,46.337594,9.555908,825,2011,2011-04-09,99,2.59,47.0,88.0,206.4
Switzerland/Bondo GR,46.337594,9.555908,825,2012,2012-04-07,98,1.42,84.8,88.0,146.7
Switzerland/Bondo GR,46.337594,9.555908,825,2013,2013-05-05,125,1.09,12.3,89.0,236.5
Switzerland/Bondo GR,46.337594,9.555908,825,2014,2014-04-14,104,2.62,32.6,90.0,550.1
Switzerland/Bondo GR,46.337594,9.555908,825,2015,2015-04-23,113,1.91,28.4,89.0,298.0
Switzerland/Bondo GR,46.337594,9.555908,825,2016,2016-04-20,111,2.61,37.7,84.0,316.1
Switzerland/Bondo GR,46.337594,9.555908,825,2017,2017-04-15,105,2.24,66.5,88.0,396.4
Switzerland/Bondo GR,46.337594,9.555908,825,2018,2018-04-25,115,0.82,4.9,90.0,454.4
Switzerland/Bondo GR,46.337594,9.555908,825,2019,2019-04-15,105,2.51,50.7,86.0,250.4
Switzerland/Bondo GR,46.337594,9.555908,825,2020,2020-04-18,109,3.25,48.1,86.0,208.9
Switzerland/Bondo GR,46.337594,9.555908,825,2021,2021-04-20,110,1.82,41.2,84.0,255.1
Switzerland/Bondo GR,46.337594,9.555908,825,2022,2022-04-20,110,2.05,42.7,85.0,122.3
