location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Boudry,46.949492,6.834386,450,2004,2004-04-17,108,2.97,62.1,87.0,349.2
Switzerland/Boudry,46.949492,6.834386,450,2005,2005-04-13,103,1.9,86.3,,247.7
Switzerland/Boudry,46.949492,6.834386,450,2006,2006-04-23,113,1.59,43.3,90.0,358.7
Switzerland/Boudry,46.949492,6.834386,450,2007,2007-04-11,101,4.86,106.9,73.0,395.6
Switzerland/Boudry,46.949492,6.834386,450,2008,2008-04-11,102,3.72,61.4,82.0,291.7
Switzerland/Boudry,46.949492,6.834386,450,2009,2009-04-14,104,1.31,14.9,90.0,308.6
Switzerland/Boudry,46.949492,6.834386,450,2010,2010-04-20,110,1.29,53.1,89.0,250.3
Switzerland/Boudry,46.949492,6.834386,450,2011,2011-04-05,95,3.74,82.2,87.0,167.6
Switzerland/Boudry,46.949492,6.834386,450,2012,2012-04-03,94,2.7,106.9,,211.2
Switzerland/Boudry,46.949492,6.834386,450,2013,2013-04-25,115,,,87.0,
Switzerland/Boudry,46.949492,6.834386,450,2014,2014-04-06,96,4.66,92.8,89.0,302.4
Switzerland/Boudry,46.949492,6.834386,450,2015,2015-04-15,105,,,86.0,
Switzerland/Boudry,46.949492,6.834386,450,2016,2016-04-09,100,3.92,57.6,84.0,476.6
Switzerland/Boudry,46.949492,6.834386,450,2017,2017-04-01,91,3.17,104.2,86.0,212.6
Switzerland/Boudry,46.949492,6.834386,450,2018,2018-04-18,108,3.05,36.2,,378.4
Switzerland/Boudry,46.949492,6.834386,450,2019,2019-04-07,97,3.67,61.3,78.0,217.0
Switzerland/Boudry,46.949492,6.834386,450,2020,2020-04-06,97,4.68,96.0,,257.2
Switzerland/Boudry,46.949492,6.834386,450,2021,2021-04-03,93,,,80.0,
Switzerland/Boudry,46.949492,6.834386,450,2022,2022-03-31,90,4.23,97.6,82.0,168.1
Switzerland/Boudry,46.949492,6.834386,450,2023,2023-04-07,97,,,79.0,
