location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1956,1956-04-08,99,-4.23,11.5,90.0,229.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1957,1957-04-12,102,0.13,35.4,89.0,254.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1958,1958-04-10,100,-2.63,12.5,88.0,179.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1959,1959-04-04,94,-0.59,13.1,90.0,227.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1960,1960-04-15,106,-1.06,5.6,90.0,387.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1961,1961-04-12,102,-0.33,14.4,90.0,164.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1962,1962-04-30,120,-2.9,2.2,88.0,243.7
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1963,1963-04-29,119,-4.1,0.2,90.0,254.7
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1964,1964-04-22,113,-1.3,4.3,90.0,293.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1966,1966-04-25,115,-2.04,0.0,90.0,188.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1969,1969-04-27,117,-2.33,6.4,90.0,302.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1970,1970-05-02,122,-2.43,1.3,90.0,395.8
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1971,1971-04-18,108,-2.73,0.9,90.0,307.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1972,1972-04-07,98,0.31,20.0,90.0,396.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1973,1973-04-15,105,-2.09,10.4,90.0,136.0
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1975,1975-04-22,112,-0.88,0.0,90.0,412.9
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1976,1976-04-23,114,-0.7,9.0,90.0,90.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1977,1977-04-28,118,0.27,26.6,90.0,640.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1978,1978-04-30,120,-1.2,5.7,90.0,492.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1979,1979-05-10,130,-2.13,5.6,90.0,497.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1980,1980-05-15,136,-2.1,2.8,90.0,211.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1981,1981-05-10,130,-2.14,36.4,90.0,213.9
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1982,1982-05-05,125,-1.82,0.0,90.0,149.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1983,1983-05-03,123,-1.48,12.6,90.0,171.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1987,1987-04-27,117,-2.9,0.3,90.0,260.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1988,1988-04-18,109,-1.8,0.5,89.0,317.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1989,1989-03-31,90,2.05,41.7,89.0,188.9
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1990,1990-03-25,84,0.99,51.6,90.0,173.7
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1991,1991-04-08,98,-1.14,32.4,89.0,255.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1992,1992-03-30,90,-0.78,9.7,90.0,179.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1993,1993-04-21,111,-0.47,21.9,90.0,86.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1994,1994-03-21,80,0.68,61.4,90.0,275.9
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1996,1996-04-18,109,-2.15,11.6,90.0,217.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1997,1997-03-31,90,0.81,28.4,90.0,127.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1998,1998-03-29,88,-0.24,23.5,88.0,95.9
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1999,1999-04-09,99,-0.89,14.3,90.0,252.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2001,2001-04-10,100,0.14,21.2,90.0,537.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2002,2002-04-23,113,1.36,21.7,90.0,236.8
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2003,2003-04-15,105,-1.45,21.2,90.0,86.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2004,2004-04-25,116,-1.65,15.0,90.0,234.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2005,2005-04-14,104,-2.29,60.2,90.0,119.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2006,2006-04-20,110,-2.59,12.1,90.0,211.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2007,2007-03-28,87,3.19,57.8,85.0,185.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2008,2008-04-15,106,0.9,26.1,89.0,250.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2009,2009-04-14,104,-1.58,12.6,90.0,372.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2010,2010-04-27,117,-2.94,11.5,90.0,248.7
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2011,2011-04-07,97,0.53,23.8,90.0,215.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2012,2012-04-01,92,-0.84,60.3,89.0,113.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2013,2013-04-26,116,-1.03,3.3,90.0,284.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2014,2014-04-06,96,0.95,20.8,90.0,606.6
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2015,2015-04-26,116,-0.22,19.6,90.0,298.1
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2016,2016-04-18,109,0.19,14.1,85.0,382.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2017,2017-04-12,102,2.2,79.8,89.0,278.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2018,2018-04-19,109,0.75,5.6,90.0,338.4
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2019,2019-04-09,99,2.2,43.1,85.0,225.5
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2021,2021-04-26,116,1.31,34.5,89.0,213.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2022,2022-04-23,113,2.55,53.7,84.0,100.2
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2023,2023-04-28,118,2.91,83.4,80.0,161.1
