location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Buchs,47.158028,9.469656,450,1999,1999-04-19,109,1.22,31.4,90.0,426.8
Switzerland/Buchs,47.158028,9.469656,450,2000,2000-04-15,106,1.55,28.5,,396.1
Switzerland/Buchs,47.158028,9.469656,450,2001,2001-04-20,110,2.99,60.5,88.0,383.4
Switzerland/Buchs,47.158028,9.469656,450,2002,2002-04-04,94,2.12,72.4,87.0,228.7
Switzerland/Buchs,47.158028,9.469656,450,2003,2003-04-17,107,,,,
Switzerland/Buchs,47.158028,9.469656,450,2004,2004-04-13,104,0.77,32.8,89.0,282.0
Switzerland/Buchs,47.158028,9.469656,450,2005,2005-04-10,100,,,90.0,
Switzerland/Buchs,47.158028,9.469656,450,2006,2006-04-22,112,-1.41,14.8,90.0,265.4
Switzerland/Buchs,47.158028,9.469656,450,2007,2007-04-12,102,3.6,47.4,83.0,268.5
Switzerland/Buchs,47.158028,9.469656,450,2008,2008-04-06,97,2.94,41.4,86.0,246.7
Switzerland/Buchs,47.158028,9.469656,450,2009,2009-04-12,102,,,90.0,
Switzerland/Buchs,47.158028,9.469656,450,2010,2010-04-07,97,,,90.0,
Switzerland/Buchs,47.158028,9.469656,450,2011,2011-04-04,94,,,90.0,
Switzerland/Buchs,47.158028,9.469656,450,2012,2012-04-03,94,,,90.0,
Switzerland/Buchs,47.158028,9.469656,450,2013,2013-04-19,109,0.38,10.2,90.0,281.3
Switzerland/Buchs,47.158028,9.469656,450,2014,2014-03-24,83,5.03,92.1,89.0,202.9
Switzerland/Buchs,47.158028,9.469656,450,2015,2015-04-16,106,,,88.0,
Switzerland/Buchs,47.158028,9.469656,450,2016,2016-04-04,95,2.59,32.6,87.0,355.0
Switzerland/Buchs,47.158028,9.469656,450,2017,2017-03-29,88,3.27,139.2,85.0,344.1
Switzerland/Buchs,47.158028,9.469656,450,2018,2018-04-08,98,2.49,53.3,86.0,446.4
Switzerland/Buchs,47.158028,9.469656,450,2019,2019-04-05,95,2.61,63.6,79.0,455.8
Switzerland/Buchs,47.158028,9.469656,450,2021,2021-04-02,92,3.03,97.1,75.0,445.3
Switzerland/Buchs,47.158028,9.469656,450,2022,2022-03-29,88,2.92,82.3,86.0,278.5
Switzerland/Buchs,47.158028,9.469656,450,2023,2023-04-07,97,4.11,125.6,73.0,363.0
