location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Cartigny,46.177483,6.014089,400,1954,1954-04-11,101,0.75,50.3,80.0,321.9
Switzerland/Cartigny,46.177483,6.014089,400,1958,1958-04-22,112,1.39,27.2,86.0,596.8
Switzerland/Cartigny,46.177483,6.014089,400,1959,1959-04-02,92,3.62,105.7,87.0,319.0
Switzerland/Cartigny,46.177483,6.014089,400,1960,1960-04-06,97,3.12,74.5,88.0,443.3
Switzerland/Cartigny,46.177483,6.014089,400,1961,1961-03-27,86,3.84,70.8,88.0,334.6
Switzerland/Cartigny,46.177483,6.014089,400,1962,1962-04-27,117,1.56,11.7,84.0,524.9
Switzerland/Cartigny,46.177483,6.014089,400,1963,1963-04-22,112,-0.83,4.8,90.0,401.1
Switzerland/Cartigny,46.177483,6.014089,400,1964,1964-04-15,106,2.78,48.7,85.0,326.3
Switzerland/Cartigny,46.177483,6.014089,400,1965,1965-04-14,104,0.79,33.8,90.0,394.8
Switzerland/Cartigny,46.177483,6.014089,400,1966,1966-04-14,104,2.41,29.7,87.0,494.2
Switzerland/Cartigny,46.177483,6.014089,400,1967,1967-04-18,108,2.65,47.4,90.0,428.0
Switzerland/Cartigny,46.177483,6.014089,400,1968,1968-04-19,110,2.21,33.4,90.0,406.5
Switzerland/Cartigny,46.177483,6.014089,400,1969,1969-04-24,114,1.7,24.7,90.0,363.1
Switzerland/Cartigny,46.177483,6.014089,400,1970,1970-04-24,114,1.29,5.7,90.0,710.8
Switzerland/Cartigny,46.177483,6.014089,400,1971,1971-04-15,105,0.52,8.7,89.0,314.9
Switzerland/Cartigny,46.177483,6.014089,400,1972,1972-04-04,95,3.65,76.0,90.0,315.7
Switzerland/Cartigny,46.177483,6.014089,400,1973,1973-04-26,116,1.05,14.8,90.0,203.7
Switzerland/Cartigny,46.177483,6.014089,400,1974,1974-04-02,92,4.47,102.6,88.0,372.2
