location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1966,1966-03-28,87,2.24,15.0,90.0,221.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1967,1967-03-30,89,2.26,38.0,88.0,255.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1968,1968-04-04,95,1.78,20.1,90.0,281.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1969,1969-03-30,89,1.09,14.8,90.0,250.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1970,1970-03-30,89,1.29,12.7,90.0,362.7
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1971,1971-04-05,95,0.72,5.5,89.0,349.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1972,1972-04-01,92,3.09,31.5,89.0,541.9
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1973,1973-04-23,113,1.42,16.0,90.0,101.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1974,1974-03-20,79,3.9,39.3,90.0,473.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1975,1975-04-02,92,3.16,6.9,88.0,453.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1976,1976-03-29,89,2.59,23.3,90.0,107.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1977,1977-03-30,89,3.27,44.8,90.0,593.7
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1978,1978-04-18,108,2.51,32.0,90.0,520.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1979,1979-04-16,106,1.81,19.4,90.0,481.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1980,1980-04-04,95,2.11,15.7,89.0,261.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1981,1981-04-06,96,1.4,61.9,89.0,270.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1982,1982-04-08,98,1.96,3.5,90.0,171.7
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1983,1983-04-27,117,2.21,43.1,89.0,190.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1984,1984-04-23,114,0.71,0.3,89.0,238.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1985,1985-04-12,102,0.55,10.6,88.0,360.7
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1986,1986-04-29,119,0.43,3.9,90.0,287.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1987,1987-04-20,110,0.52,11.6,90.0,247.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1988,1988-04-13,104,2.53,27.8,86.0,306.2
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1989,1989-03-28,87,4.59,66.7,86.0,219.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1990,1990-03-16,75,3.65,86.7,89.0,157.9
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1991,1991-04-03,93,1.72,49.6,90.0,367.1
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1992,1992-03-28,88,2.55,44.7,90.0,242.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1993,1993-03-24,83,2.72,48.9,90.0,81.1
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1994,1994-03-28,87,3.81,106.8,90.0,342.1
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1995,1995-03-30,89,1.94,15.5,87.0,151.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1996,1996-04-15,106,1.77,23.1,90.0,288.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1997,1997-03-19,78,3.76,71.4,90.0,117.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1998,1998-03-20,79,3.05,49.3,88.0,120.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1999,1999-04-02,92,1.93,31.8,85.0,278.2
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2000,2000-03-30,90,2.96,60.1,90.0,103.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2001,2001-04-10,100,3.65,54.3,89.0,453.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2004,2004-04-05,96,2.48,24.7,90.0,191.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2005,2005-03-30,89,2.42,87.2,89.0,69.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2006,2006-04-17,107,1.08,22.4,90.0,198.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2007,2007-03-22,81,4.66,68.0,76.0,188.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2008,2008-04-03,94,4.0,78.1,84.0,268.6
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2009,2009-04-06,96,2.6,45.7,88.0,358.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2010,2010-04-14,104,1.07,27.8,90.0,274.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2011,2011-04-03,93,3.19,46.1,89.0,210.2
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2012,2012-03-28,88,3.87,134.7,83.0,159.7
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2013,2013-04-18,108,2.19,13.2,90.0,207.3
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2014,2014-04-02,92,3.97,42.8,90.0,566.8
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2015,2015-04-12,102,3.6,55.6,86.0,313.2
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2016,2016-04-05,96,4.36,74.6,78.0,321.5
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2017,2017-03-29,88,4.54,126.0,82.0,347.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2018,2018-04-18,108,2.36,25.9,90.0,463.2
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2019,2019-04-08,98,5.11,109.5,77.0,173.9
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2020,2020-03-25,85,4.65,98.5,83.0,164.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2021,2021-04-05,95,3.58,102.7,76.0,237.4
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2022,2022-03-31,90,5.49,123.1,74.0,94.8
