location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Changins,46.395917,6.229419,435,1965,1965-04-20,110,0.03,16.2,90.0,358.8
Switzerland/Changins,46.395917,6.229419,435,1966,1966-04-15,105,1.85,16.2,88.0,429.1
Switzerland/Changins,46.395917,6.229419,435,1967,1967-04-15,105,1.97,34.0,89.0,382.7
Switzerland/Changins,46.395917,6.229419,435,1968,1968-04-20,111,1.31,19.6,90.0,400.5
Switzerland/Changins,46.395917,6.229419,435,1969,1969-04-24,114,1.08,16.1,90.0,333.2
Switzerland/Changins,46.395917,6.229419,435,1970,1970-05-04,124,0.75,1.9,90.0,675.2
Switzerland/Changins,46.395917,6.229419,435,1971,1971-04-23,113,-0.29,4.7,90.0,293.8
Switzerland/Changins,46.395917,6.229419,435,1972,1972-04-15,106,3.11,59.8,90.0,272.6
Switzerland/Changins,46.395917,6.229419,435,1973,1973-04-30,120,0.39,7.4,90.0,197.2
Switzerland/Changins,46.395917,6.229419,435,1974,1974-04-20,110,3.69,82.2,89.0,310.6
Switzerland/Changins,46.395917,6.229419,435,1975,1975-04-25,115,3.01,12.6,90.0,300.8
Switzerland/Changins,46.395917,6.229419,435,1976,1976-04-21,112,2.01,30.9,90.0,197.6
Switzerland/Changins,46.395917,6.229419,435,1977,1977-04-15,105,3.03,55.9,90.0,580.7
Switzerland/Changins,46.395917,6.229419,435,1978,1978-05-02,122,1.55,13.1,89.0,575.9
Switzerland/Changins,46.395917,6.229419,435,1979,1979-04-23,113,1.39,26.4,90.0,556.1
Switzerland/Changins,46.395917,6.229419,435,1980,1980-04-23,114,2.49,24.5,88.0,485.7
Switzerland/Changins,46.395917,6.229419,435,1981,1981-04-11,101,0.75,56.4,90.0,494.6
Switzerland/Changins,46.395917,6.229419,435,1982,1982-04-29,119,3.1,21.1,89.0,345.5
Switzerland/Changins,46.395917,6.229419,435,1983,1983-04-15,105,2.24,38.3,87.0,349.3
Switzerland/Changins,46.395917,6.229419,435,1984,1984-04-25,116,1.12,11.4,90.0,511.5
Switzerland/Changins,46.395917,6.229419,435,1985,1985-04-22,112,-0.26,10.9,90.0,413.6
Switzerland/Changins,46.395917,6.229419,435,1986,1986-05-05,125,0.7,19.0,90.0,457.2
Switzerland/Changins,46.395917,6.229419,435,1987,1987-04-22,112,0.26,13.3,90.0,347.1
Switzerland/Changins,46.395917,6.229419,435,1988,1988-04-25,116,2.98,34.3,86.0,628.7
Switzerland/Changins,46.395917,6.229419,435,1989,1989-04-08,98,4.34,98.3,85.0,291.1
Switzerland/Changins,46.395917,6.229419,435,1990,1990-04-04,94,4.74,128.6,76.0,396.4
Switzerland/Changins,46.395917,6.229419,435,1991,1991-04-12,102,3.48,107.9,86.0,286.9
Switzerland/Changins,46.395917,6.229419,435,1992,1992-04-22,113,2.86,60.2,90.0,241.8
Switzerland/Changins,46.395917,6.229419,435,1993,1993-04-19,109,3.01,65.7,88.0,99.5
Switzerland/Changins,46.395917,6.229419,435,1994,1994-03-27,86,4.51,116.7,85.0,335.7
Switzerland/Changins,46.395917,6.229419,435,1995,1995-04-10,100,2.39,39.9,86.0,660.6
Switzerland/Changins,46.395917,6.229419,435,1996,1996-04-23,114,2.67,41.3,87.0,283.0
Switzerland/Changins,46.395917,6.229419,435,1997,1997-03-30,89,4.38,98.7,87.0,255.1
Switzerland/Changins,46.395917,6.229419,435,1998,1998-04-15,105,3.91,76.1,83.0,223.5
Switzerland/Changins,46.395917,6.229419,435,1999,1999-04-09,99,2.01,44.5,90.0,494.6
Switzerland/Changins,46.395917,6.229419,435,2000,2000-04-10,101,3.19,61.4,89.0,297.9
Switzerland/Changins,46.395917,6.229419,435,2001,2001-04-05,95,4.36,97.5,87.0,617.4
Switzerland/Changins,46.395917,6.229419,435,2002,2002-04-08,98,4.11,95.4,85.0,279.0
Switzerland/Changins,46.395917,6.229419,435,2003,2003-04-06,96,2.74,101.9,88.0,254.7
Switzerland/Changins,46.395917,6.229419,435,2004,2004-04-15,106,2.57,54.7,88.0,408.7
Switzerland/Changins,46.395917,6.229419,435,2006,2006-04-20,110,1.85,44.3,90.0,436.1
Switzerland/Changins,46.395917,6.229419,435,2007,2007-04-13,103,4.66,103.2,75.0,450.4
Switzerland/Changins,46.395917,6.229419,435,2008,2008-04-28,119,3.75,54.7,83.0,385.3
Switzerland/Changins,46.395917,6.229419,435,2009,2009-04-11,101,1.48,13.2,89.0,303.4
Switzerland/Changins,46.395917,6.229419,435,2010,2010-04-19,109,1.24,49.9,89.0,320.8
Switzerland/Changins,46.395917,6.229419,435,2011,2011-04-07,97,4.27,103.1,88.0,192.5
Switzerland/Changins,46.395917,6.229419,435,2013,2013-04-23,113,1.36,20.0,90.0,362.6
Switzerland/Changins,46.395917,6.229419,435,2014,2014-04-06,96,4.64,94.4,89.0,399.9
Switzerland/Changins,46.395917,6.229419,435,2016,2016-04-14,105,3.93,64.2,84.0,619.1
Switzerland/Changins,46.395917,6.229419,435,2017,2017-04-04,94,4.37,129.6,86.0,229.9
Switzerland/Changins,46.395917,6.229419,435,2018,2018-04-16,106,3.83,54.8,82.0,412.4
Switzerland/Changins,46.395917,6.229419,435,2019,2019-04-03,93,4.46,86.2,74.0,237.2
Switzerland/Changins,46.395917,6.229419,435,2020,2020-04-01,92,5.53,115.2,73.0,253.1
Switzerland/Changins,46.395917,6.229419,435,2021,2021-04-03,93,4.7,116.5,75.0,299.9
Switzerland/Changins,46.395917,6.229419,435,2022,2022-04-04,94,5.01,112.5,80.0,164.2
Switzerland/Changins,46.395917,6.229419,435,2023,2023-04-06,96,5.1,134.3,71.0,250.7
