location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Disentis,46.699461,8.850803,1200,1956,1956-05-25,146,-4.61,0.8,90.0,292.5
Switzerland/Disentis,46.699461,8.850803,1200,1957,1957-04-27,117,-0.26,15.6,90.0,355.3
Switzerland/Disentis,46.699461,8.850803,1200,1958,1958-05-17,137,-2.7,4.6,89.0,568.1
Switzerland/Disentis,46.699461,8.850803,1200,1959,1959-05-08,128,-0.51,4.1,90.0,308.0
Switzerland/Disentis,46.699461,8.850803,1200,1960,1960-05-12,133,-1.17,3.2,90.0,339.7
Switzerland/Disentis,46.699461,8.850803,1200,1961,1961-04-17,107,-0.42,6.7,90.0,358.3
Switzerland/Disentis,46.699461,8.850803,1200,1962,1962-05-22,142,-3.32,0.8,90.0,485.9
Switzerland/Disentis,46.699461,8.850803,1200,1963,1963-05-24,144,-4.56,0.0,90.0,316.7
Switzerland/Disentis,46.699461,8.850803,1200,1965,1965-05-22,142,-2.93,5.0,90.0,366.9
Switzerland/Disentis,46.699461,8.850803,1200,1966,1966-05-13,133,-1.82,0.0,90.0,470.1
Switzerland/Disentis,46.699461,8.850803,1200,1967,1967-05-12,132,-1.59,4.0,90.0,515.2
Switzerland/Disentis,46.699461,8.850803,1200,1968,1968-05-06,127,-1.82,9.9,90.0,596.7
Switzerland/Disentis,46.699461,8.850803,1200,1969,1969-05-10,130,-2.33,0.1,90.0,292.7
Switzerland/Disentis,46.699461,8.850803,1200,1970,1970-05-24,144,-2.78,0.0,90.0,642.1
Switzerland/Disentis,46.699461,8.850803,1200,1971,1971-05-15,135,-3.43,0.0,90.0,314.5
Switzerland/Disentis,46.699461,8.850803,1200,1972,1972-05-05,126,0.08,1.6,90.0,174.6
Switzerland/Disentis,46.699461,8.850803,1200,1973,1973-05-20,140,-2.49,0.0,90.0,359.1
Switzerland/Disentis,46.699461,8.850803,1200,1974,1974-05-11,131,0.56,13.5,90.0,349.7
Switzerland/Disentis,46.699461,8.850803,1200,1975,1975-05-18,138,-0.68,0.0,90.0,366.1
Switzerland/Disentis,46.699461,8.850803,1200,1976,1976-05-07,128,-1.14,5.1,90.0,264.7
Switzerland/Disentis,46.699461,8.850803,1200,1977,1977-05-14,134,0.15,12.5,90.0,463.5
