location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Domat / Ems,46.834311,9.457442,580,1970,1970-05-08,128,-0.13,12.9,90.0,596.9
Switzerland/Domat / Ems,46.834311,9.457442,580,1971,1971-04-20,110,-1.4,7.1,90.0,285.0
Switzerland/Domat / Ems,46.834311,9.457442,580,1972,1972-03-28,88,2.59,52.0,88.0,141.7
Switzerland/Domat / Ems,46.834311,9.457442,580,1973,1973-05-02,122,-0.16,17.5,90.0,337.7
Switzerland/Domat / Ems,46.834311,9.457442,580,1974,1974-04-03,93,3.15,55.0,89.0,314.1
Switzerland/Domat / Ems,46.834311,9.457442,580,1975,1975-04-22,112,1.63,5.1,89.0,360.9
Switzerland/Domat / Ems,46.834311,9.457442,580,1976,1976-04-16,107,1.26,24.0,90.0,249.4
Switzerland/Domat / Ems,46.834311,9.457442,580,1977,1977-03-28,87,2.83,67.9,90.0,406.6
Switzerland/Domat / Ems,46.834311,9.457442,580,1978,1978-04-25,115,0.87,37.0,86.0,502.0
Switzerland/Domat / Ems,46.834311,9.457442,580,1979,1979-04-20,110,0.36,23.6,90.0,366.9
Switzerland/Domat / Ems,46.834311,9.457442,580,1980,1980-04-20,111,0.58,10.2,90.0,353.3
Switzerland/Domat / Ems,46.834311,9.457442,580,1981,1981-04-08,98,-0.48,60.8,90.0,485.7
Switzerland/Domat / Ems,46.834311,9.457442,580,1982,1982-04-20,110,0.86,6.9,90.0,359.3
Switzerland/Domat / Ems,46.834311,9.457442,580,1983,1983-04-19,109,0.52,32.7,90.0,410.6
Switzerland/Domat / Ems,46.834311,9.457442,580,1984,1984-04-29,120,-1.14,0.9,89.0,395.3
Switzerland/Domat / Ems,46.834311,9.457442,580,1985,1985-04-21,111,-1.2,10.2,90.0,322.5
Switzerland/Domat / Ems,46.834311,9.457442,580,1986,1986-05-01,121,-0.91,10.8,89.0,417.6
Switzerland/Domat / Ems,46.834311,9.457442,580,1987,1987-04-27,117,-1.39,7.9,90.0,381.7
Switzerland/Domat / Ems,46.834311,9.457442,580,1988,1988-04-20,111,0.58,11.2,88.0,627.5
Switzerland/Domat / Ems,46.834311,9.457442,580,1989,1989-03-28,87,2.08,58.5,87.0,221.2
Switzerland/Domat / Ems,46.834311,9.457442,580,1990,1990-03-26,85,2.53,73.3,84.0,353.5
Switzerland/Domat / Ems,46.834311,9.457442,580,1991,1991-04-03,93,0.93,66.8,87.0,215.5
Switzerland/Domat / Ems,46.834311,9.457442,580,1992,1992-04-20,111,0.57,16.8,90.0,389.8
Switzerland/Domat / Ems,46.834311,9.457442,580,1993,1993-04-21,111,0.3,28.0,90.0,257.7
Switzerland/Domat / Ems,46.834311,9.457442,580,1994,1994-03-28,87,2.42,73.5,89.0,358.3
Switzerland/Domat / Ems,46.834311,9.457442,580,1995,1995-04-15,105,0.08,8.2,89.0,541.6
Switzerland/Domat / Ems,46.834311,9.457442,580,1996,1996-04-22,113,-0.11,24.8,90.0,207.3
Switzerland/Domat / Ems,46.834311,9.457442,580,1997,1997-04-08,98,2.37,42.5,90.0,267.8
Switzerland/Domat / Ems,46.834311,9.457442,580,1998,1998-04-06,96,1.3,44.7,85.0,293.2
Switzerland/Domat / Ems,46.834311,9.457442,580,1999,1999-04-13,103,0.58,31.7,90.0,603.0
Switzerland/Domat / Ems,46.834311,9.457442,580,2000,2000-04-15,106,0.81,25.1,90.0,496.3
Switzerland/Domat / Ems,46.834311,9.457442,580,2001,2001-04-04,94,2.29,47.7,89.0,444.0
Switzerland/Domat / Ems,46.834311,9.457442,580,2002,2002-03-31,90,2.15,51.2,86.0,301.7
Switzerland/Domat / Ems,46.834311,9.457442,580,2003,2003-04-14,104,-0.33,44.4,90.0,244.8
Switzerland/Domat / Ems,46.834311,9.457442,580,2004,2004-04-08,99,0.47,32.7,89.0,401.2
Switzerland/Domat / Ems,46.834311,9.457442,580,2005,2005-04-06,96,-1.54,63.0,90.0,337.3
Switzerland/Domat / Ems,46.834311,9.457442,580,2006,2006-04-22,112,-1.73,22.9,90.0,305.6
Switzerland/Domat / Ems,46.834311,9.457442,580,2007,2007-04-10,100,2.67,35.3,84.0,364.4
Switzerland/Domat / Ems,46.834311,9.457442,580,2008,2008-04-15,106,1.82,33.4,86.0,333.5
