location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Döttingen,47.568867,8.249947,350,1975,1975-04-10,100,3.68,37.3,84.0,189.8
Switzerland/Döttingen,47.568867,8.249947,350,1976,1976-04-14,105,2.6,43.3,90.0,176.1
Switzerland/Döttingen,47.568867,8.249947,350,1977,1977-04-03,93,4.06,122.8,87.0,319.3
Switzerland/Döttingen,47.568867,8.249947,350,1978,1978-04-23,113,1.94,40.2,89.0,338.3
Switzerland/Döttingen,47.568867,8.249947,350,1979,1979-04-22,112,1.69,40.2,87.0,283.9
Switzerland/Döttingen,47.568867,8.249947,350,1980,1980-04-18,109,2.89,46.7,78.0,245.1
Switzerland/Döttingen,47.568867,8.249947,350,1981,1981-04-08,98,1.98,106.9,90.0,276.2
Switzerland/Döttingen,47.568867,8.249947,350,1982,1982-04-25,115,2.68,34.9,88.0,268.2
Switzerland/Döttingen,47.568867,8.249947,350,1983,1983-04-29,119,2.97,75.2,79.0,235.8
Switzerland/Döttingen,47.568867,8.249947,350,1984,1984-04-26,117,1.68,22.3,88.0,243.6
Switzerland/Döttingen,47.568867,8.249947,350,1985,1985-04-21,111,0.02,35.2,86.0,200.4
Switzerland/Döttingen,47.568867,8.249947,350,1986,1986-05-03,123,0.6,35.8,85.0,269.9
Switzerland/Döttingen,47.568867,8.249947,350,1987,1987-04-26,116,0.31,33.8,87.0,222.2
Switzerland/Döttingen,47.568867,8.249947,350,1988,1988-04-20,111,3.69,49.9,83.0,415.5
Switzerland/Döttingen,47.568867,8.249947,350,1989,1989-04-06,96,5.15,133.1,83.0,163.4
Switzerland/Döttingen,47.568867,8.249947,350,1990,1990-04-10,100,5.71,181.7,72.0,248.6
Switzerland/Döttingen,47.568867,8.249947,350,1991,1991-04-16,106,3.56,128.5,82.0,149.4
Switzerland/Döttingen,47.568867,8.249947,350,1992,1992-04-20,111,3.5,70.1,86.0,208.3
Switzerland/Döttingen,47.568867,8.249947,350,1993,1993-04-19,109,3.77,88.1,85.0,122.5
Switzerland/Döttingen,47.568867,8.249947,350,1994,1994-03-31,90,5.3,154.2,79.0,243.0
Switzerland/Döttingen,47.568867,8.249947,350,1995,1995-04-21,111,3.73,81.4,70.0,384.4
Switzerland/Döttingen,47.568867,8.249947,350,1996,1996-04-23,114,2.23,42.2,88.0,121.4
Switzerland/Döttingen,47.568867,8.249947,350,1997,1997-04-05,95,4.37,127.1,82.0,139.7
Switzerland/Döttingen,47.568867,8.249947,350,1998,1998-04-23,113,4.6,113.2,78.0,175.0
Switzerland/Döttingen,47.568867,8.249947,350,1999,1999-04-23,113,3.27,77.7,85.0,341.1
Switzerland/Döttingen,47.568867,8.249947,350,2007,2007-04-06,96,5.31,135.2,69.0,266.5
Switzerland/Döttingen,47.568867,8.249947,350,2008,2008-04-16,107,4.1,79.6,81.0,218.0
Switzerland/Döttingen,47.568867,8.249947,350,2009,2009-04-13,103,1.73,25.7,90.0,240.3
Switzerland/Döttingen,47.568867,8.249947,350,2010,2010-04-20,110,1.8,74.4,88.0,160.7
Switzerland/Döttingen,47.568867,8.249947,350,2011,2011-04-10,100,3.74,86.3,86.0,134.2
Switzerland/Döttingen,47.568867,8.249947,350,2012,2012-04-02,93,2.79,113.9,85.0,174.2
Switzerland/Döttingen,47.568867,8.249947,350,2013,2013-04-23,113,1.53,30.9,83.0,221.2
Switzerland/Döttingen,47.568867,8.249947,350,2015,2015-04-13,103,3.32,71.9,84.0,241.4
Switzerland/Döttingen,47.568867,8.249947,350,2016,2016-04-10,101,4.08,65.6,80.0,355.3
Switzerland/Döttingen,47.568867,8.249947,350,2017,2017-04-03,93,3.22,122.3,87.0,175.9
Switzerland/Döttingen,47.568867,8.249947,350,2018,2018-04-18,108,3.18,59.3,83.0,315.9
Switzerland/Döttingen,47.568867,8.249947,350,2019,2019-04-05,95,3.71,79.8,76.0,217.2
Switzerland/Döttingen,47.568867,8.249947,350,2020,2020-04-05,96,4.64,112.6,77.0,265.4
Switzerland/Döttingen,47.568867,8.249947,350,2021,2021-04-03,93,3.34,83.7,78.0,297.6
Switzerland/Döttingen,47.568867,8.249947,350,2022,2022-04-05,95,4.1,107.3,81.0,142.1
Switzerland/Döttingen,47.568867,8.249947,350,2023,2023-04-09,99,4.59,132.9,73.0,235.6
