location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Elm,46.921942,9.172731,1000,1956,1956-05-15,136,-4.78,2.1,90.0,266.0
Switzerland/Elm,46.921942,9.172731,1000,1957,1957-05-01,121,-0.21,20.8,90.0,318.8
Switzerland/Elm,46.921942,9.172731,1000,1958,1958-05-15,135,-2.77,7.4,89.0,476.8
Switzerland/Elm,46.921942,9.172731,1000,1959,1959-04-29,119,-0.64,4.4,90.0,292.0
Switzerland/Elm,46.921942,9.172731,1000,1960,1960-05-12,133,-1.06,4.3,90.0,285.3
Switzerland/Elm,46.921942,9.172731,1000,1961,1961-04-25,115,-0.4,5.5,90.0,317.7
Switzerland/Elm,46.921942,9.172731,1000,1962,1962-06-01,152,-3.4,0.8,90.0,439.2
Switzerland/Elm,46.921942,9.172731,1000,1963,1963-05-25,145,-4.6,0.0,90.0,298.7
Switzerland/Elm,46.921942,9.172731,1000,1964,1964-05-10,131,-1.89,0.1,90.0,252.5
Switzerland/Elm,46.921942,9.172731,1000,1965,1965-05-12,132,-2.96,3.8,90.0,332.3
Switzerland/Elm,46.921942,9.172731,1000,1966,1966-05-10,130,-1.83,0.0,90.0,429.4
Switzerland/Elm,46.921942,9.172731,1000,1967,1967-05-19,139,-1.51,4.4,90.0,459.5
Switzerland/Elm,46.921942,9.172731,1000,1968,1968-04-24,115,-1.77,11.4,90.0,494.2
Switzerland/Elm,46.921942,9.172731,1000,1969,1969-05-11,131,-2.36,1.7,90.0,262.2
Switzerland/Elm,46.921942,9.172731,1000,1970,1970-05-24,144,-2.64,0.3,90.0,596.9
Switzerland/Elm,46.921942,9.172731,1000,1971,1971-05-17,137,-3.59,0.4,90.0,264.1
Switzerland/Elm,46.921942,9.172731,1000,1972,1972-05-14,135,0.2,8.4,90.0,133.2
Switzerland/Elm,46.921942,9.172731,1000,1973,1973-05-20,140,-2.45,1.8,90.0,312.1
Switzerland/Elm,46.921942,9.172731,1000,1975,1975-05-18,138,-0.6,0.0,90.0,318.6
Switzerland/Elm,46.921942,9.172731,1000,1976,1976-05-20,141,-0.98,5.9,90.0,255.7
Switzerland/Elm,46.921942,9.172731,1000,1977,1977-05-22,142,0.36,19.7,90.0,395.9
Switzerland/Elm,46.921942,9.172731,1000,1978,1978-05-11,131,-1.52,5.0,90.0,480.9
Switzerland/Elm,46.921942,9.172731,1000,1979,1979-05-27,147,-2.1,2.6,90.0,362.0
Switzerland/Elm,46.921942,9.172731,1000,1980,1980-05-20,141,-1.68,2.3,90.0,344.1
Switzerland/Elm,46.921942,9.172731,1000,1981,1981-05-08,128,-2.71,27.2,90.0,458.3
Switzerland/Elm,46.921942,9.172731,1000,1982,1982-05-17,137,-1.56,0.0,90.0,354.4
Switzerland/Elm,46.921942,9.172731,1000,1983,1983-05-12,132,-1.75,3.3,90.0,394.3
Switzerland/Elm,46.921942,9.172731,1000,1984,1984-05-15,136,-3.57,0.0,90.0,385.6
Switzerland/Elm,46.921942,9.172731,1000,1985,1985-05-20,140,-3.51,0.0,90.0,327.0
Switzerland/Elm,46.921942,9.172731,1000,1986,1986-05-14,134,-3.43,0.0,90.0,417.1
Switzerland/Elm,46.921942,9.172731,1000,1987,1987-05-16,136,-3.66,0.0,90.0,368.2
