location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Entlebuch,46.987397,8.068953,765,1958,1958-05-09,129,-0.73,6.5,90.0,457.1
Switzerland/Entlebuch,46.987397,8.068953,765,1959,1959-04-15,105,1.2,29.3,90.0,280.3
Switzerland/Entlebuch,46.987397,8.068953,765,1960,1960-05-03,124,0.85,23.4,90.0,292.0
Switzerland/Entlebuch,46.987397,8.068953,765,1961,1961-04-07,97,1.83,30.6,90.0,296.6
Switzerland/Entlebuch,46.987397,8.068953,765,1962,1962-05-08,128,-0.95,4.7,86.0,414.9
Switzerland/Entlebuch,46.987397,8.068953,765,1963,1963-05-21,141,-4.17,0.0,90.0,307.9
Switzerland/Entlebuch,46.987397,8.068953,765,1964,1964-05-07,128,-0.21,3.6,89.0,252.2
Switzerland/Entlebuch,46.987397,8.068953,765,1966,1966-05-03,123,0.26,7.9,89.0,380.6
Switzerland/Entlebuch,46.987397,8.068953,765,1967,1967-05-08,128,0.71,17.1,89.0,372.0
Switzerland/Entlebuch,46.987397,8.068953,765,1968,1968-04-27,118,-0.07,12.3,90.0,453.6
Switzerland/Entlebuch,46.987397,8.068953,765,1969,1969-05-13,133,-0.57,0.1,90.0,266.3
Switzerland/Entlebuch,46.987397,8.068953,765,1970,1970-05-23,143,-0.92,0.0,90.0,540.3
Switzerland/Entlebuch,46.987397,8.068953,765,1971,1971-05-06,126,-1.94,0.0,90.0,267.0
Switzerland/Entlebuch,46.987397,8.068953,765,1972,1972-05-03,124,1.96,28.3,90.0,157.3
Switzerland/Entlebuch,46.987397,8.068953,765,1973,1973-05-17,137,-0.94,0.9,90.0,297.5
Switzerland/Entlebuch,46.987397,8.068953,765,1974,1974-04-28,118,2.54,52.1,90.0,263.7
Switzerland/Entlebuch,46.987397,8.068953,765,1975,1975-05-15,135,1.64,5.3,89.0,276.3
Switzerland/Entlebuch,46.987397,8.068953,765,1976,1976-05-05,126,0.7,12.1,90.0,224.0
Switzerland/Entlebuch,46.987397,8.068953,765,1977,1977-04-26,116,1.87,43.8,90.0,385.2
Switzerland/Entlebuch,46.987397,8.068953,765,1978,1978-05-11,131,0.19,12.3,90.0,484.2
Switzerland/Entlebuch,46.987397,8.068953,765,1979,1979-05-17,137,-0.41,11.6,90.0,384.6
Switzerland/Entlebuch,46.987397,8.068953,765,1980,1980-05-13,134,0.95,10.9,88.0,360.5
Switzerland/Entlebuch,46.987397,8.068953,765,1981,1981-04-30,120,-0.3,33.8,90.0,415.2
Switzerland/Entlebuch,46.987397,8.068953,765,1982,1982-05-12,132,0.87,2.7,90.0,357.3
Switzerland/Entlebuch,46.987397,8.068953,765,1983,1983-04-29,119,1.24,23.7,89.0,369.4
Switzerland/Entlebuch,46.987397,8.068953,765,1984,1984-05-15,136,-0.25,3.0,89.0,339.1
Switzerland/Entlebuch,46.987397,8.068953,765,1985,1985-05-12,132,-2.0,4.2,90.0,309.3
Switzerland/Entlebuch,46.987397,8.068953,765,1986,1986-05-13,133,-0.88,7.2,90.0,356.0
Switzerland/Entlebuch,46.987397,8.068953,765,1987,1987-05-02,122,-1.58,2.7,90.0,342.3
Switzerland/Entlebuch,46.987397,8.068953,765,1988,1988-05-03,124,1.5,5.5,90.0,560.0
Switzerland/Entlebuch,46.987397,8.068953,765,1989,1989-04-18,108,3.28,57.5,89.0,209.8
Switzerland/Entlebuch,46.987397,8.068953,765,1990,1990-04-05,95,3.85,83.9,84.0,311.3
Switzerland/Entlebuch,46.987397,8.068953,765,1991,1991-04-16,106,1.54,52.3,89.0,214.4
Switzerland/Entlebuch,46.987397,8.068953,765,1992,1992-04-26,117,1.73,23.2,90.0,315.7
Switzerland/Entlebuch,46.987397,8.068953,765,1993,1993-04-25,115,1.76,29.3,90.0,201.5
Switzerland/Entlebuch,46.987397,8.068953,765,1994,1994-04-22,112,3.24,73.8,86.0,321.7
Switzerland/Entlebuch,46.987397,8.068953,765,1995,1995-04-28,118,1.47,15.4,89.0,540.3
Switzerland/Entlebuch,46.987397,8.068953,765,1996,1996-05-03,124,0.76,18.2,90.0,191.4
Switzerland/Entlebuch,46.987397,8.068953,765,1997,1997-04-14,104,2.79,48.8,89.0,231.5
Switzerland/Entlebuch,46.987397,8.068953,765,1998,1998-04-24,114,2.64,45.2,90.0,262.7
Switzerland/Entlebuch,46.987397,8.068953,765,1999,1999-04-27,117,1.1,16.5,90.0,482.7
Switzerland/Entlebuch,46.987397,8.068953,765,2000,2000-04-23,114,1.77,19.4,90.0,375.0
Switzerland/Entlebuch,46.987397,8.068953,765,2001,2001-04-29,119,2.59,42.4,90.0,404.9
Switzerland/Entlebuch,46.987397,8.068953,765,2002,2002-04-21,111,2.78,47.2,89.0,236.8
Switzerland/Entlebuch,46.987397,8.068953,765,2003,2003-04-23,113,0.35,38.1,87.0,227.0
Switzerland/Entlebuch,46.987397,8.068953,765,2004,2004-04-27,118,0.82,30.0,90.0,350.4
Switzerland/Entlebuch,46.987397,8.068953,765,2005,2005-04-27,117,-0.29,43.3,90.0,301.1
Switzerland/Entlebuch,46.987397,8.068953,765,2006,2006-05-04,124,-0.37,14.2,90.0,304.4
Switzerland/Entlebuch,46.987397,8.068953,765,2007,2007-04-14,104,3.28,44.4,82.0,342.8
Switzerland/Entlebuch,46.987397,8.068953,765,2008,2008-04-28,119,2.33,27.3,88.0,283.4
Switzerland/Entlebuch,46.987397,8.068953,765,2009,2009-04-19,109,-0.38,1.0,90.0,370.6
Switzerland/Entlebuch,46.987397,8.068953,765,2010,2010-04-25,115,-0.25,28.2,90.0,189.7
Switzerland/Entlebuch,46.987397,8.068953,765,2011,2011-04-13,103,1.93,35.2,90.0,186.5
Switzerland/Entlebuch,46.987397,8.068953,765,2012,2012-04-26,117,0.55,47.8,89.0,269.2
Switzerland/Entlebuch,46.987397,8.068953,765,2013,2013-05-05,125,-0.5,3.5,89.0,306.5
Switzerland/Entlebuch,46.987397,8.068953,765,2014,2014-04-14,104,2.78,43.5,90.0,250.4
Switzerland/Entlebuch,46.987397,8.068953,765,2015,2015-04-23,113,1.56,32.0,89.0,344.2
Switzerland/Entlebuch,46.987397,8.068953,765,2016,2016-04-24,115,2.17,30.2,87.0,410.7
Switzerland/Entlebuch,46.987397,8.068953,765,2017,2017-04-12,102,1.53,77.5,88.0,271.0
Switzerland/Entlebuch,46.987397,8.068953,765,2018,2018-04-21,111,0.99,12.9,89.0,382.0
Switzerland/Entlebuch,46.987397,8.068953,765,2019,2019-04-19,109,1.54,30.7,86.0,256.0
Switzerland/Entlebuch,46.987397,8.068953,765,2020,2020-04-10,101,3.23,62.4,80.0,227.1
Switzerland/Entlebuch,46.987397,8.068953,765,2021,2021-04-28,118,1.52,48.4,83.0,314.1
Switzerland/Entlebuch,46.987397,8.068953,765,2022,2022-04-15,105,2.57,55.5,84.0,213.8
Switzerland/Entlebuch,46.987397,8.068953,765,2023,2023-04-27,117,2.47,73.8,82.0,305.1
