location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Escholzmatt,46.898653,7.932344,910,1956,1956-05-21,142,-4.07,3.5,90.0,223.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1957,1957-05-14,134,0.19,30.0,90.0,323.9
Switzerland/Escholzmatt,46.898653,7.932344,910,1958,1958-05-10,130,-2.23,0.9,90.0,457.1
Switzerland/Escholzmatt,46.898653,7.932344,910,1959,1959-05-04,124,-0.24,6.4,90.0,280.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1960,1960-05-06,127,-0.66,4.8,90.0,292.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1961,1961-04-10,100,0.23,5.0,90.0,296.6
Switzerland/Escholzmatt,46.898653,7.932344,910,1962,1962-05-10,130,-2.38,1.3,89.0,414.9
Switzerland/Escholzmatt,46.898653,7.932344,910,1963,1963-05-23,143,-5.21,0.0,90.0,307.9
Switzerland/Escholzmatt,46.898653,7.932344,910,1964,1964-05-08,129,-1.36,0.5,90.0,252.2
Switzerland/Escholzmatt,46.898653,7.932344,910,1965,1965-05-16,136,-2.8,2.4,90.0,313.6
Switzerland/Escholzmatt,46.898653,7.932344,910,1966,1966-05-05,125,-1.14,0.3,90.0,380.6
Switzerland/Escholzmatt,46.898653,7.932344,910,1967,1967-05-13,133,-0.74,4.4,90.0,372.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1968,1968-04-24,115,-1.34,5.7,90.0,453.6
Switzerland/Escholzmatt,46.898653,7.932344,910,1969,1969-05-11,131,-2.06,0.0,90.0,266.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1970,1970-05-24,144,-2.48,0.0,90.0,540.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1971,1971-05-03,123,-3.47,0.0,90.0,267.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1972,1972-05-15,136,0.41,2.9,90.0,157.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1973,1973-05-21,141,-2.29,0.0,90.0,297.5
Switzerland/Escholzmatt,46.898653,7.932344,910,1974,1974-04-30,120,1.1,21.9,90.0,263.7
Switzerland/Escholzmatt,46.898653,7.932344,910,1975,1975-05-17,137,0.22,0.0,90.0,276.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1976,1976-05-04,125,-0.78,3.0,90.0,224.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1977,1977-05-20,140,0.3,15.8,90.0,385.2
Switzerland/Escholzmatt,46.898653,7.932344,910,1979,1979-05-20,140,-1.81,1.2,90.0,384.6
Switzerland/Escholzmatt,46.898653,7.932344,910,1980,1980-05-23,144,-0.46,1.0,90.0,360.5
Switzerland/Escholzmatt,46.898653,7.932344,910,1981,1981-05-19,139,-1.64,19.6,90.0,415.2
Switzerland/Escholzmatt,46.898653,7.932344,910,1982,1982-05-17,137,-0.52,0.0,90.0,357.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1983,1983-05-08,128,-0.43,3.2,90.0,369.4
Switzerland/Escholzmatt,46.898653,7.932344,910,1984,1984-05-21,142,-1.9,0.0,90.0,339.1
Switzerland/Escholzmatt,46.898653,7.932344,910,1985,1985-05-27,147,-3.38,0.0,90.0,309.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1986,1986-05-15,135,-2.37,0.3,90.0,356.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1987,1987-05-22,142,-2.94,0.0,90.0,342.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1988,1988-05-07,128,-0.2,0.8,90.0,560.0
Switzerland/Escholzmatt,46.898653,7.932344,910,1989,1989-04-24,114,1.46,27.2,90.0,209.8
Switzerland/Escholzmatt,46.898653,7.932344,910,1990,1990-05-03,123,2.14,39.8,90.0,311.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1991,1991-05-09,129,-0.13,14.4,90.0,214.4
Switzerland/Escholzmatt,46.898653,7.932344,910,1992,1992-05-06,127,0.19,3.7,90.0,315.7
Switzerland/Escholzmatt,46.898653,7.932344,910,1993,1993-04-27,117,0.27,13.2,90.0,201.5
Switzerland/Escholzmatt,46.898653,7.932344,910,1994,1994-04-29,119,1.62,33.6,89.0,321.7
Switzerland/Escholzmatt,46.898653,7.932344,910,1995,1995-05-05,125,-0.28,0.6,90.0,540.3
Switzerland/Escholzmatt,46.898653,7.932344,910,1996,1996-05-07,128,-0.84,8.3,90.0,191.4
Switzerland/Escholzmatt,46.898653,7.932344,910,1997,1997-05-12,132,1.22,14.6,90.0,231.5
Switzerland/Escholzmatt,46.898653,7.932344,910,1998,1998-05-06,126,1.0,20.2,90.0,262.7
Switzerland/Escholzmatt,46.898653,7.932344,910,1999,1999-05-02,122,-0.52,3.2,90.0,482.7
Switzerland/Escholzmatt,46.898653,7.932344,910,2000,2000-04-29,120,0.1,3.0,90.0,375.0
Switzerland/Escholzmatt,46.898653,7.932344,910,2001,2001-05-03,123,1.0,15.5,90.0,404.9
Switzerland/Escholzmatt,46.898653,7.932344,910,2002,2002-04-25,115,1.12,15.6,90.0,236.8
Switzerland/Escholzmatt,46.898653,7.932344,910,2003,2003-04-26,116,-1.12,14.4,90.0,227.0
Switzerland/Escholzmatt,46.898653,7.932344,910,2004,2004-05-03,124,-0.72,9.3,90.0,350.4
Switzerland/Escholzmatt,46.898653,7.932344,910,2005,2005-04-30,120,-2.05,16.3,90.0,301.1
