location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1989,1989-04-15,105,4.67,104.4,85.0,191.5
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1990,1990-04-05,95,5.36,150.0,69.0,282.9
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1991,1991-04-15,105,3.75,117.8,81.0,213.6
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1992,1992-04-20,111,3.05,62.1,88.0,212.3
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1993,1993-04-15,105,3.62,82.9,83.0,109.4
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1994,1994-04-05,95,5.0,133.8,79.0,248.4
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1995,1995-04-15,105,3.36,57.8,77.0,515.3
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1996,1996-05-05,126,2.57,42.1,87.0,163.6
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1997,1997-04-05,95,,,84.0,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1998,1998-04-15,105,,,80.0,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1999,1999-04-20,110,2.93,54.7,,371.4
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2000,2000-04-15,106,3.63,64.7,86.0,241.6
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2001,2001-04-30,120,4.56,98.9,82.0,471.7
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2002,2002-04-12,102,4.49,114.9,76.0,199.2
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2003,2003-04-18,108,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2005,2005-04-21,111,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2006,2006-04-23,113,1.67,42.2,,327.4
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2007,2007-04-13,103,4.99,114.1,69.0,336.5
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2008,2008-04-24,115,,,81.0,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2009,2009-04-17,107,1.5,15.3,90.0,260.3
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2010,2010-04-22,112,1.51,54.7,,195.6
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2011,2011-04-10,100,3.94,89.0,86.0,147.0
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2012,2012-04-24,115,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2013,2013-04-30,120,1.63,20.3,,273.1
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2014,2014-04-09,99,4.83,97.5,88.0,270.4
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2015,2015-04-22,112,3.1,57.3,86.0,270.3
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2016,2016-04-20,111,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2019,2019-04-08,98,3.9,68.0,,239.6
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2022,2022-04-13,103,4.5,104.0,82.0,164.2
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2023,2023-04-17,107,4.65,115.7,,241.5
