location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Fanas,46.983531,9.660289,910,1970,1970-05-16,136,-1.18,3.6,90.0,596.9
Switzerland/Fanas,46.983531,9.660289,910,1971,1971-04-22,112,-2.67,2.7,90.0,264.1
Switzerland/Fanas,46.983531,9.660289,910,1972,1972-04-05,96,1.49,13.4,90.0,133.2
Switzerland/Fanas,46.983531,9.660289,910,1973,1973-05-14,134,-1.41,2.4,90.0,312.1
Switzerland/Fanas,46.983531,9.660289,910,1974,1974-04-19,109,2.13,28.8,90.0,293.0
Switzerland/Fanas,46.983531,9.660289,910,1975,1975-05-02,122,0.68,1.3,90.0,318.6
Switzerland/Fanas,46.983531,9.660289,910,1976,1976-04-21,112,-0.05,6.9,90.0,255.7
Switzerland/Fanas,46.983531,9.660289,910,1977,1977-04-25,115,1.7,32.2,90.0,395.9
Switzerland/Fanas,46.983531,9.660289,910,1978,1978-05-06,126,-0.27,19.3,90.0,480.9
Switzerland/Fanas,46.983531,9.660289,910,1979,1979-05-16,136,-0.73,7.4,90.0,362.0
Switzerland/Fanas,46.983531,9.660289,910,1980,1980-05-13,134,-0.53,3.3,90.0,344.1
Switzerland/Fanas,46.983531,9.660289,910,1981,1981-04-15,105,-1.72,32.6,90.0,458.3
Switzerland/Fanas,46.983531,9.660289,910,1982,1982-05-08,128,-0.24,3.1,90.0,354.4
Switzerland/Fanas,46.983531,9.660289,910,1983,1983-05-01,121,-0.78,6.8,90.0,394.3
Switzerland/Fanas,46.983531,9.660289,910,1984,1984-05-16,137,-2.17,0.0,90.0,385.6
Switzerland/Fanas,46.983531,9.660289,910,1985,1985-05-16,136,-2.54,2.1,90.0,327.0
Switzerland/Fanas,46.983531,9.660289,910,1986,1986-05-11,131,-2.04,2.0,90.0,417.1
Switzerland/Fanas,46.983531,9.660289,910,1987,1987-05-02,122,-2.73,1.9,90.0,368.2
Switzerland/Fanas,46.983531,9.660289,910,1988,1988-05-06,127,-0.4,3.1,90.0,623.1
Switzerland/Fanas,46.983531,9.660289,910,1989,1989-04-12,102,0.91,28.5,90.0,225.0
Switzerland/Fanas,46.983531,9.660289,910,1991,1991-05-18,138,-0.45,24.7,90.0,212.2
Switzerland/Fanas,46.983531,9.660289,910,1992,1992-05-08,129,-0.7,2.9,90.0,386.3
Switzerland/Fanas,46.983531,9.660289,910,1993,1993-04-29,119,-0.87,10.7,90.0,255.2
Switzerland/Fanas,46.983531,9.660289,910,1999,1999-04-28,118,-0.58,12.4,90.0,569.9
Switzerland/Fanas,46.983531,9.660289,910,2000,2000-04-26,117,-0.33,7.4,90.0,495.9
Switzerland/Fanas,46.983531,9.660289,910,2001,2001-05-03,123,1.24,20.0,90.0,451.3
Switzerland/Fanas,46.983531,9.660289,910,2002,2002-04-16,106,0.46,18.9,90.0,285.9
Switzerland/Fanas,46.983531,9.660289,910,2004,2004-04-30,121,-0.74,18.1,90.0,368.4
Switzerland/Fanas,46.983531,9.660289,910,2005,2005-04-30,120,-2.56,31.8,90.0,326.2
Switzerland/Fanas,46.983531,9.660289,910,2006,2006-05-12,132,-2.98,11.5,90.0,317.3
Switzerland/Fanas,46.983531,9.660289,910,2007,2007-04-18,108,1.57,9.9,88.0,345.0
