location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Frauenfeld,47.560647,8.887883,405,1992,1992-04-24,115,2.88,54.5,87.0,215.6
Switzerland/Frauenfeld,47.560647,8.887883,405,1993,1993-04-17,107,3.11,70.5,86.0,133.9
Switzerland/Frauenfeld,47.560647,8.887883,405,1994,1994-03-26,85,4.84,134.5,82.0,230.6
Switzerland/Frauenfeld,47.560647,8.887883,405,1995,1995-04-12,102,3.32,60.7,76.0,327.8
Switzerland/Frauenfeld,47.560647,8.887883,405,1996,1996-04-27,118,1.31,30.3,89.0,119.8
Switzerland/Frauenfeld,47.560647,8.887883,405,1997,1997-04-03,93,3.61,107.3,85.0,144.4
Switzerland/Frauenfeld,47.560647,8.887883,405,1998,1998-04-10,100,4.05,88.9,83.0,166.7
Switzerland/Frauenfeld,47.560647,8.887883,405,1999,1999-04-17,107,2.77,65.4,87.0,319.9
Switzerland/Frauenfeld,47.560647,8.887883,405,2000,2000-04-10,101,3.62,65.2,87.0,285.2
Switzerland/Frauenfeld,47.560647,8.887883,405,2001,2001-04-13,103,3.96,89.7,82.0,325.5
Switzerland/Frauenfeld,47.560647,8.887883,405,2002,2002-04-02,92,4.73,131.1,75.0,188.3
Switzerland/Frauenfeld,47.560647,8.887883,405,2003,2003-04-05,95,2.1,83.1,85.0,146.6
Switzerland/Frauenfeld,47.560647,8.887883,405,2004,2004-04-14,105,2.64,69.1,88.0,225.4
Switzerland/Frauenfeld,47.560647,8.887883,405,2005,2005-04-10,100,1.84,86.7,89.0,210.9
Switzerland/Frauenfeld,47.560647,8.887883,405,2006,2006-04-24,114,1.0,36.8,90.0,234.3
Switzerland/Frauenfeld,47.560647,8.887883,405,2007,2007-04-10,100,5.0,109.4,75.0,233.9
Switzerland/Frauenfeld,47.560647,8.887883,405,2008,2008-04-13,104,3.68,69.6,81.0,205.4
Switzerland/Frauenfeld,47.560647,8.887883,405,2009,2009-04-12,102,1.32,13.8,90.0,226.5
Switzerland/Frauenfeld,47.560647,8.887883,405,2010,2010-04-17,107,1.21,60.5,89.0,153.2
Switzerland/Frauenfeld,47.560647,8.887883,405,2011,2011-04-04,94,3.23,73.5,88.0,114.6
Switzerland/Frauenfeld,47.560647,8.887883,405,2012,2012-04-03,94,2.21,89.8,87.0,182.9
Switzerland/Frauenfeld,47.560647,8.887883,405,2013,2013-04-22,112,1.14,22.5,86.0,212.8
Switzerland/Frauenfeld,47.560647,8.887883,405,2014,2014-04-02,92,4.71,86.4,89.0,163.4
Switzerland/Frauenfeld,47.560647,8.887883,405,2015,2015-04-10,100,2.61,57.8,86.0,211.6
Switzerland/Frauenfeld,47.560647,8.887883,405,2016,2016-04-16,107,3.71,52.8,85.0,303.1
Switzerland/Frauenfeld,47.560647,8.887883,405,2017,2017-04-15,105,3.01,120.6,87.0,158.9
Switzerland/Frauenfeld,47.560647,8.887883,405,2018,2018-04-15,105,2.79,52.7,86.0,283.2
Switzerland/Frauenfeld,47.560647,8.887883,405,2019,2019-04-08,98,3.6,81.5,82.0,209.2
Switzerland/Frauenfeld,47.560647,8.887883,405,2021,2021-04-14,104,3.3,90.5,77.0,275.3
Switzerland/Frauenfeld,47.560647,8.887883,405,2022,2022-04-14,104,4.04,103.3,80.0,130.2
Switzerland/Frauenfeld,47.560647,8.887883,405,2023,2023-04-17,107,4.45,131.1,73.0,200.2
