location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Grellingen,47.441186,7.597728,350,2004,2004-04-20,111,2.87,73.7,,233.0
Switzerland/Grellingen,47.441186,7.597728,350,2005,2005-04-07,97,,,88.0,
Switzerland/Grellingen,47.441186,7.597728,350,2006,2006-04-26,116,1.28,49.3,89.0,250.0
Switzerland/Grellingen,47.441186,7.597728,350,2007,2007-04-10,100,5.24,137.1,,273.4
Switzerland/Grellingen,47.441186,7.597728,350,2008,2008-04-09,100,,,79.0,
Switzerland/Grellingen,47.441186,7.597728,350,2009,2009-04-14,104,,,90.0,
Switzerland/Grellingen,47.441186,7.597728,350,2010,2010-04-13,103,,,88.0,
Switzerland/Grellingen,47.441186,7.597728,350,2011,2011-04-05,95,,,88.0,
Switzerland/Grellingen,47.441186,7.597728,350,2012,2012-04-04,95,2.57,106.4,85.0,154.8
Switzerland/Grellingen,47.441186,7.597728,350,2013,2013-04-20,110,1.41,26.1,,201.0
Switzerland/Grellingen,47.441186,7.597728,350,2014,2014-03-30,89,4.95,96.9,88.0,192.9
Switzerland/Grellingen,47.441186,7.597728,350,2015,2015-04-13,103,3.27,72.0,84.0,191.7
Switzerland/Grellingen,47.441186,7.597728,350,2016,2016-04-06,97,4.0,66.1,,333.7
Switzerland/Grellingen,47.441186,7.597728,350,2017,2017-03-31,90,4.3,175.1,,216.1
