location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gstaad,46.438214,7.269478,1100,2004,2004-05-23,144,,,90.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2005,2005-05-20,140,-3.84,6.1,90.0,310.2
Switzerland/Gstaad,46.438214,7.269478,1100,2006,2006-05-25,145,,,90.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2007,2007-04-30,120,0.18,0.6,90.0,442.2
Switzerland/Gstaad,46.438214,7.269478,1100,2008,2008-05-25,146,,,90.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2009,2009-05-10,130,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2010,2010-05-15,135,-3.37,2.3,90.0,228.0
Switzerland/Gstaad,46.438214,7.269478,1100,2011,2011-04-30,120,,,90.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2012,2012-05-15,136,-1.64,10.9,90.0,269.7
Switzerland/Gstaad,46.438214,7.269478,1100,2013,2013-05-15,135,-2.78,0.0,90.0,358.0
Switzerland/Gstaad,46.438214,7.269478,1100,2014,2014-05-10,130,0.1,12.7,,362.0
Switzerland/Gstaad,46.438214,7.269478,1100,2015,2015-05-12,132,-1.21,0.1,90.0,365.5
Switzerland/Gstaad,46.438214,7.269478,1100,2016,2016-05-15,136,-0.5,4.4,,530.5
Switzerland/Gstaad,46.438214,7.269478,1100,2017,2017-05-18,138,1.15,39.3,90.0,368.7
Switzerland/Gstaad,46.438214,7.269478,1100,2018,2018-05-06,126,,,90.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2019,2019-05-16,136,,,85.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2020,2020-04-27,118,2.44,35.4,,431.1
Switzerland/Gstaad,46.438214,7.269478,1100,2021,2021-05-09,129,,,89.0,
Switzerland/Gstaad,46.438214,7.269478,1100,2022,2022-04-26,116,1.49,31.8,87.0,306.6
