location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gundetswil,47.536489,8.819919,460,1987,1987-04-29,119,,,89.0,
Switzerland/Gundetswil,47.536489,8.819919,460,1988,1988-04-26,117,,,85.0,
Switzerland/Gundetswil,47.536489,8.819919,460,1989,1989-04-10,100,4.03,97.5,86.0,152.7
Switzerland/Gundetswil,47.536489,8.819919,460,1990,1990-04-18,108,4.59,137.8,,248.3
Switzerland/Gundetswil,47.536489,8.819919,460,1991,1991-04-16,106,2.3,84.7,86.0,152.6
Switzerland/Gundetswil,47.536489,8.819919,460,1992,1992-04-24,115,2.33,39.4,,227.9
Switzerland/Gundetswil,47.536489,8.819919,460,1993,1993-04-23,113,2.58,61.1,88.0,137.7
Switzerland/Gundetswil,47.536489,8.819919,460,1994,1994-04-13,103,4.31,114.8,84.0,241.7
Switzerland/Gundetswil,47.536489,8.819919,460,1995,1995-04-25,115,2.79,45.1,83.0,387.8
Switzerland/Gundetswil,47.536489,8.819919,460,1996,1996-04-20,111,,,89.0,
Switzerland/Gundetswil,47.536489,8.819919,460,1997,1997-04-06,96,,,85.0,
Switzerland/Gundetswil,47.536489,8.819919,460,1999,1999-04-21,111,2.23,53.5,,359.7
Switzerland/Gundetswil,47.536489,8.819919,460,2000,2000-04-24,115,3.1,49.7,,284.6
Switzerland/Gundetswil,47.536489,8.819919,460,2001,2001-04-20,110,3.42,74.8,83.0,345.7
Switzerland/Gundetswil,47.536489,8.819919,460,2002,2002-04-06,96,,,79.0,
Switzerland/Gundetswil,47.536489,8.819919,460,2003,2003-04-18,108,1.55,71.9,,157.3
Switzerland/Gundetswil,47.536489,8.819919,460,2004,2004-04-23,114,,,89.0,
Switzerland/Gundetswil,47.536489,8.819919,460,2005,2005-04-24,114,1.34,79.1,89.0,216.0
Switzerland/Gundetswil,47.536489,8.819919,460,2006,2006-04-25,115,0.51,33.1,90.0,244.2
Switzerland/Gundetswil,47.536489,8.819919,460,2007,2007-04-18,108,4.43,85.8,80.0,269.9
Switzerland/Gundetswil,47.536489,8.819919,460,2008,2008-04-18,109,3.12,55.1,,213.1
Switzerland/Gundetswil,47.536489,8.819919,460,2009,2009-04-14,104,,,90.0,
Switzerland/Gundetswil,47.536489,8.819919,460,2010,2010-04-18,108,0.74,52.5,90.0,160.8
