location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1969,1969-05-03,123,1.22,25.9,90.0,227.5
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1970,1970-05-12,132,0.47,9.0,90.0,401.1
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1971,1971-04-23,113,-0.25,3.8,89.0,174.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1972,1972-04-25,116,3.7,85.2,90.0,134.1
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1973,1973-05-05,125,0.46,22.9,90.0,157.2
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1974,1974-04-08,98,4.52,113.2,86.0,207.5
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1975,1975-05-06,126,3.4,28.9,86.0,207.0
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1976,1976-04-22,113,2.42,40.6,90.0,158.0
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1977,1977-04-15,105,3.93,111.7,89.0,353.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1978,1978-04-30,120,1.84,43.6,89.0,336.4
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1992,1992-04-26,117,3.28,74.6,84.0,190.1
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1993,1993-04-25,115,3.54,95.3,82.0,104.0
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1994,1994-04-19,109,5.27,156.1,79.0,234.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1995,1995-05-02,122,3.51,82.4,69.0,385.1
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1996,1996-04-28,119,2.24,45.5,88.0,130.8
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1997,1997-04-12,102,4.48,130.4,82.0,136.2
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1998,1998-04-26,116,4.41,114.2,79.0,167.0
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1999,1999-04-27,117,3.18,75.6,84.0,325.5
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2000,2000-04-25,116,3.79,75.5,87.0,229.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2001,2001-04-30,120,4.4,107.3,78.0,388.0
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2002,2002-04-20,110,4.77,145.6,72.0,190.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2003,2003-04-17,107,2.36,103.8,83.0,136.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2004,2004-04-20,111,2.82,75.7,86.0,260.7
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2006,2006-04-25,115,1.41,49.9,90.0,289.2
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2007,2007-04-13,103,5.15,129.3,70.0,282.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2008,2008-04-19,110,4.06,80.8,80.0,205.5
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2009,2009-04-15,105,1.34,16.9,90.0,240.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2010,2010-04-22,112,1.55,73.0,88.0,183.5
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2011,2011-04-08,98,3.72,89.8,87.0,141.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2012,2012-04-06,97,2.39,106.3,86.0,162.7
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2013,2013-04-27,117,1.29,26.9,86.0,233.9
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2014,2014-04-06,96,4.84,95.7,87.0,208.2
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2015,2015-04-18,108,3.31,74.9,84.0,214.2
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2016,2016-04-15,106,3.98,71.4,77.0,368.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2017,2017-04-01,91,2.15,97.5,87.0,194.8
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2018,2018-04-19,109,2.41,32.8,86.0,301.4
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2019,2019-04-11,101,3.01,52.8,82.0,204.4
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2020,2020-04-10,101,3.97,89.7,79.0,233.3
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2021,2021-04-17,107,3.0,66.1,81.0,300.6
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2022,2022-04-10,100,3.45,84.4,84.0,173.8
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2023,2023-04-15,105,3.95,105.3,77.0,200.5
