location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Jegenstorf II,47.049108,7.507072,525,2008,2008-04-26,117,,,88.0,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2010,2010-04-19,109,,,90.0,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2012,2012-04-05,96,1.17,71.4,88.0,185.8
Switzerland/Jegenstorf II,47.049108,7.507072,525,2013,2013-04-23,113,,,89.0,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2014,2014-04-04,94,3.48,58.8,90.0,202.1
Switzerland/Jegenstorf II,47.049108,7.507072,525,2015,2015-04-19,109,1.94,39.0,88.0,255.7
Switzerland/Jegenstorf II,47.049108,7.507072,525,2016,2016-04-13,104,2.65,38.1,86.0,359.4
Switzerland/Jegenstorf II,47.049108,7.507072,525,2017,2017-04-03,93,1.6,88.0,88.0,195.1
Switzerland/Jegenstorf II,47.049108,7.507072,525,2018,2018-04-21,111,1.94,19.4,86.0,331.3
Switzerland/Jegenstorf II,47.049108,7.507072,525,2019,2019-04-12,102,2.48,37.2,83.0,214.5
Switzerland/Jegenstorf II,47.049108,7.507072,525,2020,2020-04-08,99,3.45,73.7,,255.2
Switzerland/Jegenstorf II,47.049108,7.507072,525,2021,2021-04-10,100,2.6,48.2,85.0,296.9
Switzerland/Jegenstorf II,47.049108,7.507072,525,2022,2022-04-12,102,3.07,74.7,,171.7
Switzerland/Jegenstorf II,47.049108,7.507072,525,2023,2023-04-08,98,3.24,78.3,83.0,204.1
