location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/La BrÈvine,46.982014,6.599133,1050,1997,1997-05-25,145,,,89.0,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2015,2015-05-08,128,0.32,5.7,90.0,373.7
Switzerland/La BrÈvine,46.982014,6.599133,1050,2016,2016-05-26,147,0.93,15.7,90.0,588.1
Switzerland/La BrÈvine,46.982014,6.599133,1050,2017,2017-05-17,137,0.93,50.1,89.0,327.9
Switzerland/La BrÈvine,46.982014,6.599133,1050,2018,2018-04-30,120,-0.63,0.1,90.0,599.3
Switzerland/La BrÈvine,46.982014,6.599133,1050,2019,2019-05-23,143,1.01,39.4,,353.0
Switzerland/La BrÈvine,46.982014,6.599133,1050,2020,2020-04-24,115,2.33,43.2,,361.2
Switzerland/La BrÈvine,46.982014,6.599133,1050,2021,2021-05-31,151,0.52,40.4,84.0,415.9
Switzerland/La BrÈvine,46.982014,6.599133,1050,2022,2022-05-15,135,1.51,46.8,86.0,280.3
Switzerland/La BrÈvine,46.982014,6.599133,1050,2023,2023-05-06,126,1.18,46.6,83.0,327.2
